Id,GravityMod,UphillAngleThreshold,UphillSpeedAccelScaler,DownhillAngleThreshold,DownhillSpeedAccelScaler,DashSpeedScaler,DashAccelScaler,StaminaMax,StaminaRegenRate,StaminaDrainRate,StaminaLightHitThreshold,StaminaLightHitCost,StaminaHeavyHitThreshold,StaminaHeavyHitCost,StaminaHitRegenDelay,OnRoadMaxSpeed,OffRoadMaxSpeed,InVeryShallowWaterMaxSpeed,InShallowWaterMaxSpeed,InDeepWaterMaxSpeed,OnRoadMinSpeed,OffRoadMinSpeed,OnRoadWalkSpeed,OnRoadSlowWalkSpeed,OffRoadWalkSpeed,OffRoadSlowWalkSpeed,OnRoadAccel,OffRoadAccel,OnRoadDecel,OffRoadDecel,OnRoadTurnRateMinSpeed,OnRoadTurnRateMinSpeedGamepad,OffRoadTurnRateMinSpeed,OffRoadTurnRateMinSpeedGamepad,OnRoadTurnRateMidSpeed,OnRoadTurnRateMidSpeedGamepad,OffRoadTurnRateMidSpeed,OffRoadTurnRateMidSpeedGamepad,OnRoadTurnRateMaxSpeed,OnRoadTurnRateMaxSpeedGamepad,OffRoadTurnRateMaxSpeed,OffRoadTurnRateMaxSpeedGamepad,OnRoadTurnRateAtMinSpeed,OnRoadTurnRateAtMinSpeedGamepad,OffRoadTurnRateAtMinSpeed,OffRoadTurnRateAtMinSpeedGamepad,OnRoadTurnRateAtMidSpeed,OnRoadTurnRateAtMidSpeedGamepad,OffRoadTurnRateAtMidSpeed,OffRoadTurnRateAtMidSpeedGamepad,OnRoadTurnRateAtMaxSpeed,OnRoadTurnRateAtMaxSpeedGamepad,OffRoadTurnRateAtMaxSpeed,OffRoadTurnRateAtMaxSpeedGamepad,OnRoadWalkAccel,OffRoadWalkAccel,OnRoadWalkDecel,OffRoadWalkDecel,OnRoadWalkTurnRate,OffRoadWalkTurnRate,InVeryShallowWaterMinSpeed,InVeryShallowWaterAccel,InVeryShallowWaterDecel,InVeryShallowWaterTurnRateMinSpeed,InVeryShallowWaterTurnRateMinSpeedGamepad,InVeryShallowWaterTurnRateMidSpeed,InVeryShallowWaterTurnRateMidSpeedGamepad,InVeryShallowWaterTurnRateMaxSpeed,InVeryShallowWaterTurnRateMaxSpeedGamepad,InVeryShallowWaterTurnRateAtMinSpeed,InVeryShallowWaterTurnRateAtMinSpeedGamepad,InVeryShallowWaterTurnRateAtMidSpeed,InVeryShallowWaterTurnRateAtMidSpeedGamepad,InVeryShallowWaterTurnRateAtMaxSpeed,InVeryShallowWaterTurnRateAtMaxSpeedGamepad,InVeryShallowWaterWalkSpeed,InVeryShallowWaterSlowWalkSpeed,InVeryShallowWaterWalkAccel,InVeryShallowWaterWalkDecel,InVeryShallowWaterWalkTurnRate,InShallowWaterMinSpeed,InShallowWaterAccel,InShallowWaterDecel,InShallowWaterTurnRateMinSpeed,InShallowWaterTurnRateMinSpeedGamepad,InShallowWaterTurnRateMidSpeed,InShallowWaterTurnRateMidSpeedGamepad,InShallowWaterTurnRateMaxSpeed,InShallowWaterTurnRateMaxSpeedGamepad,InShallowWaterTurnRateAtMinSpeed,InShallowWaterTurnRateAtMinSpeedGamepad,InShallowWaterTurnRateAtMidSpeed,InShallowWaterTurnRateAtMidSpeedGamepad,InShallowWaterTurnRateAtMaxSpeed,InShallowWaterTurnRateAtMaxSpeedGamepad,InShallowWaterWalkSpeed,InShallowWaterSlowWalkSpeed,InShallowWaterWalkAccel,InShallowWaterWalkDecel,InShallowWaterWalkTurnRate,InDeepWaterMinSpeed,InDeepWaterAccel,InDeepWaterDecel,InDeepWaterTurnRateMinSpeed,InDeepWaterTurnRateMinSpeedGamepad,InDeepWaterTurnRateMidSpeed,InDeepWaterTurnRateMidSpeedGamepad,InDeepWaterTurnRateMaxSpeed,InDeepWaterTurnRateMaxSpeedGamepad,InDeepWaterTurnRateAtMinSpeed,InDeepWaterTurnRateAtMinSpeedGamepad,InDeepWaterTurnRateAtMidSpeed,InDeepWaterTurnRateAtMidSpeedGamepad,InDeepWaterTurnRateAtMaxSpeed,InDeepWaterTurnRateAtMaxSpeedGamepad,InDeepWaterWalkSpeed,InDeepWaterSlowWalkSpeed,InDeepWaterWalkAccel,InDeepWaterWalkDecel,InDeepWaterWalkTurnRate
ConfigMountRiding_18,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.255,6.954,6.6063,5.553,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_19,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.27,6.966,6.6177,5.562,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_20,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.285,6.978,6.6291,5.571,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_21,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.3,6.99,6.6405,5.58,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_22,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.315,7.002,6.6519,5.589,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_23,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.33,7.014,6.6633,5.598,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_24,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.345,7.026,6.6747,5.607,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_25,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.36,7.038,6.6861,5.616,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_26,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.375,7.05,6.6975,5.625,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_27,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.39,7.062,6.7089,5.634,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_28,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.405,7.074,6.7203,5.643,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_29,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.42,7.086,6.7317,5.652,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_30,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.435,7.098,6.7431,5.661,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_31,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.45,7.11,6.7545,5.67,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_32,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.465,7.122,6.7659,5.679,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_33,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.48,7.134,6.7773,5.688,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_34,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.495,7.146,6.7887,5.697,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_35,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.51,7.158,6.8001,5.706,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_36,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.525,7.17,6.8115,5.715,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_37,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.54,7.182,6.8229,5.724,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_38,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.555,7.194,6.8343,5.733,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_39,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.57,7.206,6.8457,5.742,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_40,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.585,7.218,6.8571,5.751,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_41,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.6,7.23,6.8685,5.76,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_42,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.615,7.242,6.8799,5.769,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_43,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.63,7.254,6.8913,5.778,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_44,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.645,7.266,6.9027,5.787,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_45,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.66,7.278,6.9141,5.796,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_46,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.675,7.29,6.9255,5.805,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_47,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.69,7.302,6.9369,5.814,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
