BuffBucketId,TableType,MaxRoll,Buff1,BuffType1,BuffPotency1,Buff2,BuffType2,BuffPotency2,Buff3,BuffType3,BuffPotency3,Buff4,BuffType4,BuffPotency4,Buff5,BuffType5,BuffPotency5,Buff6,BuffType6,BuffPotency6
AcolyteDarkness01Buffs,AND,,RandomOffNoElemBuff,BuffBucket,1,RandomDefensiveBuffNoResist,BuffBucket,1,,,,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,
AcolyteDarkness01Buffs_Probs,,0,0,,,0,,,,,,0,,,,,,,,
AcolyteDarknessContainer00Buffs,OR,,AcolyteDarkness00Buffs,BuffBucket,1,AcolyteDarkness01Buffs,BuffBucket,1,,,,,,,,,,,,
AcolyteDarknessContainer00Buffs_Probs,,100,0,,,50,,,,,,,,,,,,,,
TendrilDarkness00Buffs,AND,,RandomOffNoElemBuff,BuffBucket,1,RandomDefensiveBuffNoResist,BuffBucket,1,,,,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,
TendrilDarkness00Buffs_Probs,,0,0,,,0,,,,,,0,,,,,,,,
SwarmerDarkness00Buffs,AND,,AI_SelfDestruct_Buff,StatusEffect,1,AI_Damage_Buff,StatusEffect,1,,,,,,,,,,,,
SwarmerDarkness00Buffs_Probs,,0,0,,,0,,,,,,,,,,,,,,
SwarmerDarkness01Buffs,AND,,AI_Slime_Buff,StatusEffect,1,AI_StaminaDamage_Buff,StatusEffect,1,,,,,,,,,,,,
SwarmerDarkness01Buffs_Probs,,0,0,,,0,,,,,,,,,,,,,,
SwarmerDarknessContainer00Buffs,OR,,SwarmerDarkness00Buffs,BuffBucket,1,SwarmerDarkness01Buffs,BuffBucket,1,,,,,,,,,,,,
SwarmerDarknessContainer00Buffs_Probs,,100,0,,,50,,,,,,,,,,,,,,
CultistDarkness00Buffs,AND,,AI_ArcaneResist_Buff,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,
CultistDarkness00Buffs_Probs,,0,0,,,0,,,,,,0,,,,,,,,
CultistDarkness01Buffs,AND,,AI_Armor_Buff,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,
CultistDarkness01Buffs_Probs,,0,0,,,0,,,,,,0,,,,,,,,
CultistDarknessContainer00Buffs,OR,,CultistDarkness00Buffs,BuffBucket,1,CultistDarkness01Buffs,BuffBucket,1,,,,,,,,,,,,
CultistDarknessContainer00Buffs_Probs,,100,0,,,50,,,,,,,,,,,,,,
ElkDarkness00Buffs,AND,,AI_RotatingBeam_Buff,StatusEffect,1,,,,,,,,,,,,,,,
ElkDarkness00Buffs_Probs,,0,,,,,,,,,,,,,,,,,,
OgreDarkness00Buffs,AND,,RandomOffNoElemBuff,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,
OgreDarkness00Buffs_Probs,,0,0,,,0,,,,,,0,,,,,,,,
AIFireDamageBuff,AND,,AI_FireDamage_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AIFireDamageBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AICorruptionDamageBuff,AND,,AI_CorruptionDamage_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AICorruptionDamageBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AILightningDamageBuff,AND,,AI_LightningDamage_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AILightningDamageBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AIMagicDamageBuff,AND,,AI_ArcaneDamage_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AIMagicDamageBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AINatureDamageBuff,AND,,AI_NatureDamage_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AINatureDamageBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AIIceDamageBuff,AND,,AI_IceDamage_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AIIceDamageBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AIDamageBuff,AND,,AI_Damage_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AIDamageBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AIStaminaDamageBuff,AND,,AI_StaminaDamage_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AIStaminaDamageBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AIHealthBuff,AND,,AI_Health_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AIHealthBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AIArmorBuff,AND,,AI_Armor_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AIArmorBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AIFireResistBuff,AND,,AI_FireResist_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AIFireResistBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AIVoidResistBuff,AND,,AI_VoidResist_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AIVoidResistBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AILightningResistBuff,AND,,AI_LightningResist_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AILightningResistBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AIMagicResistBuff,AND,,AI_ArcaneResist_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AIMagicResistBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AINatureResistBuff,AND,,AI_NatureResist_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AINatureResistBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AIIceResistBuff,AND,,AI_IceResist_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AIIceResistBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AIColdAuraBuff,AND,,AI_ColdAura_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AIColdAuraBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AISelfDestructBuff,AND,,AI_SelfDestruct_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AISelfDestructBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AISelfDestructCorruptionBuff,AND,,AI_SelfDestruct_Corruption_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AISelfDestructCorruptionBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AICorruptionPoolBuff,AND,,AI_Corruption_Pool_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AICorruptionPoolBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AISlimeBuff,AND,,AI_Slime_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AISlimeBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AIRotatingBeamBuff,AND,,AI_RotatingBeam_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AIRotatingBeamBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AIPoisonOnHitBuff,AND,,AI_PoisonOnHit_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AIPoisonOnHitBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
AIProjectileShieldBuff,AND,,AI_ProjectileShield_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AIProjectileShieldBuff_Probs,,0,0,,,,,,,,,,,,,,,,,
ChampAIFireDamageBuff,AND,,AI_FireDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampAIFireDamageBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampAICorruptionDamageBuff,AND,,AI_CorruptionDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampAICorruptionDamageBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampAILightningDamageBuff,AND,,AI_LightningDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampAILightningDamageBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampAIMagicDamageBuff,AND,,AI_ArcaneDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampAIMagicDamageBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampAIIceDamageBuff,AND,,AI_IceDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampAIIceDamageBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampAIDamageBuff,AND,,AI_Damage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampAIDamageBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampAIStaminaDamageBuff,AND,,AI_StaminaDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampAIStaminaDamageBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampAIHealthBuff,AND,,AI_Health_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampAIHealthBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampAIArmorBuff,AND,,AI_Armor_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampAIArmorBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampAIFireResistBuff,AND,,AI_FireResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampAIFireResistBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampAIVoidResistBuff,AND,,AI_VoidResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampAIVoidResistBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampAILightningResistBuff,AND,,AI_LightningResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampAILightningResistBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampAIMagicResistBuff,AND,,AI_ArcaneResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampAIMagicResistBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampAIIceResistBuff,AND,,AI_IceResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampAIIceResistBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampAIColdAuraBuff,AND,,AI_ColdAura_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampAIColdAuraBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampAISelfDestructBuff,AND,,AI_SelfDestruct_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampAISelfDestructBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampAISelfDestructCorruptionBuff,AND,,AI_SelfDestruct_Corruption_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampAISelfDestructCorruptionBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampAICorruptionPoolBuff,AND,,AI_Corruption_Pool_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampAICorruptionPoolBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampAISlimeBuff,AND,,AI_Slime_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampAISlimeBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampAIRotatingBeamBuff,AND,,AI_RotatingBeam_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampAIRotatingBeamBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampAIPoisonOnHitBuff,AND,,AI_PoisonOnHit_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampAIPoisonOnHitBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampComboFireDestructBuff,AND,,AI_FireDamage_Buff,StatusEffect,1,AI_SelfDestruct_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
ChampComboFireDestructBuff_Probs,,0,0,,,0,,,0,,,,,,,,,,,
ChampComboCorruptionDestructBuff,AND,,AI_CorruptionDamage_Buff,StatusEffect,1,AI_SelfDestruct_Corruption_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
ChampComboCorruptionDestructBuff_Probs,,0,0,,,0,,,0,,,,,,,,,,,
ChampComboLightningBuff,AND,,AI_LightningDamage_Buff,StatusEffect,1,AI_LightningResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
ChampComboLightningBuff_Probs,,0,0,,,0,,,0,,,,,,,,,,,
ChampComboMagicBuff,AND,,AI_ArcaneDamage_Buff,StatusEffect,1,AI_ArcaneResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
ChampComboMagicBuff_Probs,,0,0,,,0,,,0,,,,,,,,,,,
ChampComboFireBuff,AND,,AI_FireDamage_Buff,StatusEffect,1,AI_FireResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
ChampComboFireBuff_Probs,,0,0,,,0,,,0,,,,,,,,,,,
ChampComboDamageArmorBuff,AND,,AI_Damage_Buff,StatusEffect,1,AI_Armor_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
ChampComboDamageArmorBuff_Probs,,0,0,,,0,,,0,,,,,,,,,,,
ChampComboHealthArmorBuff,AND,,AI_Health_Buff,StatusEffect,1,AI_Armor_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
ChampComboHealthArmorBuff_Probs,,0,0,,,0,,,0,,,,,,,,,,,
ChampComboLightningBeamBuff,AND,,AI_LightningDamage_Buff,StatusEffect,1,AI_RotatingBeam_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
ChampComboLightningBeamBuff_Probs,,0,0,,,0,,,0,,,,,,,,,,,
DungeonFireDamageBuff,AND,,AI_FireDamage_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,,,,,,,,,,
DungeonFireDamageBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
DungeonCorruptionDamageBuff,AND,,AI_CorruptionDamage_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,,,,,,,,,,
DungeonCorruptionDamageBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
DungeonLightningDamageBuff,AND,,AI_LightningDamage_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,,,,,,,,,,
DungeonLightningDamageBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
DungeonArcaneDamageBuff,AND,,AI_ArcaneDamage_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,,,,,,,,,,
DungeonArcaneDamageBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
DungeonIceDamageBuff,AND,,AI_IceDamage_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,,,,,,,,,,
DungeonIceDamageBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
DungeonDamageBuff,AND,,AI_Damage_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,,,,,,,,,,
DungeonDamageBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
DungeonStaminaDamageBuff,AND,,AI_StaminaDamage_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,,,,,,,,,,
DungeonStaminaDamageBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
DungeonHealthBuff,AND,,AI_Health_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,,,,,,,,,,
DungeonHealthBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
DungeonArmorBuff,AND,,AI_Armor_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,,,,,,,,,,
DungeonArmorBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
DungeonFireResistBuff,AND,,AI_FireResist_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,,,,,,,,,,
DungeonFireResistBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
DungeonVoidResistBuff,AND,,AI_VoidResist_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,,,,,,,,,,
DungeonVoidResistBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
DungeonLightningResistBuff,AND,,AI_LightningResist_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,,,,,,,,,,
DungeonLightningResistBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
DungeonArcaneResistBuff,AND,,AI_ArcaneResist_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,,,,,,,,,,
DungeonArcaneResistBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
DungeonIceResistBuff,AND,,AI_IceResist_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,,,,,,,,,,
DungeonIceResistBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
DungeonColdAuraBuff,AND,,AI_ColdAura_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,,,,,,,,,,
DungeonColdAuraBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
DungeonSelfDestructBuff,AND,,AI_SelfDestruct_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,,,,,,,,,,
DungeonSelfDestructBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
DungeonSelfDestructCorruptionBuff,AND,,AI_SelfDestruct_Corruption_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,,,,,,,,,,
DungeonSelfDestructCorruptionBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
DungeonCorruptionPoolBuff,AND,,AI_Corruption_Pool_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,,,,,,,,,,
DungeonCorruptionPoolBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
DungeonSlimeBuff,AND,,AI_Slime_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,,,,,,,,,,
DungeonSlimeBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
DungeonRotatingBeamBuff,AND,,AI_RotatingBeam_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,,,,,,,,,,
DungeonRotatingBeamBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
Elemental Mutators - Hellfire,,,,,,,,,,,,,,,,,,,,
Mutation_Hellfire_DungeonMinus_Tier1,AND,,Mut_Fir_Damage_Buff,StatusEffect,1,Mut_Fir_Resist_1_Buff,StatusEffect,1,Mutation_Hellfire_DungeonMinus_Tier1_Death,BuffBucket,1,PromSoloEltBuff,BuffBucket,1,,,,,,
Mutation_Hellfire_DungeonMinus_Tier1_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
Mutation_Hellfire_DungeonMinus_Tier1_Death,AND,,Mut_Fir_Death_Buff,StatusEffect,1,,,,,,,,,,,,,,,
Mutation_Hellfire_DungeonMinus_Tier1_Death_Probs,,100,80,,,,,,,,,,,,,,,,,
Mutation_Hellfire_Dungeon_Tier1,AND,,Mut_Fir_Resist_1_Buff,StatusEffect,1,Mut_Fir_Damage_Buff,StatusEffect,1,Mut_Fir_Burn_1_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,,,,
Mutation_Hellfire_Dungeon_Tier1_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
Mutation_Hellfire_DungeonPlus_Tier1,AND,,Mut_Fir_Resist_1_Buff,StatusEffect,1,Mut_Fir_Damage_Buff,StatusEffect,1,Mut_Fir_Burn_1_Buff,StatusEffect,1,Mut_Fir_AOE_1_Buff,StatusEffect,1,PromSoloEltBuff,BuffBucket,1,,,
Mutation_Hellfire_DungeonPlus_Tier1_Probs,,0,0,,,0,,,0,,,0,,,0,,,,,
Mutation_Hellfire_DungeonMinus_Tier2,AND,,Mut_Fir_Damage_Buff,StatusEffect,1,Mut_Fir_Resist_1_Buff,StatusEffect,1,Mutation_Hellfire_DungeonMinus_Tier2_Death,BuffBucket,1,PromSoloEltBuff,BuffBucket,1,,,,,,
Mutation_Hellfire_DungeonMinus_Tier2_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
Mutation_Hellfire_DungeonMinus_Tier2_Death,AND,,Mut_Fir_Death_Buff,StatusEffect,1,,,,,,,,,,,,,,,
Mutation_Hellfire_DungeonMinus_Tier2_Death_Probs,,100,60,,,,,,,,,,,,,,,,,
Mutation_Hellfire_Dungeon_Tier2,AND,,Mut_Fir_Resist_1_Buff,StatusEffect,1,Mut_Fir_Damage_Buff,StatusEffect,1,Mut_Fir_Burn_1_Buff,StatusEffect,1,Promotion1,Promotion,1,PromSoloEltBuff,BuffBucket,1,,,
Mutation_Hellfire_Dungeon_Tier2_Probs,,0,0,,,0,,,0,,,0,,,0,,,,,
Mutation_Hellfire_DungeonPlus_Tier2,AND,,Mut_Fir_Resist_2_Buff,StatusEffect,1,Mut_Fir_Damage_Buff,StatusEffect,1,Mutation_Hellfire_DungeonPlus_Tier2_Promo,BuffBucket,1,PromSoloEltBuff,BuffBucket,1,,,,,,
Mutation_Hellfire_DungeonPlus_Tier2_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
Mutation_Hellfire_DungeonPlus_Tier2_Promo,OR,,Mutation_Hellfire_DungeonPlus_Tier2_Promo1,BuffBucket,1,Mutation_Hellfire_DungeonPlus_Tier2_Promo2,BuffBucket,1,,,,,,,,,,,,
Mutation_Hellfire_DungeonPlus_Tier2_Promo_Probs,,100,0,,,50,,,,,,,,,,,,,,
Mutation_Hellfire_DungeonPlus_Tier2_Promo1,AND,,Mut_Fir_Burn_2_Buff,StatusEffect,1,Mut_Fir_AOE_2_Buff,StatusEffect,1,Promotion2,Promotion,1,,,,,,,,,
Mutation_Hellfire_DungeonPlus_Tier2_Promo1_Probs,,0,0,,,0,,,0,,,,,,,,,,,
Mutation_Hellfire_DungeonPlus_Tier2_Promo2,AND,,Mut_Fir_AOE_2_Buff,StatusEffect,1,Promotion2,Promotion,1,Promotion3,Promotion,1,,,,,,,,,
Mutation_Hellfire_DungeonPlus_Tier2_Promo2_Probs,,0,0,,,0,,,0,,,,,,,,,,,
Mutation_Hellfire_DungeonMinus_Tier3,AND,,Mut_Fir_Damage_Buff,StatusEffect,1,Mut_Fir_Resist_1_Buff,StatusEffect,1,Mutation_Hellfire_DungeonMinus_Tier3_Death,BuffBucket,1,PromSoloEltBuff,BuffBucket,1,,,,,,
Mutation_Hellfire_DungeonMinus_Tier3_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
Mutation_Hellfire_DungeonMinus_Tier3_Death,AND,,Mut_Fir_Death_Buff,StatusEffect,1,,,,,,,,,,,,,,,
Mutation_Hellfire_DungeonMinus_Tier3_Death_Probs,,100,40,,,,,,,,,,,,,,,,,
Mutation_Hellfire_Dungeon_Tier3,AND,,Mut_Fir_Resist_2_Buff,StatusEffect,1,Mut_Fir_Damage_Buff,StatusEffect,1,Mut_Fir_Burn_1_Buff,StatusEffect,1,Promotion1,Promotion,1,PromSoloEltBuff,BuffBucket,1,,,
Mutation_Hellfire_Dungeon_Tier3_Probs,,0,0,,,0,,,0,,,0,,,0,,,,,
Mutation_Hellfire_DungeonPlus_Tier3,AND,,Mut_Fir_Resist_2_Buff,StatusEffect,1,Mut_Fir_Damage_Buff,StatusEffect,1,Mutation_Hellfire_DungeonPlus_Tier3_Promo,BuffBucket,1,PromSoloEltBuff,BuffBucket,1,,,,,,
Mutation_Hellfire_DungeonPlus_Tier3_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
Mutation_Hellfire_DungeonPlus_Tier3_Promo,OR,,Mutation_Hellfire_DungeonPlus_Tier3_Promo1,BuffBucket,1,Mutation_Hellfire_DungeonPlus_Tier3_Promo2,BuffBucket,1,,,,,,,,,,,,
Mutation_Hellfire_DungeonPlus_Tier3_Promo_Probs,,100,0,,,50,,,,,,,,,,,,,,
Mutation_Hellfire_DungeonPlus_Tier3_Promo1,AND,,Mut_Fir_Burn_2_Buff,StatusEffect,1,Mut_Fir_AOE_2_Buff,StatusEffect,1,Promotion2,Promotion,1,,,,,,,,,
Mutation_Hellfire_DungeonPlus_Tier3_Promo1_Probs,,0,0,,,0,,,0,,,,,,,,,,,
Mutation_Hellfire_DungeonPlus_Tier3_Promo2,AND,,Mut_Fir_AOE_2_Buff,StatusEffect,1,Promotion2,Promotion,1,Promotion3,Promotion,1,,,,,,,,,
Mutation_Hellfire_DungeonPlus_Tier3_Promo2_Probs,,0,0,,,0,,,0,,,,,,,,,,,
Mutation_Hellfire_DungeonMinus_Tier4,AND,,Mut_Fir_Damage_Buff,StatusEffect,1,Mut_Fir_Resist_1_Buff,StatusEffect,1,Mutation_Hellfire_DungeonMinus_Tier4_Death,BuffBucket,1,PromSoloEltBuff,BuffBucket,1,,,,,,
Mutation_Hellfire_DungeonMinus_Tier4_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
Mutation_Hellfire_DungeonMinus_Tier4_Death,AND,,Mut_Fir_Death_Buff,StatusEffect,1,,,,,,,,,,,,,,,
Mutation_Hellfire_DungeonMinus_Tier4_Death_Probs,,100,20,,,,,,,,,,,,,,,,,
Mutation_Hellfire_Dungeon_Tier4,AND,,Mut_Fir_Resist_2_Buff,StatusEffect,1,Mut_Fir_Damage_Buff,StatusEffect,1,Mut_Fir_Burn_1_Buff,StatusEffect,1,Promotion1,Promotion,1,PromSoloEltBuff,BuffBucket,1,,,
Mutation_Hellfire_Dungeon_Tier4_Probs,,0,0,,,0,,,0,,,0,,,0,,,,,
Mutation_Hellfire_DungeonPlus_Tier4,AND,,Mut_Fir_Resist_2_Buff,StatusEffect,1,Mut_Fir_Damage_Buff,StatusEffect,1,Mutation_Hellfire_DungeonPlus_Tier4_Promo,BuffBucket,1,PromSoloEltBuff,BuffBucket,1,,,,,,
Mutation_Hellfire_DungeonPlus_Tier4_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
Mutation_Hellfire_DungeonPlus_Tier4_Promo,OR,,Mutation_Hellfire_DungeonPlus_Tier4_Promo1,BuffBucket,1,Mutation_Hellfire_DungeonPlus_Tier4_Promo2,BuffBucket,1,,,,,,,,,,,,
Mutation_Hellfire_DungeonPlus_Tier4_Promo_Probs,,100,0,,,50,,,,,,,,,,,,,,
Mutation_Hellfire_DungeonPlus_Tier4_Promo1,AND,,Mut_Fir_Burn_2_Buff,StatusEffect,1,Mut_Fir_AOE_2_Buff,StatusEffect,1,Promotion2,Promotion,1,,,,,,,,,
Mutation_Hellfire_DungeonPlus_Tier4_Promo1_Probs,,0,0,,,0,,,0,,,,,,,,,,,
Mutation_Hellfire_DungeonPlus_Tier4_Promo2,AND,,Mut_Fir_AOE_2_Buff,StatusEffect,1,Promotion2,Promotion,1,Promotion3,Promotion,1,,,,,,,,,
Mutation_Hellfire_DungeonPlus_Tier4_Promo2_Probs,,0,0,,,0,,,0,,,,,,,,,,,
Elemental Mutators - Eternal,,,,,,,,,,,,,,,,,,,,
