SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,DoNotSyncToJointOnClient,UseDirectTargetAsAttachOwner,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,AttachProjectileOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,SecondarySpellProjectileLaunchAngles,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,IsUnaffiliated,WeaponSlotOverride,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,AOECharRelPosOffsetX,AOECharRelPosOffsetY,AOECharRelPosOffsetZ,AOECharRelRotOffsetX,AOECharRelRotOffsetY,AOECharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID
ChainVoidPerk1,ChainVoidDamage,,,,true,,,,,,,,,true,true,,,false,false,,true,1000,,,,6,,,,,,,,,,0.3,1,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Corruption,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Void_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
ChainVoidPerk2,ChainVoidDamage,,,,true,,,,,,,,,true,true,,,false,false,,true,2000,,,,6,,,,,,,,,,0.3,2,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Corruption,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Void_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
ChainVoidPerk3,ChainVoidDamage,,,,true,,,,,,,,,true,true,,,false,false,,true,3000,,,,6,,,,,,,,,,0.3,3,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Corruption,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Void_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
ChainIcePerk1,ChainIceDamage,,,,true,,,,,,,,,true,true,,,false,false,,true,1000,,,,6,,,,,,,,,,0.3,1,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Ice,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Ice_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
ChainIcePerk2,ChainIceDamage,,,,true,,,,,,,,,true,true,,,false,false,,true,2000,,,,6,,,,,,,,,,0.3,2,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Ice,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Ice_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
ChainIcePerk3,ChainIceDamage,,,,true,,,,,,,,,true,true,,,false,false,,true,3000,,,,6,,,,,,,,,,0.3,3,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Ice,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Ice_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
ChainNaturePerk1,ChainNatureDamage,,,,true,,,,,,,,,true,true,,,false,false,,true,1000,,,,6,,,,,,,,,,0.3,1,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Nature,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Nature_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
ChainNaturePerk2,ChainNatureDamage,,,,true,,,,,,,,,true,true,,,false,false,,true,2000,,,,6,,,,,,,,,,0.3,2,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Nature,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Nature_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
ChainNaturePerk3,ChainNatureDamage,,,,true,,,,,,,,,true,true,,,false,false,,true,3000,,,,6,,,,,,,,,,0.3,3,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Nature,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Nature_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
ChainLightning,,,,,true,,,,,,,,,true,true,,,false,false,,true,,,,,20,,,,,,,,,,1,5,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Lightning_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
BrotherUmberto_Tether,,,,,true,,,,,,,,true,,,,,true,true,,false,-1,,,,40,,,,,,,,,0,90,1,true,,,,,,,,All,Elemental,Chain,,,Sphere,,,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cFX_npc_UmbertoSpectre.soulSplit_tether,,Characters/SpellSlices/BrotherUmberto_Tether,,,,
Emote_Snowball_Projectile,,,,,,,,,,,,,,,,,,,true,,,-1,,,,,,,,20,,,,,,,,,,,,,,,,Enemy,Ability,Projectile,,,,Ice,,,,,,,Emote,Snowball,right_hand_attach,,,,,,,,,,,,,,,,,,,,10,DamageTable,Emote_Snowball,,,,,Items/Weapons/emote_snowball_projectile,,,,
