ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,RewardWithPlayerLevel,RewardType,NOTE
12A_Side_11_ClericAmulets,Journey,,15,,,,,12A_Side_11_ClericAmulets_Container,12_DayoMusa,,12A_Side_11,12A_MSQ_21,,,12A_Side_11_ClericAmulets_Success,,,,,,,,,1,@12A_Side_11_ClericAmulets_Obj_Title,@12A_Side_11_ClericAmulets_Obj_Desc,@12A_Side_11_ClericAmulets_Obj_Start_Prompt,@12A_Side_11_ClericAmulets_Obj_Proposal_a,@12A_Side_11_ClericAmulets_Obj_Incomplete,@complete_available_prompt_DEFAULT,@12A_Side_11_ClericAmulets_Obj_Response_a,,,1,,,,,,,,,
12A_Side_12_KnightsCrest,Journey,,17,,,,,12A_Side_12_KnightsCrest_Container,12_AsheDubois,,12A_Side_12,12A_MSQ_21 && 12A_Side_04,,,12A_Side_12_KnightsCrest_Success,,,,,,,,,1,@12A_Side_12_KnightsCrest_Obj_Title,@12A_Side_12_KnightsCrest_Obj_Desc,@12A_Side_12_KnightsCrest_Obj_Start_Prompt,@12A_Side_12_KnightsCrest_Obj_Proposal_a,@12A_Side_12_KnightsCrest_Obj_Incomplete,@complete_available_prompt_DEFAULT,@12A_Side_12_KnightsCrest_Obj_Response,,,1,,,,,,,,,
12A_Side_13_DevilHoney,Journey,,7,,,,,12A_Side_13_DevilHoney_Container,12_GeertieLother,,12A_Side_13,12A_MSQ_04,,,12A_Side_13_DevilHoney_Success,,,,,,,,,1,@12A_Side_13_DevilHoney_Obj_Title,@12A_Side_13_DevilHoney_Obj_Desc,@12A_Side_13_DevilHoney_Obj_Start_Prompt,@12A_Side_13_DevilHoney_Obj_Proposal_a,@12A_Side_13_DevilHoney_Obj_Incomplete,@complete_available_prompt_DEFAULT,@12A_Side_13_DevilHoney_Obj_Response_a,,,1,,,,,,,,,
12A_Side_14_CollectWine,Journey,,9,,,,,12A_Side_14_CollectWine_Container,12_GeertieLother,,12A_Side_14,12A_Side_13,,,12A_Side_14_CollectWine_Success,,,,,,,,,1,@12A_Side_14_CollectWine_Obj_Title,@12A_Side_14_CollectWine_Obj_Desc,@12A_Side_14_CollectWine_Obj_Start_Prompt,@12A_Side_14_CollectWine_Obj_Proposal_a,@12A_Side_14_CollectWine_Obj_Incomplete,@complete_available_prompt_DEFAULT,@12A_Side_14_CollectWine_Obj_Response,,,1,,,,,,,,,
12A_Side_15_CollectResources,Journey,,7,,,,,12A_Side_15_CollectResources_Container,12_CemalQadir,,12A_Side_15,12A_Side_03,,,12A_Side_15_CollectResources_Success,,,,,,,,,FALSE,@12A_Side_15_CollectResources_Obj_Title,@12A_Side_15_CollectResources_Obj_Desc,@12A_Side_15_CollectResources_Obj_Start_Prompt,@12A_Side_15_CollectResources_Obj_Proposal_a,@12A_Side_15_CollectResources_Obj_Incomplete,@complete_available_prompt_DEFAULT,@12A_Side_15_CollectResources_Obj_Response,,,1,,,,,,,,,
12A_Side_16_ToGoodUse,Journey,,7,,,,,12A_Side_16_ToGoodUse_Container,12_CemalQadir,,12A_Side_16,12A_Side_15,,,12A_Side_16_ToGoodUse_Success,,,,12A_Side_17_MarketBoard,,,,,FALSE,@12A_Side_16_ToGoodUse_Obj_Title,@12A_Side_16_ToGoodUse_Obj_Desc,@12A_Side_16_ToGoodUse_Obj_Start_Prompt,@12A_Side_16_ToGoodUse_Obj_Proposal_a,@12A_Side_16_ToGoodUse_Obj_Incomplete,@complete_available_prompt_DEFAULT,@12A_Side_16_ToGoodUse_Obj_Response_a,,,1,,,,,,,,,
12A_Side_17_MarketBoard,Journey,,7,,,,,12A_Side_17_MarketBoard_Container,,,12A_Side_17,12A_Side_16,,,12A_Side_17_MarketBoard_Success,,,,,,,,,FALSE,@12A_Side_17_MarketBoard_Obj_Title,@12A_Side_17_MarketBoard_Obj_Desc,,,,@complete_available_prompt_DEFAULT,,,,1,,,,,,,,,
1225_0101_downpayment_MB,SkillProgression,,14,,,,,1225_0101a_d_00_container_downpayment,1225_GiacomoChason,12,S_downpayment,,,,,,,,,QuestRewardHousing1,1,,,0,@1225_0101_downpayment_objective_title,@1225_0101_downpayment_objective_desc,@1225_0101_downpayment_start_prompt,@1225_0101_downpayment_proposal_a,@1225_0101_downpayment_incomplete,@complete_available_prompt_DEFAULT,@1225_0101_downpayment_complete_available_response_a,,,,,,,,,,true,Quest+,
1225_0101_downpayment_FL,SkillProgression,,14,,,,,1225_0101d_d_00_container_downpayment,1225_GiacomoChason,6,S_downpayment,,,,,,,,,QuestRewardHousing1,1,,,0,@1225_0101_downpayment_objective_title,@1225_0101_downpayment_objective_desc,@1225_0101_downpayment_start_prompt,@1225_0101_downpayment_proposal,@1225_0101_downpayment_incomplete,@complete_available_prompt_DEFAULT,@1225_0101_downpayment_complete_available_response_a,,,,,,,,,,true,Quest+,
1225_0101_downpayment_EF,SkillProgression,,14,,,,,1225_0101c_d_00_container_downpayment,1225_GiacomoChason,4,S_downpayment,,,,,,,,,QuestRewardHousing1,1,,,0,@1225_0101_downpayment_objective_title,@1225_0101_downpayment_objective_desc,@1225_0101_downpayment_start_prompt,@1225_0101_downpayment_proposal,@1225_0101_downpayment_incomplete,@complete_available_prompt_DEFAULT,@1225_0101_downpayment_complete_available_response_a,,,,,,,,,,true,Quest+,
1225_0101_downpayment_WW,SkillProgression,,14,,,,,1225_0101d_d_00_container_downpayment,1225_GiacomoChason,6,S_downpayment,,,,,,,,,QuestRewardHousing1,1,,,0,@1225_0101_downpayment_objective_title,@1225_0101_downpayment_objective_desc,@1225_0101_downpayment_start_prompt,@1225_0101_downpayment_proposal_a,@1225_0101_downpayment_incomplete,@complete_available_prompt_DEFAULT,@1225_0101_downpayment_complete_available_response_a,,,,,,,,,,true,Quest+,
1225_0201_majorpurchase,SkillProgression,,18,,,,,1225_0201_d_00_container_majorpurchase,1225_GiacomoChason,,12_Quest_Housing_2,S_downpayment,,,,,,,,House_HousingItem_Chair_Settler_Chair01_A,1,,,0,@1225_0201_majorpurchase_objective_title,@1225_0201_majorpurchase_objective_desc,@1225_0201_majorpurchase_start_prompt,@1225_0201_majorpurchase_proposal_a,@1225_0201_majorpurchase_incomplete,@complete_available_prompt_DEFAULT,@1225_0201_majorpurchase_complete_available_response,,,,,,,,,,true,Quest+,
1225_0301_insuringinvestmentA,SkillProgression,,21,,,,,1225_0301_d_00_container_insuringinvestmentA,1225_GiacomoTravelersA,,12_Quest_Housing_3a,12_Quest_Housing_2,,,,,,,,,,,,0,@1225_0301_insuringinvestmentA_objective_title,@1225_0301_insuringinvestmentA_objective_desc,@1225_0301_insuringinvestmentA_start_prompt,@1225_0301_insuringinvestmentA_proposal_a,@1225_0301_insuringinvestmentA_incomplete,@complete_available_prompt_DEFAULT,@1225_0301_insuringinvestmentA_complete_available_response,,,,,,,,,,true,Quest+,
1225_0302_insuringinvestmentB,SkillProgression,,23,,,,,1225_0302_d_00_container_insuringinvestmentB,1225_GiacomoTravelersA,,12_Quest_Housing_3b,12_Quest_Housing_3a,,,,,,,,House_HousingItem_Storage_T1_ChestOldLog,1,,,0,@1225_0302_insuringinvestmentB_objective_title,@1225_0302_insuringinvestmentB_objective_desc,@1225_0302_insuringinvestmentB_start_prompt,@1225_0302_insuringinvestmentB_proposal_a,@1225_0302_insuringinvestmentB_incomplete,@complete_available_prompt_DEFAULT,@1225_0302_insuringinvestmentB_complete_available_response_a,,,,,,,,,,true,Quest+,
1225_0401_siteinspection,SkillProgression,,30,,,,,1225_0401_d_00_container_siteinspection,1225_GiacomoTravelersA,,12_Quest_Housing_4,12_Quest_Housing_3b,,,,,,,,House_HousingItem_Bed_Settler_Bed02_A,1,,,0,@1225_0401_siteinspection_objective_title,@1225_0401_siteinspection_objective_desc,@1225_0401_siteinspection_start_prompt,@1225_0401_siteinspection_proposal_a,@1225_0401_siteinspection_incomplete,@complete_available_prompt_DEFAULT,@1225_0401_siteinspection_complete_available_response,,,,,,,,,,true,Quest+,
1225_0501_mandatoryimprovements,SkillProgression,,37,,,,,1225_0501_d_00_container_mandatoryimprovements,1225_GiacomoTravelersB,,12_Quest_Housing_5,12_Quest_Housing_4,,,,,,,,,,,,0,@1225_0501_mandatoryimprovements_objective_title,@1225_0501_mandatoryimprovements_objective_desc,@1225_0501_mandatoryimprovements_start_prompt,@1225_0501_mandatoryimprovements_proposal_a,@1225_0501_mandatoryimprovements_incomplete,@complete_available_prompt_DEFAULT,@1225_0501_mandatoryimprovements_complete_available_response_a,,,,,,,,,,true,Quest+,
1225_0601_closingcost,SkillProgression,,50,,,,,1225_0601_d_00_container_closingcost,1225_GiacomoTravelersB,,12_Quest_Housing_6,12_Quest_Housing_5,,,,,,,,QuestRewardHousing7,1,,,0,@1225_0601_closingcost_objective_title,@1225_0601_closingcost_objective_desc,@1225_0601_closingcost_start_prompt,@1225_0601_closingcost_proposal_a,@1225_0601_closingcost_incomplete_a,@complete_available_prompt_DEFAULT,@1225_0601_closingcost_complete_available_response,,,,,,,,,,true,Quest+,
