ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,CanBeAbandoned,Repeatable,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,ScheduleId,ShouldResetInProgressQuestOnScheduleEnd
FM_0463_objective,Mission,,,,,true,true,FM_0463_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0464_objective,Mission,,,,,true,true,FM_0464_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0465_objective,Mission,,,,,true,true,FM_0465_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0467_objective,Mission,,,,,true,true,FM_0467_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0468_objective,Mission,,,,,true,true,FM_0468_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0469_objective,Mission,,,,,true,true,FM_0469_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0470_objective,Mission,,,,,true,true,FM_0470_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0461_objective,Mission,,,,,true,true,FM_S_0461_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0462_objective,Mission,,,,,true,true,FM_S_0462_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0463_objective,Mission,,,,,true,true,FM_S_0463_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0464_objective,Mission,,,,,true,true,FM_S_0464_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0465_objective,Mission,,,,,true,true,FM_S_0465_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0467_objective,Mission,,,,,true,true,FM_S_0467_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0468_objective,Mission,,,,,true,true,FM_S_0468_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0469_objective,Mission,,,,,true,true,FM_S_0469_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0470_objective,Mission,,,,,true,true,FM_S_0470_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0461_objective,Mission,,,,,true,true,FM_C_0461_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0462_objective,Mission,,,,,true,true,FM_C_0462_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0463_objective,Mission,,,,,true,true,FM_C_0463_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0464_objective,Mission,,,,,true,true,FM_C_0464_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0465_objective,Mission,,,,,true,true,FM_C_0465_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0467_objective,Mission,,,,,true,true,FM_C_0467_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0468_objective,Mission,,,,,true,true,FM_C_0468_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0469_objective,Mission,,,,,true,true,FM_C_0469_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0470_objective,Mission,,,,,true,true,FM_C_0470_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_04_H_01_objective,Mission,,,,,true,true,FM_04_H_01_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_04_H_02_objective,Mission,,,,,true,true,FM_04_H_02_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_04_H_03_objective,Mission,,,,,true,true,FM_04_H_03_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_04_EXP_01a_objective,Mission,,,,,true,true,FM_04_EXP_01a_container,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_04_EXP_02a_objective,Mission,,,,,true,true,FM_04_EXP_02a_container,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_04_EXP_03a_objective,Mission,,,,,true,true,FM_04_EXP_03a_container,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
