ProfileName,IsTargetLockEnabled,TargetLockFilterOutTargets-KBAM-PVE,TargetLockFilterOutTargets-KBAM-PVP,TargetLockFilterOutTargets-Controller-PVE,TargetLockFilterOutTargets-Controller-PVP,BreakLockOnADS-KBAM-PVE,BreakLockOnADS-KBAM-PVP,BreakLockOnADS-Controller-PVE,BreakLockOnADS-Controller-PVP,TargetLockCameraFollow-KBAM-PVE,TargetLockCameraFollow-KBAM-PVP,TargetLockCameraFollow-Controller-PVE,TargetLockCameraFollow-Controller-PVP,TargetLockAllowRetarget-KBAM-PVE,TargetLockAllowRetarget-KBAM-PVP,TargetLockAllowRetarget-Controller-PVE,TargetLockAllowRetarget-Controller-PVP,TargetLockSwapToggleOn-KBAM-PVE,TargetLockSwapToggleOn-KBAM-PVP,TargetLockSwapToggleOn-Controller-PVE,TargetLockSwapToggleOn-Controller-PVP,TargetLockTargetOnlyGroup-KBAM-PVE,TargetLockTargetOnlyGroup-KBAM-PVP,TargetLockTargetOnlyGroup-Controller-PVE,TargetLockTargetOnlyGroup-Controller-PVP,TargetLockIsStickyLock-KBAM-PVE,TargetLockIsStickyLock-KBAM-PVP,TargetLockIsStickyLock-Controller-PVE,TargetLockIsStickyLock-Controller-PVP,IsProjectileMagnetismEnabled,IsProjectileMagnetismEnabled-Controller-PVP,IsProjectileMagnetismEnabled-Controller-PVE,ProjectileMagnetismAngularVelocityHorizontal-Controller-PVE,ProjectileMagnetismAngularVelocityHorizontal-Controller-PVP,ProjectileMagnetismAngularVelocityVertical-Controller-PVE,ProjectileMagnetismAngularVelocityVertical-Controller-PVP,ProjectileMagnetismSelectionAngle-Controller-PVE,ProjectileMagnetismSelectionAngle-Controller-PVP,ProjectileMagnetismSelectionRadius-Controller-PVE,ProjectileMagnetismSelectionRadius-Controller-PVP,ProjectileMagnetismSelectionDistance-Controller-PVE,ProjectileMagnetismSelectionDistance-Controller-PVP,IsReticleMagnetismEnabled,IsReticleMagnetismEnabled-Controller-PVP,IsReticleMagnetismEnabled-Controller-PVE,IsReticleMagnetismDeadReckoned,IsReticleMagnetismDeadReckoned-Controller-PVP,IsReticleMagnetismDeadReckoned-Controller-PVE,AllyLosBreakDelay-KBAM-PVE,AllyLosBreakDelay-KBAM-PVP,AllyLosBreakDelay-Controller-PVE,AllyLosBreakDelay-Controller-PVP,EnemyLosBreakDelay-KBAM-PVE,EnemyLosBreakDelay-KBAM-PVP,EnemyLosBreakDelay-Controller-PVE,EnemyLosBreakDelay-Controller-PVP,AllyLockInitialMaxDistance-KBAM-PVE,AllyLockInitialMaxDistance-KBAM-PVP,AllyLockInitialMaxDistance-Controller-PVE,AllyLockInitialMaxDistance-Controller-PVP,EnemyLockInitialMaxDistance-KBAM-PVE,EnemyLockInitialMaxDistance-KBAM-PVP,EnemyLockInitialMaxDistance-Controller-PVE,EnemyLockInitialMaxDistance-Controller-PVP,AllyLockEstablishedMaxDistance-KBAM-PVE,AllyLockEstablishedMaxDistance-KBAM-PVP,AllyLockEstablishedMaxDistance-Controller-PVE,AllyLockEstablishedMaxDistance-Controller-PVP,EnemyLockEstablishedMaxDistance-KBAM-PVE,EnemyLockEstablishedMaxDistance-KBAM-PVP,EnemyLockEstablishedMaxDistance-Controller-PVE,EnemyLockEstablishedMaxDistance-Controller-PVP,Friction,FrictionRadius,FrictionMaxDistance,ADSFriction,ADSFrictionRadius,ADSFrictionMaxDistance,MinRelaxedFriction,ADSMinRelaxedFriction,FrictionRelaxationMaxDistance,FrictionRelaxationMinDistance,FrictionRelaxationMinValue,FrictionRadiusRelaxationMaxDistance,FrictionRadiusRelaxationMinDistance,FrictionRadiusRelaxationMinValue,Friction-KBAM-PVE,FrictionRadius-KBAM-PVE,FrictionMaxDistance-KBAM-PVE,ADSFriction-KBAM-PVE,ADSFrictionRadius-KBAM-PVE,ADSFrictionMaxDistance-KBAM-PVE,MinRelaxedFriction-KBAM-PVE,ADSMinRelaxedFriction-KBAM-PVE,FrictionRelaxationMaxDistance-KBAM-PVE,FrictionRelaxationMinDistance-KBAM-PVE,FrictionRelaxationMinValue-KBAM-PVE,FrictionRadiusRelaxationMaxDistance-KBAM-PVE,FrictionRadiusRelaxationMinDistance-KBAM-PVE,FrictionRadiusRelaxationMinValue-KBAM-PVE,Friction-KBAM-PVP,FrictionRadius-KBAM-PVP,FrictionMaxDistance-KBAM-PVP,ADSFriction-KBAM-PVP,ADSFrictionRadius-KBAM-PVP,ADSFrictionMaxDistance-KBAM-PVP,MinRelaxedFriction-KBAM-PVP,ADSMinRelaxedFriction-KBAM-PVP,FrictionRelaxationMaxDistance-KBAM-PVP,FrictionRelaxationMinDistance-KBAM-PVP,FrictionRelaxationMinValue-KBAM-PVP,FrictionRadiusRelaxationMaxDistance-KBAM-PVP,FrictionRadiusRelaxationMinDistance-KBAM-PVP,FrictionRadiusRelaxationMinValue-KBAM-PVP,Friction-Controller-PVE,FrictionRadius-Controller-PVE,FrictionMinRadius-Controller-PVE,FrictionMaxDistance-Controller-PVE,ADSFriction-Controller-PVE,ADSFrictionRadius-Controller-PVE,ADSFrictionMinRadius-Controller-PVE,ADSFrictionMaxDistance-Controller-PVE,MinRelaxedFriction-Controller-PVE,ADSMinRelaxedFriction-Controller-PVE,FrictionRelaxationMaxDistance-Controller-PVE,FrictionRelaxationMinDistance-Controller-PVE,FrictionRelaxationMinValue-Controller-PVE,FrictionRadiusRelaxationMaxDistance-Controller-PVE,FrictionRadiusRelaxationMinDistance-Controller-PVE,FrictionRadiusRelaxationMinValue-Controller-PVE,Friction-Controller-PVP,FrictionRadius-Controller-PVP,FrictionMinRadius-Controller-PVP,FrictionMaxDistance-Controller-PVP,ADSFriction-Controller-PVP,ADSFrictionRadius-Controller-PVP,ADSFrictionMinRadius-Controller-PVP,ADSFrictionMaxDistance-Controller-PVP,MinRelaxedFriction-Controller-PVP,ADSMinRelaxedFriction-Controller-PVP,FrictionRelaxationMaxDistance-Controller-PVP,FrictionRelaxationMinDistance-Controller-PVP,FrictionRelaxationMinValue-Controller-PVP,FrictionRadiusRelaxationMaxDistance-Controller-PVP,FrictionRadiusRelaxationMinDistance-Controller-PVP,FrictionRadiusRelaxationMinValue-Controller-PVP,FrictionFadeOutTime,ADSFrictionFadeOutTime,ReticleColorMaxDistance
FlailCameraLock,true,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,true,0,0,0,0,0,0,0,0,0,0,false,true,true,false,false,false,3,3,3,3,3,1,3,1,45,45,45,45,25,25,25,25,45,45,45,45,31,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,0,0,,0,,,,,,,,,0.5,0.25,4
GreatSwordGeneric,true,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,true,0,0,0,0,0,0,0,0,0,0,false,true,true,false,false,false,3,3,3,3,3,1,3,1,45,45,45,45,25,25,25,25,45,45,45,45,31,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,0,0,,0,,,,,,,,,0.5,0.25,4
GreatSwordCameraLock,true,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,true,0,0,0,0,0,0,0,0,0,0,false,true,true,false,false,false,3,3,3,3,3,1,3,1,45,45,45,45,25,25,25,25,45,45,45,45,31,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,0,0,,0,,,,,,,,,0.5,0.25,4
Hammer2HGeneric,true,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,true,0,0,0,0,0,0,0,0,0,0,false,true,true,false,false,false,3,3,3,3,3,1,3,1,45,45,45,45,25,25,25,25,45,45,45,45,31,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,0,0,,0,,,,,,,,,0.5,0.25,4
Hammer2HCameraLock,true,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,true,0,0,0,0,0,0,0,0,0,0,false,true,true,false,false,false,3,3,3,3,3,1,3,1,45,45,45,45,25,25,25,25,45,45,45,45,31,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,0,0,,0,,,,,,,,,0.5,0.25,4
Axe2HGeneric,true,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,true,0,0,0,0,0,0,0,0,0,0,false,true,true,false,false,false,3,3,3,3,3,1,3,1,45,45,45,45,25,25,25,25,45,45,45,45,31,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,0,0,,0,,,,,,,,,0.5,0.25,4
Axe2HCameraLock,true,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,true,0,0,0,0,0,0,0,0,0,0,false,true,true,false,false,false,3,3,3,3,3,1,3,1,45,45,45,45,25,25,25,25,45,45,45,45,31,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,0,0,,0,,,,,,,,,0.5,0.25,4
UnarmedGeneric,true,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,true,0,0,0,0,0,0,0,0,0,0,false,true,true,false,false,false,3,3,3,3,3,1,3,1,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,0,0,,0,,,,,,,,,0.5,0.25,0
TurretGeneric,false,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,true,0,0,0,0,0,0,0,0,0,0,false,true,true,false,false,false,3,3,3,3,3,1,3,1,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,0,0,,0,,,,,,,,,0.5,0.25,0
AbilityGeneric,true,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,true,5,5,5,5,5,5,0.5,0.5,60,60,false,true,true,false,false,false,3,3,3,3,3,1,3,1,45,45,45,45,25,25,25,25,45,45,45,45,45,45,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.1,0.1,60,0.85,0.1,0.1,60,0.2,0.3,12,6,0.1,45,12,0.25,0.85,0.1,0.1,60,0.85,0.1,0.1,60,0.2,0.3,12,6,0.1,45,12,0.25,0.5,0.25,60
