ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
09a_Josephine_Rescue_01,Linear_Objective,false,@09a_Josephine_Rescue_01,,,,09A_M5,09A_M6_FindKim,09A_M6_Rescue_Josephine,,,,,,,,,,,09a_M6_Josephine_Rescue,,,,,,,,,,,,
09a_Josephine_01,Linear_Objective,false,@09a_Josephine_01_a,,,,09A_M6,09A_M7_ExtractKim,09A_M7_Wires_Josephine,,,,,,,,,,,09a_M7_Josephine_Wires,,,,,,,,,,,,
09a_Josephine_02,Linear_Objective,false,@09a_Josephine_02_a,,,,09A_M6,09A_M7_ExtractKim,09A_M7_Thanks_Josephine,,,,,,,,,,,09a_M7_Josephine_Thanks,,,,,,,,,,,,
09a_Josephine_Covenant,Linear_Objective,false,@09a_Alchemist_Josephine_Covenant,,,,09A_M7,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Kievan_Default,Linear_Objective,true,@09a_Kievan_Default_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_S9_Kievan_Delivery,Linear_Objective,false,@09a_S9_Kievan_Delivery_a,,,,09A_S7,,,09A_S9_HackDefenses,,,,,,,,,,,,,,,,,,,,,,
09a_Kievan_TalkTo_01,Linear_Objective,false,@09a_Kievan_TalkTo_01_a,,,,,09A_S9_HackDefenses,09A_S9_TalkToKievan1,,,,,,,,,,,,,,,,,,,,,,,
09a_Kievan_TalkTo_02,Linear_Objective,false,@09a_Kievan_TalkTo_02_a,,,,,09A_S9_HackDefenses,09A_S9_TalkToKievan2,,,,,,,,,,,,,,,,,,,,,,,
09a_Johannes_Default,Linear_Objective,true,@09a_Johannes_Default_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Johannes_01,Linear_Objective,false,@09a_Johannes_01_a,,,,09A_M13,,,09A_S15_ResearchDarkMagic,,,,,,,,,,,,,,,,,,,,,,
09a_Johannes_02,Linear_Objective,false,@09a_Johannes_02_a,,,,09A_S15,,,09A_S16_DestroyAbomination,,,,,,,,,,,,,,,,,,,,,,
09a_Johannes_TalkTo,Linear_Objective,false,@09a_Johannes_TalkTo,,,,,09A_S16_DestroyAbomination,09A_S16_TalkTo_Johannes,,,,,,,,,,,,,,,,,,,,,,,
09a_Zayden_Default,Linear_Objective,true,@09a_Zayden_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Zayden_Rescue_01,Linear_Objective,false,@09a_Zayden_Rescue_01,,,,09A_M5,09A_M6_FindKim,09A_M6_Rescue_Zayden,,,,,,,,,,,09a_M6_Zayden_Rescue,,,,,,,,,,,,
09a_EdithShackleton_00,Linear_Objective,true,@09a_EdithShackleton_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_EdithShackleton_01,Linear_Objective,false,@09a_EdithShackleton_01_a,,,,09A_M11,,,09A_S21_AmongStatues,,,,,,,,,,,,,,,,,,,,,,
09a_EdithShackleton_02,Linear_Objective,false,@09a_EdithShackleton_02,,,,09A_S8,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Agent_Covenant_Default,Linear_Objective,true,@09a_Agent_Covenant_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Agent_Syndicate_Default,Linear_Objective,true,@09a_Agent_Syndicate_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Agent_Marauder_Default,Linear_Objective,true,@09a_Agent_Marauder_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Rousseau_Default,Linear_Objective,true,@09a_Rousseau_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Shawforth_Default,Linear_Objective,true,@09a_Shawforth_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Ellis_Default,Linear_Objective,true,@09a_Ellis_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Owusu_Default,Linear_Objective,true,@09a_Owusu_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Morozov_Default,Linear_Objective,true,@09a_Morozov_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Nakamura_Default,Linear_Objective,true,@09a_Nakamura_Default_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Crespo_Default,Linear_Objective,true,@09a_Crespo_Default_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_RangerGuard_Default,Linear_Objective,true,@09a_RangerGuard_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_SoldierGuard_Default,Linear_Objective,true,@09a_SoldierGuard_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Commander_NoFaction,Linear_Objective,true,@09a_Commander_Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Commander_Marauder,Linear_Objective,false,@09a_Commander_Marauder,,Marauder,60,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
09a_Commander_Covenant,Linear_Objective,false,@09a_Commander_Covenant,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Commander_Syndicate,Linear_Objective,false,@09a_Commander_Syndicate,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Commander_Dummy,Linear_Objective,false,@09a_Commander_Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,Faction_Selection,,
09a_Alchemist_NoFaction,Linear_Objective,true,@09a_Alchemist_Covenant_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Alchemist_Syndicate,Linear_Objective,false,@09a_Alchemist_Syndicate,,Syndicate,60,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
09a_Alchemist_Covenant,Linear_Objective,false,@09a_Alchemist_Covenant_a,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Alchemist_Marauder,Linear_Objective,false,@09a_Alchemist_Marauder_a,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Alchemist_Dummy,Linear_Objective,false,@09a_Alchemist_Marauder_a,,,,,,,,,,,,,,,,,,,,,,,,,,,Faction_Selection,,
09a_Adjudicator_NoFaction,Linear_Objective,true,@09a_Adjudicator_Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Adjudicator_Covenant,Linear_Objective,false,@09a_Adjudicator_Covenant,,Covenant,60,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
09a_Adjudicator_Syndicate,Linear_Objective,false,@09a_Adjudicator_Syndicate,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Adjudicator_Marauder,Linear_Objective,false,@09a_Adjudicator_Marauder_a,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Adjudicator_Dummy,Linear_Objective,false,@09a_Adjudicator_Marauder_a,,,,,,,,,,,,,,,,,,,,,,,,,,,Faction_Selection,,
09a_AbandonedList_Default,Linear_Objective,true,@09a_AbandonedList_Default,,,,,,,09A_S5_SavePrivateer,,,,,,,,,,,,,,,,,,,,,,
09a_Riches_Note_Default,Linear_Objective,true,@09a_Riches_Note_Default_a,,,,,,,09A_S4_BlowUpFarm,,,,,,,,,,,,,,,,,,,,,,
09a_Ranger_EP_Default,Linear_Objective,true,@09a_Ranger_EP_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Engineer_Default,Linear_Objective,true,@09a_Engineer_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Adjudicator_Ramla,Linear_Objective,false,@09a_Adjudicator_Ramla,,Covenant,60,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
09a_Adjudicator_Ramla_Syndicate,Linear_Objective,false,@09a_Adjudicator_Ramla_Syndicate,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Adjudicator_Ramla_Marauder,Linear_Objective,false,@09a_Adjudicator_Ramla_Marauder,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Adjudicator_Ramla_Dummy,Linear_Objective,false,@09a_Adjudicator_Ramla_Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,Faction_Selection,,
09a_Alchemist_Josephine,Linear_Objective,false,@09a_Alchemist_Josephine_a,,Syndicate,60,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
09a_Alchemist_Josephine_Covenant,Linear_Objective,false,@09a_Alchemist_Josephine_Covenant,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Alchemist_Josephine_Marauder,Linear_Objective,false,@09a_Alchemist_Josephine_Marauder,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Alchemist_Josephine_Dummy,Linear_Objective,false,@09a_Alchemist_Josephine_Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,Faction_Selection,,
09a_Commander_Kieven,Linear_Objective,false,@09a_Commander_Kieven,,Marauder,60,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
09a_Commander_Kieven_Covenant,Linear_Objective,false,@09a_Commander_Kieven_Covenant,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Commander_Kieven_Syndicate,Linear_Objective,false,@09a_Commander_Kieven_Syndicate_a,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Commander_Kieven_Dummy,Linear_Objective,false,@09a_Commander_Kieven_Syndicate_a,,,,,,,,,,,,,,,,,,,,,,,,,,,Faction_Selection,,
09a_Innkeep_Default,Linear_Objective,true,@09a_Innkeep_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,Inn,,
0922_Innkeep_Default,Linear_Objective,true,@0922_Innkeep_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,Inn,,
