Rank,DisplayName,RequiredLevel,MaximumInfluence,InfluenceCost,CurrencyCost,SanityCheck,GameEventId,AvailableProgressionPoint1,AvailableProgressionPoint2,AvailableProgressionPoint3,AvailableProgressionPoint4,XpReward
220,@territory_standing_title_23,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
221,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
222,,0,22500,22500,0,true,,TB_GainStorage,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
223,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
224,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
225,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
226,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
227,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainStorage,TB_PurchaseHouse,3000
228,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
229,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
230,,0,22500,22500,0,true,,TB_TaxStations,TB_GainHousePoints,TB_TaxProperty,TB_PurchaseHouse,3000
231,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
232,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_GainStorage,TB_PurchaseHouse,3000
233,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
234,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
235,@territory_standing_title_24,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
236,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
237,,0,22500,22500,0,true,,TB_GainStanding,TB_GainStorage,TB_GainGatherRate,TB_PurchaseHouse,3000
238,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
239,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
240,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
241,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
242,,0,22500,22500,0,true,,TB_TaxStations,TB_GainStorage,TB_TaxProperty,TB_PurchaseHouse,3000
243,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
244,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
245,,0,22500,22500,0,true,,TB_GainStanding,TB_GainHousePoints,TB_GainGatherRate,TB_PurchaseHouse,3000
246,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
247,,0,22500,22500,0,true,,TB_GainStorage,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
248,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
249,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
250,@territory_standing_title_25,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
251,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
252,,0,22500,22500,0,true,,TB_GainStorage,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
253,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
254,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
255,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
256,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
257,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainStorage,TB_PurchaseHouse,3000
258,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
259,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
260,,0,22500,22500,0,true,,TB_TaxStations,TB_GainHousePoints,TB_TaxProperty,TB_PurchaseHouse,3000
261,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
262,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_GainStorage,TB_PurchaseHouse,3000
263,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
264,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
265,@territory_standing_title_26,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
266,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
267,,0,22500,22500,0,true,,TB_GainStanding,TB_GainStorage,TB_GainGatherRate,TB_PurchaseHouse,3000
268,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
269,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
270,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
271,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
272,,0,22500,22500,0,true,,TB_TaxStations,TB_GainStorage,TB_TaxProperty,TB_PurchaseHouse,3000
273,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
274,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
275,,0,22500,22500,0,true,,TB_GainStanding,TB_GainHousePoints,TB_GainGatherRate,TB_PurchaseHouse,3000
276,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
277,,0,22500,22500,0,true,,TB_GainStorage,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
278,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
279,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
280,@territory_standing_title_27,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
281,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
282,,0,22500,22500,0,true,,TB_GainStorage,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
283,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
284,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
285,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
286,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
287,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainStorage,TB_PurchaseHouse,3000
288,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
289,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
290,,0,22500,22500,0,true,,TB_TaxStations,TB_GainHousePoints,TB_TaxProperty,TB_PurchaseHouse,3000
291,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
292,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_GainStorage,TB_PurchaseHouse,3000
293,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
294,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
295,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
296,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
297,,0,22500,22500,0,true,,TB_GainStanding,TB_GainStorage,TB_GainGatherRate,TB_PurchaseHouse,3000
298,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
299,,0,22500,22500,0,true,,TB_GainStanding,TB_GainHousePoints,TB_GainGatherRate,TB_PurchaseHouse,3000
300,@territory_standing_title_28,0,0,22500,0,true,,,,,,
