ItemID,Loc Note,DerivedFromText,DerivedFromIcon,RefinedAtText,RefinedAtLabelText,RefinedAtIcon,CanBeCraftedTextsSmall,CanBeCraftedIconsSmall,SpecialInstructions,UsedAtTexts,UsedAtIcons,CommonUsesLabelText,CommonUsesTextsLarge,CommonUsesIconsLarge,CommonUsesItemsLarge,CommonUsesTextsSmall,CommonUsesIconsSmall,CommonUsesItemsSmall,CanBeCraftedTextsLarge,CanBeCraftedIconsLarge,ResourcesLabelText,ResourcesTexts,ResourcesIcons,ResourcesAmounts,RefineryInputText,RefineryInputIcon,RefineryInputAmount,RefineryOutputText,RefineryOutputIcon,RefineryOutputAmount,MainHeaderIcon,ResourcesHeaderIcon
PotionEncumbranceT3,Arcane Repository Tier 5,,,,,,@PotionEncumbranceT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingBeastT2,Arcane Repository Tier 2,,,,,,@CoatingBeastT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingBeastT3,Arcane Repository Tier 3,,,,,,@CoatingBeastT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingBeastT4,Arcane Repository Tier 4,,,,,,@CoatingBeastT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingBeastT5,Arcane Repository Tier 5,,,,,,@CoatingBeastT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingLostT2,Arcane Repository Tier 2,,,,,,@CoatingLostT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingLostT3,Arcane Repository Tier 3,,,,,,@CoatingLostT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingLostT4,Arcane Repository Tier 4,,,,,,@CoatingLostT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingLostT5,Arcane Repository Tier 5,,,,,,@CoatingLostT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingCorruptedT2,Arcane Repository Tier 2,,,,,,@CoatingCorruptedT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingCorruptedT3,Arcane Repository Tier 3,,,,,,@CoatingCorruptedT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingCorruptedT4,Arcane Repository Tier 4,,,,,,@CoatingCorruptedT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingCorruptedT5,Arcane Repository Tier 5,,,,,,@CoatingCorruptedT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingAncientT2,Arcane Repository Tier 2,,,,,,@CoatingAncientT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingAncientT3,Arcane Repository Tier 3,,,,,,@CoatingAncientT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingAncientT4,Arcane Repository Tier 4,,,,,,@CoatingAncientT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingAncientT5,Arcane Repository Tier 5,,,,,,@CoatingAncientT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingAngryEarthT2,Arcane Repository Tier 2,,,,,,@CoatingAngryEarthT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingAngryEarthT3,Arcane Repository Tier 3,,,,,,@CoatingAngryEarthT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingAngryEarthT4,Arcane Repository Tier 4,,,,,,@CoatingAngryEarthT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingAngryEarthT5,Arcane Repository Tier 5,,,,,,@CoatingAngryEarthT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingAeternianT2,Arcane Repository Tier 2,,,,,,@CoatingAeternianT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingAeternianT3,Arcane Repository Tier 3,,,,,,@CoatingAeternianT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingAeternianT4,Arcane Repository Tier 4,,,,,,@CoatingAeternianT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
CoatingAeternianT5,Arcane Repository Tier 5,,,,,,@CoatingAeternianT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
TinctureCorruptionT2,"ArcaneRepositoryTier2,CampTier1",,,,,,@TinctureCorruptionT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
TinctureCorruptionT3,"ArcaneRepositoryTier2,CampTier2",,,,,,@TinctureCorruptionT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
TinctureCorruptionT4,"ArcaneRepositoryTier3,CampTier3",,,,,,@TinctureCorruptionT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
TinctureCorruptionT5,"ArcaneRepositoryTier4,CampTier4",,,,,,@TinctureCorruptionT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
TinctureBlightT2,"ArcaneRepositoryTier2,CampTier1",,,,,,@TinctureBlightT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
TinctureBlightT3,"ArcaneRepositoryTier2,CampTier2",,,,,,@TinctureBlightT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
TinctureBlightT4,"ArcaneRepositoryTier3,CampTier3",,,,,,@TinctureBlightT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
TinctureBlightT5,"ArcaneRepositoryTier4,CampTier4",,,,,,@TinctureBlightT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FactionCoatingBeastT2,Faction Shop,@FactionCoatingBeastT2_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FactionCoatingBeastT3,Faction Shop,@FactionCoatingBeastT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FactionCoatingBeastT4,Faction Shop,@FactionCoatingBeastT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FactionCoatingLostT2,Faction Shop,@FactionCoatingLostT2_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FactionCoatingLostT3,Faction Shop,@FactionCoatingLostT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FactionCoatingLostT4,Faction Shop,@FactionCoatingLostT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FactionCoatingCorruptedT2,Faction Shop,@FactionCoatingCorruptedT2_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FactionCoatingCorruptedT3,Faction Shop,@FactionCoatingCorruptedT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FactionCoatingCorruptedT4,Faction Shop,@FactionCoatingCorruptedT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FactionCoatingAncientT2,Faction Shop,@FactionCoatingAncientT2_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FactionCoatingAncientT3,Faction Shop,@FactionCoatingAncientT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FactionCoatingAncientT4,Faction Shop,@FactionCoatingAncientT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FactionCoatingAngryEarthT2,Faction Shop,@FactionCoatingAngryEarthT2_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FactionCoatingAngryEarthT3,Faction Shop,@FactionCoatingAngryEarthT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FactionCoatingAngryEarthT4,Faction Shop,@FactionCoatingAngryEarthT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FactionTinctureCorruptionT2,Faction Shop,@FactionTinctureCorruptionT2_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FactionTinctureCorruptionT3,Faction Shop,@FactionTinctureCorruptionT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FactionTinctureCorruptionT4,Faction Shop,@FactionTinctureCorruptionT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FactionTinctureBlightT2,Faction Shop,@FactionTinctureBlightT2_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FactionTinctureBlightT3,Faction Shop,@FactionTinctureBlightT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FactionTinctureBlightT4,Faction Shop,@FactionTinctureBlightT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PotionBoostFireAbsT3,Arcane Repository Tier 3,,,,,,@PotionBoostFireAbsT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionBoostFireAbsT4,Arcane Repository Tier 4,,,,,,@PotionBoostFireAbsT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionBoostFireAbsT5,Arcane Repository Tier 5,,,,,,@PotionBoostFireAbsT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionBoostMagicAbsT3,Arcane Repository Tier 3,,,,,,@PotionBoostMagicAbsT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionBoostMagicAbsT4,Arcane Repository Tier 4,,,,,,@PotionBoostMagicAbsT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionBoostMagicAbsT5,Arcane Repository Tier 5,,,,,,@PotionBoostMagicAbsT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionBoostLightningAbsT3,Arcane Repository Tier 3,,,,,,@PotionBoostLightningAbsT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionBoostLightningAbsT4,Arcane Repository Tier 4,,,,,,@PotionBoostLightningAbsT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionBoostLightningAbsT5,Arcane Repository Tier 5,,,,,,@PotionBoostLightningAbsT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionBoostVoidAbsT3,Arcane Repository Tier 3,,,,,,@PotionBoostVoidAbsT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionBoostVoidAbsT4,Arcane Repository Tier 4,,,,,,@PotionBoostVoidAbsT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionBoostVoidAbsT5,Arcane Repository Tier 5,,,,,,@PotionBoostVoidAbsT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionFamilyWardLostT3,Arcane Repository Tier 3,,,,,,@PotionFamilyWardLostT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionFamilyWardLostT4,Arcane Repository Tier 4,,,,,,@PotionFamilyWardLostT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionFamilyWardLostT5,Arcane Repository Tier 5,,,,,,@PotionFamilyWardLostT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionFamilyWardCorruptedT3,Arcane Repository Tier 3,,,,,,@PotionFamilyWardCorruptedT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionFamilyWardCorruptedT4,Arcane Repository Tier 4,,,,,,@PotionFamilyWardCorruptedT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionFamilyWardCorruptedT5,Arcane Repository Tier 5,,,,,,@PotionFamilyWardCorruptedT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionFamilyWardAngryEarthT3,Arcane Repository Tier 3,,,,,,@PotionFamilyWardAngryEarthT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionFamilyWardAngryEarthT4,Arcane Repository Tier 4,,,,,,@PotionFamilyWardAngryEarthT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionFamilyWardAngryEarthT5,Arcane Repository Tier 5,,,,,,@PotionFamilyWardAngryEarthT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionFamiliyWardAncientT3,Arcane Repository Tier 3,,,,,,@PotionFamiliyWardAncientT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionFamiliyWardAncientT4,Arcane Repository Tier 4,,,,,,@PotionFamiliyWardAncientT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionFamiliyWardAncientT5,Arcane Repository Tier 5,,,,,,@PotionFamiliyWardAncientT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionFamilyWardBeastT3,Arcane Repository Tier 3,,,,,,@PotionFamilyWardBeastT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionFamilyWardBeastT4,Arcane Repository Tier 4,,,,,,@PotionFamilyWardBeastT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionFamilyWardBeastT5,Arcane Repository Tier 5,,,,,,@PotionFamilyWardBeastT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionFamilyWardAeternianT3,Arcane Repository Tier 3,,,,,,@PotionFamilyWardAeternianT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionFamilyWardAeternianT4,Arcane Repository Tier 4,,,,,,@PotionFamilyWardAeternianT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
PotionFamilyWardAeternianT5,Arcane Repository Tier 5,,,,,,@PotionFamilyWardAeternianT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
HoningStoneT2,Forge Tier 2,,,,,,@HoningStoneT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
HoningStoneT3,Forge Tier 3,,,,,,@HoningStoneT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
HoningStoneT4,Forge Tier 4,,,,,,@HoningStoneT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
HoningStoneT5,Forge Tier 5,,,,,,@HoningStoneT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
ProficiencyBoosterT2,Workshop Tier 2,,,,,,@ProficiencyBoosterT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
ProficiencyBoosterT3,Workshop Tier 3,,,,,,@ProficiencyBoosterT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
ProficiencyBoosterT4,Workshop Tier 4,,,,,,@ProficiencyBoosterT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
ProficiencyBoosterT5,Workshop Tier 5,,,,,,@ProficiencyBoosterT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
OakfleshBalmT2,Outfitter Tier 2,,,,,,@OakfleshBalmT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
OakfleshBalmT3,Outfitter Tier 3,,,,,,@OakfleshBalmT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
OakfleshBalmT4,Outfitter Tier 4,,,,,,@OakfleshBalmT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
OakfleshBalmT5,Outfitter Tier 5,,,,,,@OakfleshBalmT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
IncenseT2,Workshop Tier 2,,,,,,@IncenseT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
IncenseT3,Workshop Tier 3,,,,,,@IncenseT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
IncenseT4,Workshop Tier 4,,,,,,@IncenseT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
IncenseT5,Workshop Tier 5,,,,,,@IncenseT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
GemstoneDustT2,Outfitter Tier 2,,,,,,@GemstoneDustT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
GemstoneDustT3,Outfitter Tier 3,,,,,,@GemstoneDustT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
GemstoneDustT4,Outfitter Tier 4,,,,,,@GemstoneDustT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
GemstoneDustT5,Outfitter Tier 5,,,,,,@GemstoneDustT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
BaitFreshBreadT1,"KitchenTier2,ProvisionContainers",@BaitFreshBreadT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaitFreshMeatT1,"KitchenTier2,CampTier1",@BaitFreshMeatT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaitSaltFishT1,"KitchenTier2,CampTier1",@BaitSaltFishT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaitSaltCheeseT1,"KitchenTier2,ProvisionContainers",@BaitSaltCheeseT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaitFreshClamT2,Clams,@BaitFreshClamT2_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaitFreshWoodliceT2,Bushes,@BaitFreshWoodliceT2_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaitSaltSnailT2,Snails,@BaitSaltSnailT2_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaitSaltNightcrawlerT2,"Flint,Day",@BaitSaltNightcrawlerT2_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaitFreshOysterT3,Oysters,@BaitFreshOysterT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaitFreshFireflyT3,"BulrushPlants,BriarPlants",@BaitFreshFireflyT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaitSaltElectricEelT3,Electric Eel,@BaitSaltElectricEelT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaitSaltGlowwormT3,"Flint,Night",@BaitSaltGlowwormT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FoodHealthRecoveryT1,"KitchenTier2,CampTier1",,,,,,@FoodHealthRecoveryT1_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodCorruptedT1,Kitchen Tier 2,,,,,,@FoodCorruptedT1_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodLostT1,Kitchen Tier 2,,,,,,@FoodLostT1_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodAngryEarthT1,Kitchen Tier 2,,,,,,@FoodAngryEarthT1_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodBeastT1,Kitchen Tier 2,,,,,,@FoodBeastT1_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodAncientT1,Kitchen Tier 2,,,,,,@FoodAncientT1_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodManaT1,Kitchen Tier 2,,,,,,@FoodManaT1_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodDefenseT1,Kitchen Tier 2,,,,,,@FoodDefenseT1_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodWeaponsmithT1,Kitchen Tier 2,,,,,,@FoodWeaponsmithT1_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodJewelcrafterT1,Kitchen Tier 2,,,,,,@FoodJewelcrafterT1_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodEngineerT1,Kitchen Tier 2,,,,,,@FoodEngineerT1_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodArcanistT1,Kitchen Tier 2,,,,,,@FoodArcanistT1_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodArmorerT1,Kitchen Tier 2,,,,,,@FoodArmorerT1_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodMinerT1,Kitchen Tier 2,,,,,,@FoodMinerT1_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodHarvesterT1,Kitchen Tier 2,,,,,,@FoodHarvesterT1_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodHunterT1,Kitchen Tier 2,,,,,,@FoodHunterT1_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodLumberjackT1,Kitchen Tier 2,,,,,,@FoodLumberjackT1_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodHealthRecoveryT2,"KitchenTier2,CampTier2",,,,,,@FoodHealthRecoveryT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodCorruptedT2,Kitchen Tier 2,,,,,,@FoodCorruptedT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodLostT2,Kitchen Tier 2,,,,,,@FoodLostT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodAngryEarthT2,Kitchen Tier 2,,,,,,@FoodAngryEarthT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodBeastT2,Kitchen Tier 2,,,,,,@FoodBeastT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodAncientT2,Kitchen Tier 2,,,,,,@FoodAncientT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodManaT2,"KitchenTier2,CampTier2",,,,,,@FoodManaT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodDefenseT2,Kitchen Tier 2,,,,,,@FoodDefenseT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodWeaponsmithT2,Kitchen Tier 2,,,,,,@FoodWeaponsmithT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodJewelcrafterT2,Kitchen Tier 2,,,,,,@FoodJewelcrafterT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodEngineerT2,Kitchen Tier 2,,,,,,@FoodEngineerT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodArcanistT2,Kitchen Tier 2,,,,,,@FoodArcanistT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodArmorerT2,Kitchen Tier 2,,,,,,@FoodArmorerT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodMinerT2,Kitchen Tier 2,,,,,,@FoodMinerT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodHarvesterT2,Kitchen Tier 2,,,,,,@FoodHarvesterT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodHunterT2,Kitchen Tier 2,,,,,,@FoodHunterT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodLumberjackT2,Kitchen Tier 2,,,,,,@FoodLumberjackT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodHealthRecoveryT3,"KitchenTier3,CampTier3",,,,,,@FoodHealthRecoveryT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodCorruptedT3,Kitchen Tier 3,,,,,,@FoodCorruptedT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodLostT3,Kitchen Tier 3,,,,,,@FoodLostT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodAngryEarthT3,Kitchen Tier 3,,,,,,@FoodAngryEarthT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodBeastT3,Kitchen Tier 3,,,,,,@FoodBeastT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodAncientT3,Kitchen Tier 3,,,,,,@FoodAncientT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodManaT3,"KitchenTier3,CampTier3",,,,,,@FoodManaT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodDefenseT3,Kitchen Tier 3,,,,,,@FoodDefenseT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodWeaponsmithT3,Kitchen Tier 3,,,,,,@FoodWeaponsmithT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodJewelcrafterT3,Kitchen Tier 3,,,,,,@FoodJewelcrafterT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodEngineerT3,Kitchen Tier 3,,,,,,@FoodEngineerT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodArcanistT3,Kitchen Tier 3,,,,,,@FoodArcanistT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodArmorerT3,Kitchen Tier 3,,,,,,@FoodArmorerT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodMinerT3,Kitchen Tier 3,,,,,,@FoodMinerT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodHarvesterT3,Kitchen Tier 3,,,,,,@FoodHarvesterT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodHunterT3,Kitchen Tier 3,,,,,,@FoodHunterT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodLumberjackT3,Kitchen Tier 3,,,,,,@FoodLumberjackT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodHealthRecoveryT4,"KitchenTier4,CampTier4",,,,,,@FoodHealthRecoveryT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodCorruptedT4,Kitchen Tier 4,,,,,,@FoodCorruptedT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodLostT4,Kitchen Tier 4,,,,,,@FoodLostT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodAngryEarthT4,Kitchen Tier 4,,,,,,@FoodAngryEarthT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodBeastT4,Kitchen Tier 4,,,,,,@FoodBeastT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodAncientT4,Kitchen Tier 4,,,,,,@FoodAncientT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodManaT4,"KitchenTier4,CampTier4",,,,,,@FoodManaT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodDefenseT4,Kitchen Tier 4,,,,,,@FoodDefenseT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodWeaponsmithT4,Kitchen Tier 4,,,,,,@FoodWeaponsmithT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodJewelcrafterT4,Kitchen Tier 4,,,,,,@FoodJewelcrafterT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodEngineerT4,Kitchen Tier 4,,,,,,@FoodEngineerT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodArcanistT4,Kitchen Tier 4,,,,,,@FoodArcanistT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodArmorerT4,Kitchen Tier 4,,,,,,@FoodArmorerT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodMinerT4,Kitchen Tier 4,,,,,,@FoodMinerT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodHarvesterT4,Kitchen Tier 4,,,,,,@FoodHarvesterT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodHunterT4,Kitchen Tier 4,,,,,,@FoodHunterT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodLumberjackT4,Kitchen Tier 4,,,,,,@FoodLumberjackT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
FoodHealthRecoveryT5,"KitchenTier5,CampTier5",,,,,,@FoodHealthRecoveryT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
