VariantID,ResetTime,ForgetInstancedStateTime,NumCyclicStates,InteractTag,Visual_BaseMesh,Visual_RotatedBaseMesh,Visual_WaitingForReset,Visual_NotOnRequiredQuest,Gatherable_0,Gatherable_0_Variant,Delay_0,RotationPercent_0,Gatherable_1,Gatherable_1_Variant,Delay_1,RotationPercent_1,Gatherable_2,Gatherable_2_Variant,Delay_2,RotationPercent_2,Gatherable_3,Gatherable_3_Variant,Delay_3,RotationPercent_3,Gatherable_4,Gatherable_4_Variant,Delay_4,RotationPercent_4,AE.0_RequiredAchievementConditional,AE.1_RE.0_TargetRotationPercent
Cyclic_09A_M14_NatureRitual,5,,3,IO_Cyclic_09A_M14_NatureRitual,slices\WorldEvents\FirstLight\Interact\RitualNature\Object_09A_M14_Ritual_Base.dynamicslice,,slices\WorldEvents\FirstLight\Interact\RitualNature\Object_09A_M14_Ritual_Healthy_2.dynamicslice,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,09A_M14_NatureRitual_Healthy_0,0.5,0,slices\Gatherables\Master_Quest_Instanced.dynamicslice,09A_M14_NatureRitual_Healthy_1,0.5,0,slices\Gatherables\Master_Quest_Instanced.dynamicslice,09A_M14_NatureRitual_Healthy_2,0.5,0,,,,,,,,,,
Cyclic_95_S04_Q2_Bonfire_1,12,,4,IO_Cyclic_95_S04_Q2_Bonfire_1,,slices\POIs\Ancient\Shrines\Ancient_Shrine_Puzzle_Stone_01.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_S04_Q2_Cyclic_Bonfire_1,0.5,0.25,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_S04_Q2_Cyclic_Bonfire_2,0.5,0.25,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_S04_Q2_Cyclic_Bonfire_3,0.5,0.25,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_S04_Q2_Cyclic_Bonfire_4,0.5,0.25,,,,,95_S04_Q2_PuzzleActivated,1
Cyclic_95_S04_Q2_Bonfire_2,12,,4,IO_Cyclic_95_S04_Q2_Bonfire_1,,slices\POIs\Ancient\Shrines\Ancient_Shrine_Puzzle_Stone_01.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_S04_Q2_Cyclic_Bonfire_1,0.5,0.1,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_S04_Q2_Cyclic_Bonfire_2,0.5,0.1,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_S04_Q2_Cyclic_Bonfire_3,0.5,0.1,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_S04_Q2_Cyclic_Bonfire_4,0.5,0.1,,,,,95_S04_Q2_PuzzleActivated,1
Cyclic_95_S04_Q2_Bonfire_3,12,,4,IO_Cyclic_95_S04_Q2_Bonfire_1,,slices\POIs\Ancient\Shrines\Ancient_Shrine_Puzzle_Stone_01.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_S04_Q2_Cyclic_Bonfire_1,0.5,0.1,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_S04_Q2_Cyclic_Bonfire_2,0.5,0.1,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_S04_Q2_Cyclic_Bonfire_3,0.5,0.1,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_S04_Q2_Cyclic_Bonfire_4,0.5,0.1,,,,,95_S04_Q2_PuzzleActivated,1
Cyclic_95_S04_Q2_Bonfire_4,12,,4,IO_Cyclic_95_S04_Q2_Bonfire_1,,slices\POIs\Ancient\Shrines\Ancient_Shrine_Puzzle_Stone_01.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_S04_Q2_Cyclic_Bonfire_1,0.5,0.1,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_S04_Q2_Cyclic_Bonfire_2,0.5,0.1,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_S04_Q2_Cyclic_Bonfire_3,0.5,0.1,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_S04_Q2_Cyclic_Bonfire_4,0.5,0.1,,,,,95_S04_Q2_PuzzleActivated,1
95_s04_06_lizardStatue1,0,,3,IO_95_s04_06_lizardStatue1,,slices\SeasonsQuest\s04\95_s04_06_lizardStatue1_Cyclic.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_s04_06_lizardStatue1_angle1,0.5,0.125,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_s04_06_lizardStatue1_angle2,1.5,0.875,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_s04_06_lizardStatue1_angle3,0.5,1,,,,,,,,,95_s04_06_LizardPuzzleActivated,0.875
95_s04_06_lizardStatue2,0,,3,IO_95_s04_06_lizardStatue1,,slices\SeasonsQuest\s04\95_s04_06_lizardStatue2_Cyclic.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_s04_06_lizardStatue2_angle1,0.5,0.125,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_s04_06_lizardStatue2_angle2,1.5,0.875,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_s04_06_lizardStatue2_angle3,0.5,1,,,,,,,,,95_s04_06_LizardPuzzleActivated,0.125
95_s04_06_lizardStatue3,0,,3,IO_95_s04_06_lizardStatue1,,slices\SeasonsQuest\s04\95_s04_06_lizardStatue3_Cyclic.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_s04_06_lizardStatue3_angle1,1.5,0.75,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_s04_06_lizardStatue3_angle2,0.5,0.875,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_s04_06_lizardStatue3_angle3,0.5,1,,,,,,,,,95_s04_06_LizardPuzzleActivated,1
95_s04_04_MageDoor1,0,,3,IO_95_s04_04_MageDoor1,,,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_s04_04_MageDoor1_clue1,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_s04_04_MageDoor1_clue2,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_s04_04_MageDoor1_clue3,,,,,,,,,,,95_s04_TelDoorPuzzle_JustStarted,
95_s04_04_MageDoor2,0,,3,IO_95_s04_04_MageDoor1,,,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_s04_04_MageDoor2_clue1,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_s04_04_MageDoor2_clue2,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_s04_04_MageDoor2_clue3,,,,,,,,,,,95_s04_TelDoorPuzzle_JustStarted,
95_s04_04_MageDoor3,0,,3,IO_95_s04_04_MageDoor1,,,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_s04_04_MageDoor3_clue1,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_s04_04_MageDoor3_clue2,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,95_s04_04_MageDoor3_clue3,,,,,,,,,,,95_s04_TelDoorPuzzle_JustStarted,
Cyclic_99A_MSQ_HoweCart,120,,2,IO_99A_MSQ_HoweCart,slices\WorldEvents\MSQ2_GreatCleave\99D_MSQ_01_Cart_Collision.dynamicslice,,slices\WorldEvents\MSQ2_GreatCleave\99D_MSQ2_FixedCart.dynamicslice,slices\WorldEvents\MSQ2_GreatCleave\99D_MSQ2_BrokenCart_Healthy.dynamicslice,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99A_MSQ_HoweCart1,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99A_MSQ_HoweCart2,,,,,,,,,,,,,,,,
