TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TargetDescriptionTaskId,TP_DescriptionTag,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
08a11_08a03_d_00_container_EndOfHerReign,ConsecutiveTaskContainer,,,,,,,,,,dungeon_entrance_20204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08a11_08a03_d_01_TaskGoToPOITag_dungeon,,,,,,,,,,,,,,,08a11_08a03_d_01_TaskGoToPOITag_dungeon,08a11_08a03_d_02_TaskKillContribution_ZhouTaiying,,,
08a11_08a03_d_01_TaskGoToPOITag_dungeon,TaskGameMode,,1,1,,,,,,,dungeon_entrance_20204,DungeonEbonscale00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_EndEmpress_Obj_GoToDungeon_desc,,,,,,,,,,,,,,,,,,
08a11_08a03_d_02_TaskKillContribution_ZhouTaiying,TaskKillContribution,,1,1,,,,,,,,DungeonEbonscale00,,,,,,,,,,,,Dynasty_Empress,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_EndEmpress_Obj_FightEmpress_desc,,,,,,,,,,,,,,,,,,
0899_0801_d_00_container_Liberation,ConsecutiveTaskContainer,,,,,,,,,,dungeon_entrance_20204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0899_0801_d_01_TaskGoToPOITag_Liberator,,,,,,,,,,,,,,,0899_0801_d_01a_container_tasks,,,,
0899_0801_d_01a_container_tasks,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0899_0801_d_02_TaskHaveAndReturnItems_Shackles,0899_0801_d_03_TaskHaveAndReturnItems_Shackles,0899_0801_d_04_TaskHaveAndReturnItems_Shackles,0899_0801_d_05_TaskFinish,
0899_0801_d_02_TaskHaveAndReturnItems_Shackles,TaskHaveAndReturnItems,,1,1,0899_0101_DynastyShackles_v2,Dynasty_Summoner_Named_DG_Ebonscale_00,100,,,,,DungeonEbonscale00,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0899_0801_d_02_TaskHaveAndReturnItems_Shackles,4886.672 4446.456 42.657,,,,,,,,,,,,,,,,,
0899_0801_d_03_TaskHaveAndReturnItems_Shackles,TaskHaveAndReturnItems,,1,1,0899_0101_DynastyShackles1_v2,Dynasty_Spearman_Named_DG_Ebonscale_00,100,,,,,DungeonEbonscale00,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0899_0801_d_02_TaskHaveAndReturnItems_Shackles,4808.877 4505.424 43.444,,,,,,,,,,,,,,,,,
0899_0801_d_04_TaskHaveAndReturnItems_Shackles,TaskHaveAndReturnItems,,1,1,0899_0101_DynastyShackles2_v2,Dynasty_Warrior_Named_DG_Ebonscale_00,100,,,,,DungeonEbonscale00,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0899_0801_d_02_TaskHaveAndReturnItems_Shackles,4744.819336 4352.506836 59.736408,,,,,,,,,,,,,,,,,
0899_0801_d_05_TaskFinish,TaskKillContribution,,1,1,,,,,,,,DungeonEbonscale00,,,,,,,,,,,,Dynasty_Empress,,,,,,,,,,,,,,,,,,,,,@objective_complete_the_expedition,,,,,,,,,,,,,,,,,,
FM_0801_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_0801_tasks_first_container,M_ReturnToGiver,,,
FM_0801_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_0801_leg_A_task,FM_0801_leg_B_task,FM_0801_leg_C_task,,
FM_0801_leg_A_task,TaskKillContribution,,,8,,,,,true,,alligator_habitat_40275,,,true,,,,,,,,,,Beast,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0801_leg_B_task,TaskKillContribution,,,8,,,,,true,,Dynasty_EarthShrine_30231,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0801_leg_C_task,TaskKillContribution,,,8,,,,,true,,Dryad_Ruins_30233,,,true,,,,,,,,,,AngryEarth,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0802_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_0802_tasks_first_container,M_ReturnToGiver,,,
FM_0802_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_0802_leg_A_task,FM_0802_leg_B_task,FM_0802_leg_C_task,,
FM_0802_leg_A_task,TaskKillContribution,,,4,,,,,true,,Dynasty_Wall_30243,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0802_leg_B_task,TaskKillContribution,,,8,,,,,true,,Dynasty_MountainTemple_30235,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0802_leg_C_task,TaskKillContribution,,,8,,,,,true,,Pirate_Harbor_30239,,,true,,,,,,,,,,Lost,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0803_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_0803_tasks_first_container,M_ReturnToGiver,,,
FM_0803_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_0803_leg_A_task,FM_0803_leg_B_task,FM_0803_leg_C_task,,
FM_0803_leg_A_task,TaskKillContribution,,,8,,,,,true,,Dryad_Ruins_30229,,,true,,,,,,,,,,AngryEarth,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0803_leg_B_task,TaskKillContribution,,,8,,,,,true,,Dynasty_Shipwreck_30227,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0803_leg_C_task,TaskKillContribution,,,8,,,,,true,,Dynasty_FireShrine_30228,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0804_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_0804_tasks_first_container,M_ReturnToGiver,,,
FM_0804_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_0804_leg_A_task,FM_0804_leg_B_task,FM_0804_leg_C_task,,
FM_0804_leg_A_task,TaskKillContribution,,,8,,,,,true,,Tiger_Cave_30236,,,true,,,,,,,,,,Beast,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0804_leg_B_task,TaskKillContribution,,,8,,,,,true,,Dynasty_Wall_30242,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0804_leg_C_task,TaskKillContribution,,,8,,,,,true,,Dryad_Ruins_30229,,,true,,,,,,,,,,AngryEarth,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0805_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_0805_tasks_first_container,M_ReturnToGiver,,,
FM_0805_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_0805_leg_A_task,FM_0805_leg_B_task,FM_0805_leg_C_task,,
FM_0805_leg_A_task,TaskKillContribution,,,8,,,,,true,,Dynasty_WaterShrine_30234,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0805_leg_B_task,TaskKillContribution,,,8,,,,,true,,Dynasty_EarthShrine_30231,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0805_leg_C_task,TaskKillContribution,,,8,,,,,true,,Dynasty_FireShrine_30228,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0806_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_0806_tasks_first_container,M_ReturnToGiver,,,
FM_0806_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_0806_leg_A_task,FM_0806_leg_B_task,FM_0806_leg_C_task,,
FM_0806_leg_A_task,TaskKillContribution,,,8,,,,,true,,dynasty_temple_40339,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0806_leg_B_task,TaskKillContribution,,,8,,,,,true,,dynasty_shrine_30312,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0806_leg_C_task,TaskKillContribution,,,8,,,,,true,,dynasty_shrine_30302,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0807_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_0807_tasks_first_container,M_ReturnToGiver,,,
FM_0807_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_0807_leg_A_task,FM_0807_leg_B_task,FM_0807_leg_C_task,,
FM_0807_leg_A_task,TaskKillContribution,,,8,,,,,true,,dynasty_shrine_30312,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0807_leg_B_task,TaskKillContribution,,,8,,,,,true,,graveyard_40338,,,true,,,,,,,,,,Lost,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0807_leg_C_task,TaskKillContribution,,,8,,,,,true,,dynasty_temple_40339,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0808_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_0808_tasks_first_container,M_ReturnToGiver,,,
FM_0808_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_0808_leg_A_task,FM_0808_leg_B_task,FM_0808_leg_C_task,,
FM_0808_leg_A_task,TaskKillContribution,,,8,,,,,true,,Dynasty_Cavern_30241,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0808_leg_B_task,TaskKillContribution,,,8,,,,,true,,Dynasty_Monastery_30240,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0808_leg_C_task,TaskKillContribution,,,8,,,,,true,,dynasty_bridge_20202,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0809_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_0809_tasks_first_container,M_ReturnToGiver,,,
FM_0809_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_0809_leg_A_task,FM_0809_leg_B_task,FM_0809_leg_C_task,,
FM_0809_leg_A_task,TaskKillContribution,,,8,,,,,true,,dynasty_shrine_20203,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0809_leg_B_task,TaskKillContribution,,,8,,,,,true,,dynasty_bridge_20202,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0809_leg_C_task,TaskKillContribution,,,8,,,,,true,,empressfortress_20201,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0810_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_0810_tasks_first_container,M_ReturnToGiver,,,
FM_0810_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_0810_leg_A_task,FM_0810_leg_B_task,FM_0810_leg_C_task,,
FM_0810_leg_A_task,TaskKillContribution,,,8,,,,,true,,empressfortress_20201,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0810_leg_B_task,TaskKillContribution,,,8,,,,,true,,dynasty_bridge_20202,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_0810_leg_C_task,TaskKillContribution,,,8,,,,,true,,Dynasty_Monastery_30240,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0801_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_S_0801_tasks_first_container,M_ReturnToGiver,,,
FM_S_0801_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_S_0801_leg_A_task,FM_S_0801_leg_B_task,FM_S_0801_leg_C_task,,
FM_S_0801_leg_A_task,TaskKillContribution,,,8,,,,,true,,alligator_habitat_40275,,,true,,,,,,,,,,Beast,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0801_leg_B_task,TaskKillContribution,,,8,,,,,true,,Dynasty_EarthShrine_30231,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0801_leg_C_task,TaskKillContribution,,,8,,,,,true,,Dryad_Ruins_30233,,,true,,,,,,,,,,AngryEarth,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0802_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_S_0802_tasks_first_container,M_ReturnToGiver,,,
FM_S_0802_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_S_0802_leg_A_task,FM_S_0802_leg_B_task,FM_S_0802_leg_C_task,,
FM_S_0802_leg_A_task,TaskKillContribution,,,4,,,,,true,,Dynasty_Wall_30243,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0802_leg_B_task,TaskKillContribution,,,8,,,,,true,,Dynasty_MountainTemple_30235,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0802_leg_C_task,TaskKillContribution,,,8,,,,,true,,Pirate_Harbor_30239,,,true,,,,,,,,,,Lost,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0803_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_S_0803_tasks_first_container,M_ReturnToGiver,,,
FM_S_0803_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_S_0803_leg_A_task,FM_S_0803_leg_B_task,FM_S_0803_leg_C_task,,
FM_S_0803_leg_A_task,TaskKillContribution,,,8,,,,,true,,Dryad_Ruins_30229,,,true,,,,,,,,,,AngryEarth,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0803_leg_B_task,TaskKillContribution,,,8,,,,,true,,Dynasty_Shipwreck_30227,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0803_leg_C_task,TaskKillContribution,,,8,,,,,true,,Dynasty_FireShrine_30228,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0804_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_S_0804_tasks_first_container,M_ReturnToGiver,,,
FM_S_0804_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_S_0804_leg_A_task,FM_S_0804_leg_B_task,FM_S_0804_leg_C_task,,
FM_S_0804_leg_A_task,TaskKillContribution,,,8,,,,,true,,Tiger_Cave_30236,,,true,,,,,,,,,,Beast,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0804_leg_B_task,TaskKillContribution,,,8,,,,,true,,Dynasty_Wall_30242,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0804_leg_C_task,TaskKillContribution,,,8,,,,,true,,Dryad_Ruins_30229,,,true,,,,,,,,,,AngryEarth,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0805_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_S_0805_tasks_first_container,M_ReturnToGiver,,,
FM_S_0805_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_S_0805_leg_A_task,FM_S_0805_leg_B_task,FM_S_0805_leg_C_task,,
FM_S_0805_leg_A_task,TaskKillContribution,,,8,,,,,true,,Dynasty_WaterShrine_30234,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0805_leg_B_task,TaskKillContribution,,,8,,,,,true,,Dynasty_EarthShrine_30231,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0805_leg_C_task,TaskKillContribution,,,8,,,,,true,,Dynasty_FireShrine_30228,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0806_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_S_0806_tasks_first_container,M_ReturnToGiver,,,
FM_S_0806_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_S_0806_leg_A_task,FM_S_0806_leg_B_task,FM_S_0806_leg_C_task,,
FM_S_0806_leg_A_task,TaskKillContribution,,,8,,,,,true,,dynasty_temple_40339,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,0726_0101_d_01_TaskGoToPOITag,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0806_leg_B_task,TaskKillContribution,,,8,,,,,true,,dynasty_shrine_30312,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0806_leg_C_task,TaskKillContribution,,,8,,,,,true,,dynasty_shrine_30302,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0807_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_S_0807_tasks_first_container,M_ReturnToGiver,,,
FM_S_0807_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_S_0807_leg_A_task,FM_S_0807_leg_B_task,FM_S_0807_leg_C_task,,
FM_S_0807_leg_A_task,TaskKillContribution,,,8,,,,,true,,dynasty_shrine_30312,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0807_leg_B_task,TaskKillContribution,,,8,,,,,true,,graveyard_40338,,,true,,,,,,,,,,Lost,,,,,,,,,,,,,,,,,,,,0726_0102_d_01_TaskGoToPOITag,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0807_leg_C_task,TaskKillContribution,,,8,,,,,true,,dynasty_temple_40339,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0808_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_S_0808_tasks_first_container,M_ReturnToGiver,,,
FM_S_0808_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_S_0808_leg_A_task,FM_S_0808_leg_B_task,FM_S_0808_leg_C_task,,
FM_S_0808_leg_A_task,TaskKillContribution,,,8,,,,,true,,Dynasty_Cavern_30241,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,0726_0103_d_01_TaskGoToPOITag,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0808_leg_B_task,TaskKillContribution,,,8,,,,,true,,Dynasty_Monastery_30240,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0808_leg_C_task,TaskKillContribution,,,8,,,,,true,,dynasty_bridge_20202,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0809_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_S_0809_tasks_first_container,M_ReturnToGiver,,,
FM_S_0809_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0726_0104_d_01_TaskGoToPOITag,,,1,,,,,,,,,,,,FM_S_0809_leg_A_task,FM_S_0809_leg_B_task,FM_S_0809_leg_C_task,,
FM_S_0809_leg_A_task,TaskKillContribution,,,8,,,,,true,,dynasty_shrine_20203,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0809_leg_B_task,TaskKillContribution,,,8,,,,,true,,dynasty_bridge_20202,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0809_leg_C_task,TaskKillContribution,,,8,,,,,true,,empressfortress_20201,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,
FM_S_0810_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0726_0105_d_01_TaskGoToPOITag,,,,,,,,,,,,,,,FM_S_0810_tasks_first_container,M_ReturnToGiver,,,
FM_S_0810_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_S_0810_leg_A_task,FM_S_0810_leg_B_task,FM_S_0810_leg_C_task,,
