TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
0404_0103_d_02_have_npc_note,TaskHaveAndReturnItems,,1,,1,MI_SummonsNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@04_task_transport_generic,,,1,,,,,,,,,,
0405_0101_d_00_container_craftforartificer,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0405_0101_d_01_GiveItem_ArtificerResourceContainer1,0405_0101_d_02_container_craftforartificer_tasks,0405_0101_d_03_HaveItems_9_IngotT2,0405_0101_d_04_CraftRecipe,0405_0101_d_05_HaveItems_1_1hSwordT2
0405_0101_d_01_GiveItem_ArtificerResourceContainer1,TaskGiveItem,,1,,1,ArtificerResourceContainer1,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0405_0101_d_02_container_craftforartificer_tasks,PartialTaskContainer,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0405_0101_d_02_01_container_craftforartificer_tasks_ore,0405_0101_d_02_02_HaveItems_1_IngotT2,,,
0405_0101_d_02_01_container_craftforartificer_tasks_ore,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_gatherironore,,,,,,,,,0405_0101_d_02_01_01_HaveItems_90_Ore,,,,
0405_0101_d_02_01_01_HaveItems_90_Ore,TaskHaveItems,,,,90,OreT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0405_0101_d_01_task,,,,,,,,,,,,,
0405_0101_d_02_02_HaveItems_1_IngotT2,TaskHaveItems,,,,1,IngotT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0405_0101_d_03_HaveItems_9_IngotT2,TaskHaveItems,,,,9,IngotT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0405_0101_d_02_task,,8848 4260 2.92,,,,,,,,,,,
0405_0101_d_04_CraftRecipe,TaskCraftWeaponFamily,,1,,1,1hSwordT2,,,,,,,,,,,,,,SwordAbilityTable,,,,,,,,,,,,,,,,,,,,,,,,,@0405_0101_d_03_task,,8857 4260 2.89,,,,,,,,,,,
0405_0101_d_05_HaveItems_1_1hSwordT2,TaskHaveItems,,,,1,1hSwordT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8857 4260 2.89,1,,,,,,,,,,
0405_0102_d_00_container_campingunlock,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0405_0102_d_01_transport_npc_note,0405_0102_d_02_have_npc_note,,,
0405_0102_d_01_transport_npc_note,TaskGiveAndTakeItem,,1,,1,MI_SummonsNote,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04_task_transport_generic,,,1,,,,,,,,,,
0405_0102_d_02_have_npc_note,TaskHaveAndReturnItems,,1,,1,MI_SummonsNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@04_task_transport_generic,,,1,,,,,,,,,,
0403_0202_d_00_container_returntomagistrate,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0403_0202_d_01_transport_npc_note,0403_0202_d_02_have_npc_note,,,
0403_0202_d_01_transport_npc_note,TaskGiveAndTakeItem,,1,,1,MI_SummonsNote,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04_task_transport_generic,,,1,,,,,,,,,,
0403_0202_d_02_have_npc_note,TaskHaveAndReturnItems,,1,,1,MI_SummonsNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@04_task_transport_generic,,,1,,,,,,,,,,
0402_0202_d_00_container_introtoallfactions,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0409_0202_d_00_introtoallfactions_accepted,0402_0202_d_01_container_introtoallfactions_talkTo,0409_0202_d_03_talkedtoallfactions,0402_0202_d_04_talkedtoMagistrate,
0409_0202_d_00_introtoallfactions_accepted,TaskUnlockAchievement,,1,,,S_introtoallfactions_accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0402_0202_d_01_container_introtoallfactions_talkTo,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0402_0202_introtoallfactions_choose,,,,,,,,,0402_0202_d_02_01_TaskGameEvent_Marauder,0402_0202_d_02_02_TaskGameEvent_Syndicate,0402_0202_d_02_03_TaskGameEvent_Covenant,,
0402_0202_d_02_01_TaskGameEvent_Marauder,TaskAchievement,,,,,S_introtomarauders,,,,,,,,,,,,,,,,0407_Commander,,,,,,,,,,,,,,,,,,,,,,,@0402_0202_introtoallfactions_speak_marauders,,8837.00 4244.39 135.41,,,,,,,,,,,
0402_0202_d_02_02_TaskGameEvent_Syndicate,TaskAchievement,,,,,S_introtosyndicate,,,,,,,,,,,,,,,,0408_Alchemist,,,,,,,,,,,,,,,,,,,,,,,@0402_0202_introtoallfactions_speak_syndicate,,8863.38 4198.92 138.23,,,,,,,,,,,
0402_0202_d_02_03_TaskGameEvent_Covenant,TaskAchievement,,,,,S_introtocovenant,,,,,,,,,,,,,,,,0409_Adjudicator,,,,,,,,,,,,,,,,,,,,,,,@0402_0202_introtoallfactions_speak_covenant,,8965.51 4256.42 151.93,,,,,,,,,,,
0409_0202_d_03_talkedtoallfactions,TaskUnlockAchievement,,1,,,S_factiontalkedto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0402_0202_d_04_talkedtoMagistrate,TaskAchievement,,,,,S_factionchoiceready,,,,,,,,,,,,,,,,0402_Magistrate,,,,,,,,,,,,,,,,,,,,,,,@0402_0202_introtoallfactions_speak_magistrate,,8905.642 4225.748 138.699,,,,,,,,,,,
0407_0101_d_00_container_marauderquest1,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0407_0101_d_01_TaskGoToPOITag_abandoned_farm_village_40267,0407_0101_d_01a_container,,,
0407_0101_d_01_TaskGoToPOITag_abandoned_farm_village_40267,TaskGoToPOITag,,1,,,,,,,,,abandoned_farm_village_40267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0407_0101_task_goto_poi,,,,,,,,,,,,,
0407_0101_d_01a_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0407_0101_d_02_kill_4_Withered,0407_0101_d_03_TaskHaveAndReturnItems_2_MI_AncientCasket_abandoned_farm_village_40267,0407_0101_d_04_TaskHaveAndReturnItems_3_MI_SkeletonKeys_Withered,,
0407_0101_d_02_kill_4_Withered,TaskKillContribution,,1,,4,,,,,1,,abandoned_farm_village_40267,,,,,,,,,,,,,Withered,,,,,,,,,,,,,,,,,,,,@0407_0101_defeat,,,,,,,,,,,,,
0407_0101_d_03_TaskHaveAndReturnItems_2_MI_AncientCasket_abandoned_farm_village_40267,TaskHaveAndReturnItems,,1,,2,MI_AncientCasket,,,100,1,,abandoned_farm_village_40267,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0407_0101_collect_chests,,,,,,,,,,,,,
0407_0101_d_04_TaskHaveAndReturnItems_3_MI_SkeletonKeys_Withered,TaskHaveAndReturnItems,,1,,1,MI_SkeletonKeys,Risen_Regurgitator_8,100,,1,,abandoned_farm_village_40267,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0407_0101_collect_skeleton_key,,,,,,,,,,,,,
0408_0101_d_00_container_syndicatequest1,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0408_0101_d_01_TaskGoToPOITag_abandoned_village_40206,0408_0101_d_01a_container_syndicatequest1,,,
0408_0101_d_01_TaskGoToPOITag_abandoned_village_40206,TaskGoToPOITag,,1,,,,,,,,,abandoned_village_40206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0408_0101_task_goto_poi,,,,,,,,,,,,,
0408_0101_d_01a_container_syndicatequest1,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0408_0101_d_03_TaskHaveAndReturnItems_2_MI_AlchemistKit_abadoned_village_40206,0408_0101_d_04_kill_10_Corrupted,0408_0101_d_05_kill_10_Karl,,
0408_0101_d_03_TaskHaveAndReturnItems_2_MI_AlchemistKit_abadoned_village_40206,TaskHaveAndReturnItems,,1,,3,0409_0101_MixedSeeds,,,100,1,,abandoned_village_40206,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0408_0101_d_03_Task,,,,,,,,,,,,,
0408_0101_d_04_kill_10_Corrupted,TaskKillContribution,,1,,8,,,,,1,,abandoned_village_40206,,,,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,@04_task_destroy_enemies_generic,,,,,,,,,,,,,
0408_0101_d_05_kill_10_Karl,TaskKillContribution,,1,,1,,,,,1,,abandoned_village_40206,,,,,,,,,,,,,Damned_1H_Swordsman_M_Named_00,,,,,,,,,,,,,,,,,,,,@04_task_destroy_enemies_generic,,,,,,,,,,,,,
0409_0101_d_00_container_covenantquest1,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0409_0101_d_01_TaskGoToPOITag_ancient_ruins_40223,0409_0101_d_01a_container,,,
0409_0101_d_01_TaskGoToPOITag_ancient_ruins_40223,TaskGoToPOITag,,1,,,,,,,,,ancient_ruins_40223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0409_0101_task_goto_poi,,,,,,,,,,,,,
0409_0101_d_01a_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0409_0101_d_03_kill_25_Ancient,0409_0101_d_04_TaskHaveAndReturnItems_5_MI_AeternumMateria_ancient_ruins_40223,,,
0409_0101_d_03_kill_25_Ancient,TaskKillContribution,,1,,8,,,,,1,,ancient_ruins_40223,,,,,,,,,,,,,Ancient,,,,,,,,,,,,,,,,,,,,@0409_0101_Ancients,,,,,,,,,,,,,
0409_0101_d_04_TaskHaveAndReturnItems_5_MI_AeternumMateria_ancient_ruins_40223,TaskHaveAndReturnItems,,1,,3,0408_0101_AncientOrb,,,100,1,,ancient_ruins_40223,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04_task_search_chests_POITag_generic,,,,,,,,,,,,,
0409_0103_d_00_container_timetochoose,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0409_0103_d_03_timetochoose_accept,0409_0103_d_01_container_timetochoose_choice,,,
0409_0103_d_03_timetochoose_accept,TaskUnlockAchievement,,1,,,S_timetochoose_accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0409_0103_d_01_container_timetochoose_choice,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0409_0103_d_01_01_timetochoose_choice_marauder,0409_0103_d_01_02_timetochoose_choice_syndicate,0409_0103_d_01_03_timetochoose_choice_covenant,,
0409_0103_d_01_01_timetochoose_choice_marauder,TaskChooseFaction,,1,,,0407_Commander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0409_0103_timetochoose_choice_marauders,,,,,,,,,,,,,
0409_0103_d_01_02_timetochoose_choice_syndicate,TaskChooseFaction,,1,,,0408_Alchemist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0409_0103_timetochoose_choice_syndicate,,,,,,,,,,,,,
0409_0103_d_01_03_timetochoose_choice_covenant,TaskChooseFaction,,1,,,0409_Adjudicator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0409_0103_timetochoose_choice_covenant,,,,,,,,,,,,,
0402_0401_d_00_container_factionhandoff,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0402_0401_d_01_open_factionMission,0402_0401_d_02_container_factionhandoff_faction,,,
0402_0401_d_01_open_factionMission,TaskOpenUiScreen,,,,1,,,,,,,,,,,,,,,,,,OWMissionBoard,,,,,,,,,,,,,,,,,,,,,,@0402_0401_factionhandoff_faction_board_open,,,,,,,,,,,,,
0402_0401_d_02_container_factionhandoff_faction,PartialTaskContainer,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0402_0401_factionhandoff_faction_mission_complete,,,,,,,,,0402_0401_d_02_01_Marauder_factionmission_complete,0402_0401_d_02_02_Syndicate_factionmission_complete,0402_0401_d_02_03_Covenant_factionmission_complete,,
0402_0401_d_02_01_Marauder_factionmission_complete,TaskHaveLevel,,1,,20,Marauder,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0402_0401_d_02_02_Syndicate_factionmission_complete,TaskHaveLevel,,1,,20,Syndicate,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0402_0401_d_02_03_Covenant_factionmission_complete,TaskHaveLevel,,1,,20,Covenant,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0404_0501_d_00_container_encroachingcorruption,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0404_0501_d_01_TalktoConstable,0404_0501_d_02_container_encroachingcorruption_Interacts,,,
0404_0501_d_01_TalktoConstable,TaskAchievement,,,,,S_encroachingconstable,,,,,,,,,,,,,,,,0404_Overseer,,,,,,,,,,,,,,,,,,,,,,,@0404_0501_TalktoConstable,,8960.961 4190.063 148.611,,,,,,,,,,,
0404_0501_d_02_container_encroachingcorruption_Interacts,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0404_0501_encroachingcorruption_interact_nodes,,,,,,,,,0404_0501_d_02_01_corruptednode_A,0404_0501_d_02_02_corruptednode_B,0404_0501_d_02_03_corruptednode_C,,
0404_0501_d_02_01_corruptednode_A,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,IO_0404_CorruptedNoduleA,,,0404_CorruptedNoduleA_interact,,,,,,,,,,,,,,,,,,,,@0404_0501_encroachingcorruption_nodeA,,9651.591 4559.932 117.250,,,,,,,,,,,
0404_0501_d_02_02_corruptednode_B,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,IO_0404_CorruptedNoduleB,,,0404_CorruptedNoduleB_interact,,,,,,,,,,,,,,,,,,,,@0404_0501_encroachingcorruption_nodeB,,10145.734 4394.575 136.291,,,,,,,,,,,
0404_0501_d_02_03_corruptednode_C,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,IO_0404_CorruptedNoduleC,,,0404_CorruptedNoduleC_interact,,,,,,,,,,,,,,,,,,,,@0404_0501_encroachingcorruption_nodeC,,10040.597 4167.471 137.098,,,,,,,,,,,
task_gatherironoreforoverseer,TaskHaveItems,,,,90,OreT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_gatherironore,,,,,,,,,,,,,
0406_0101_d_00_container_intrototrader,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0406_0102_d_01_open_tradingpost,0406_0103_d_02_open_Shed,,,
0406_0101_d_01_transport_npc_note,TaskGiveAndTakeItem,,1,,1,MI_SummonsNote,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04_task_transport_generic,,,1,,,,,,,,,,
0406_0101_d_02_have_npc_note,TaskHaveAndReturnItems,,1,,1,MI_SummonsNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@04_task_transport_generic,,,1,,,,,,,,,,
0406_0102_d_00_container_tradingpost,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0406_0102_d_01_open_tradingpost,TaskOpenUiScreen,,,,1,,,,,,,,,,,,,,,,,,Contracts,,,,,,,,,,,,,,,,,,,,,,@0406_0102_d_01_task,,,,,,,,,,,,,
0402_0401_d_00_Container_EnemyOfMyEnemy,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0402_0401_d_01_Task_Goto,0402_0401_d_02_Task_KillToken,,,
0402_0401_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,,,abandoned_fishing_village_40246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0402_0401_d_01_Task_Goto,,,,,,,,,,,,,
0402_0401_d_02_Task_KillToken,TaskHaveAndReturnItems,,1,,5,0402_0401_FetidBile,Withered,85,,1,,abandoned_fishing_village_40246,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0402_0401_d_02_Task_KillToken,,,,,,,,,,,,,
0404_0402_d_00_Container_BreakingDay,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0404_0402_d_01_Task_Goto,0404_0402_d_01a_Container,,,
0404_0402_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,,,abandoned_village_40266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0404_0402_d_01_Task_GoTo,,,,,,,,,,,,,
0404_0402_d_01a_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0404_0402_d_02_Task_Kill,0404_0402_d_03_Task_GatherChest,,,
0404_0402_d_02_Task_Kill,TaskKillContribution,,1,,10,,,,,1,,abandoned_village_40266,,,,,,,,,,,,,Withered,,,,,,,,,,,,,,,,,,,,@0404_0402_d_02_Task_Kill,,,,,,,,,,,,,
0404_0402_d_03_Task_GatherChest,TaskHaveAndReturnItems,,1,,5,0404_0402_OldMemento,,,100,1,,abandoned_village_40266,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0404_0402_d_03_Task_GatherChest,,,,,,,,,,,,,
0404_0402_d_04_SliceSwap,TaskUnlockAchievement,,1,,1,SwapActive_0404_Constable_Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0411_0101_d_00_Container_Constellation,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0411_0101_d_01_Task,0411_0101_d_02_Task,0411_0101_d_03_Task,,
0411_0101_d_01_Task,TaskHaveAndReturnItems,,1,,1,0411_0101_DracoDisk,,,100,1,,ancient_lookout_40109,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0411_0101_d_01_Task,,,,,,,,,,,,,
0411_0101_d_02_Task,TaskHaveAndReturnItems,,1,,1,0411_0101_OrionDisk,,,100,1,,ancient_lookout_40110,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0411_0101_d_02_Task,,,,,,,,,,,,,
0411_0101_d_03_Task,TaskHaveAndReturnItems,,1,,1,0411_0101_PerseusDisk,,,100,1,,ancient_tower_40220,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0411_0101_d_03_Task,,,,,,,,,,,,,
0404_0403_d_00_Container_WhatCameBefore,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0404_0403_d_01_Task_Goto,0404_0403_d_02_Task_KillToken,0404_0403_d_03_Task_Kill,,
0404_0403_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,,,abandoned_farm_village_40201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0404_0403_d_01_Task_GoTo,,,,,,,,,,,,,
0404_0403_d_02_Task_KillToken,TaskHaveAndReturnItems,,1,,1,0404_0403_CodedLoveNote,,,15,1,,abandoned_farm_village_40201,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0404_0403_d_02_Task_KillToken,,,,,,,,,,,,,
0404_0403_d_03_Task_Kill,TaskKillContribution,,1,,8,,,,,1,,abandoned_farm_village_40201,,,,,,,,,,,,,Withered,,,,,,,,,,,,,,,,,,,,@0404_0403_d_03_Task_Kill,,,,,,,,,,,,,
0405_0404_d_00_Container_ArtificersQuarry,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0405_0404_d_01_Task_Goto,0405_0404_d_01a_Container,,,
0405_0404_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,,,mine_40203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0405_0404_d_01_Task_GoTo,,,,,,,,,,,,,
0405_0404_d_01a_Container,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0405_0404_d_02_TaskGatherAndReturn,,,,
0405_0404_d_02_Task_GatherItem,TaskGatherItems,,,,5,0405_0404_GlowingOre,SilverSmall,100,,1,,mine_40203,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0405_0404_d_02_Task_GatherItem,,,,,,,,,,,,,
0405_0404_d_02_TaskGatherAndReturn,TaskGatherAndReturnItems,,,,5,0405_0404_GlowingOre,0405_GlowingOre,100,,1,,mine_40203,,,true,,,,,,,IO_0405_GlowingOre,,,0405_GlowingOre_interact_success,,,,,,,,,,,,,,,,,,,,@0405_0404_d_02_Task_GatherItem,,,,,,,,,,,,,
0405_0404_d_03_Task_GatherItem,TaskGatherItems,,,,5,0405_0404_GlowingOre,SilverMedium,100,,1,,mine_40203,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0405_0404_d_04_Task_GatherItem,TaskGatherItems,,,,5,0405_0404_GlowingOre,SilverLarge,100,,1,,mine_40203,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0403_0405_d_00_Container_AncientProblems,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0403_0405_d_02_Task_Goto,0403_0405_d_03_Task_Kill,,,
0403_0405_d_02_Task_Goto,TaskGoToPOITag,,1,,,,,,,,,ancient_ruins_30119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0403_0405_d_02_Task_Goto,,,,,,,,,,,,,
0403_0405_d_03_Task_Kill,TaskKillContribution,,1,,10,,,,,1,,ancient_ruins_30119,,,,,,,,,,,,,Ancient,,,,,,,,,,,,,,,,,,,,@0403_0405_d_03_Task_Kill,,,,,,,,,,,,,
0410_0406_d_00_Container_TopOfArcturus,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0410_0406_d_01_Task_Goto,0410_0406_d_02_Task_Kill,,,
0410_0406_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,,,ancient_ruins_40223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0410_0406_d_01_Task_Goto,,,,,,,,,,,,,
0410_0406_d_02_Task_Kill,TaskKillContribution,,1,,1,,,,,1,,ancient_ruins_40223,,,,,,,,,,,,,AncientGuardian_Javelineer_12,,,,,,,,,,,,,,,,,,,,@0410_0406_d_02_Task_Kill,,,,,,,,,,,,,
0410_0407_d_00_Container_OpeningSupply,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0410_0407_d_01_Task_Goto,0410_0407_d_01a_Container,0410_0404_d_02a_Container,,
0410_0407_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,1,,undead_bastion_50232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0410_0407_d_01_Task_Goto,,,,,,,,,,,,,
0410_0407_d_01a_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0410_0407_d_02_Task_Kill,0410_0407_d_03_Task_Kill,,,
0410_0407_d_02_Task_Kill,TaskKillContribution,,1,,10,,,,,1,,undead_bastion_50232,,,,,,,,,,,,,Undead,,,,,,,,,,,,,,,,,,,,@0410_0407_d_02_Task_Kill,,,,,,,,,,,,,
0410_0407_d_03_Task_Kill,TaskKillContribution,,1,,1,,,,,1,,undead_bastion_50232,,,,,,,,,,,,,Undead_Officer_Named_02,,,,,,,,,,,,,,,,,,,,@0410_0407_d_03_Task_Kill,,10494 4285 124,,,,,,,,,,,
0410_0404_d_02a_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0410_0407_d_04_Task_Goto,0410_0407_d_05_Task_Kill,,,
0410_0407_d_04_Task_Goto,TaskGoToPOITag,,1,,,,,,,1,,undead_bastion_40207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0410_0407_d_04_Task_Goto,,,,,,,,,,,,,
0410_0407_d_05_Task_Kill,TaskKillContribution,,1,,10,,,,,1,,undead_bastion_40207,,,,,,,,,,,,,Undead,,,,,,,,,,,,,,,,,,,,@0410_0407_d_05_Task_Kill,,,,,,,,,,,,,
0410_0408_d_00_Container_Reclaiming,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0410_0408_d_01_Task_Goto,0410_0408_d_01a_Container,,,
0410_0408_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,1,,undead_bastion_40227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0410_0408_d_01_Task_Goto,,,,,,,,,,,,,
