TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,TP_StayComplete,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
FM_1107_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_forest_60310,,1,,,,,,,,,,Carrionstar,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_1107_leg_B_task,TaskKillContribution,,,8,,,,,1,,ancient_lookout_highcliff,,1,,,,,,,,,,Wardog,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_1107_leg_C_task,TaskKillContribution,,,8,,,,,1,,abandoned_homestead_overlook,,1,,,,,,,,,,Wardog,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_1108_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_1108_tasks_first_container,M_ReturnToGiver,,,
FM_1108_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_1108_leg_A_task,FM_1108_leg_B_task,FM_1108_leg_C_task,,
FM_1108_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_woods_60316,,1,,,,,,,,,,Novaguard,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_1108_leg_B_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_forest_60310,,1,,,,,,,,,,Carrionstar,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_1108_leg_C_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_mourningbridge,,1,,,,,,,,,,Novaguard,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_1109_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_1109_tasks_first_container,M_ReturnToGiver,,,
FM_1109_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_1109_leg_A_task,FM_1109_leg_B_task,FM_1109_leg_C_task,,
FM_1109_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_mourningbridge,,1,,,,,,,,,,Novaguard,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_1109_leg_B_task,TaskKillContribution,,,8,,,,,1,,crater_corruptedsettlement_60341,,1,,,,,,,,,,Highpass,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_1109_leg_C_task,TaskKillContribution,,,8,,,,,1,,crater_corruptedsettlement_60338,,1,,,,,,,,,,Highpass,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_1110_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_1110_tasks_first_container,M_ReturnToGiver,,,
FM_1110_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_1110_leg_A_task,FM_1110_leg_B_task,FM_1110_leg_C_task,,
FM_1110_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_watchtower_highbluff_60318,,1,,,,,,,,,,Fineseer,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_1110_leg_B_task,TaskKillContribution,,,8,,,,,1,,ancient_port_60336,,1,,,,,,,,,,Redeye,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_1110_leg_C_task,TaskKillContribution,,,8,,,,,1,,ancient_lighthouse_60343,,1,,,,,,,,,,Scorpius,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1101_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_S_1101_tasks_first_container,M_ReturnToGiver,,,
FM_S_1101_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_S_1101_leg_A_task,FM_S_1101_leg_B_task,FM_S_1101_leg_C_task,,
FM_S_1101_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_streamside_60309,,1,,,,,,,,,,Ancient,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1101_leg_B_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_flooded_60315,,1,,,,,,,,,,Ancient,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1101_leg_C_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_hillside_60317,,1,,,,,,,,,,Ancient,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1102_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_S_1102_tasks_first_container,M_ReturnToGiver,,,
FM_S_1102_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_S_1102_leg_A_task,FM_S_1102_leg_B_task,FM_S_1102_leg_C_task,,
FM_S_1102_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_falls_60314,,1,,,,,,,,,,Ancient,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1102_leg_B_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_crossroads_60313,,1,,,,,,,,,,Ancient,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1102_leg_C_task,TaskKillContribution,,,8,,,,,1,,homestead_waterrun_60304,,1,,,,,,,,,,Weeper,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1103_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_S_1103_tasks_first_container,M_ReturnToGiver,,,
FM_S_1103_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_S_1103_leg_A_task,FM_S_1103_leg_B_task,FM_S_1103_leg_C_task,,
FM_S_1103_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_seacliff_60312,,1,,,,,,,,,,Carrionstar,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1103_leg_B_task,TaskKillContribution,,,8,,,,,1,,tree_offering_60319,,1,,,,,,,,,,Carrionstar,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1103_leg_C_task,TaskKillContribution,,,8,,,,,1,,ancient_lookout_portside_60308,,1,,,,,,,,,,Carrionstar,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1104_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_S_1104_tasks_first_container,M_ReturnToGiver,,,
FM_S_1104_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_S_1104_leg_A_task,FM_S_1104_leg_B_task,FM_S_1104_leg_C_task,,
FM_S_1104_leg_A_task,TaskKillContribution,,,1,,,,,1,,mine_haunted_whispering_60301,,1,,,,,,,,,,Wraith,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1104_leg_B_task,TaskKillContribution,,,4,,,,,1,,nature_cave_smugglerscove_60320,,1,,,,,,,,,,Seasong,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1104_leg_C_task,TaskKillContribution,,,8,,,,,1,,wrecked_galleon_60339,,1,,,,,,,,,,Seasong,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1105_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_S_1105_tasks_first_container,M_ReturnToGiver,,,
FM_S_1105_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_S_1105_leg_A_task,FM_S_1105_leg_B_task,FM_S_1105_leg_C_task,,
FM_S_1105_leg_A_task,TaskKillContribution,,,1,,,,,1,,wolf_den_forestsouth_60322,,1,,,,,,,,,,Beast,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1105_leg_B_task,TaskKillContribution,,,4,,,,,1,,wolf_den_forestnorth_60324,,1,,,,,,,,,,Beast,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1105_leg_C_task,TaskKillContribution,,,5,,,,,1,,ancient_lookout_forestsouth_60307,,1,,,,,,,,,,Carrionstar,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1106_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_S_1106_tasks_first_container,M_ReturnToGiver,,,
FM_S_1106_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_S_1106_leg_A_task,FM_S_1106_leg_B_task,FM_S_1106_leg_C_task,,
FM_S_1106_leg_A_task,TaskKillContribution,,,8,,,,,1,,shipwreck_eastbayshipwreck_60302,,1,,,,,,,,,,Seasong,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1106_leg_B_task,TaskKillContribution,,,4,,,,,1,,nature_cave_smugglerscove_60320,,1,,,,,,,,,,Seasong,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1106_leg_C_task,TaskKillContribution,,,8,,,,,1,,abandoned_homestead_highpoint_60303,,1,,,,,,,,,,Dorado,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1107_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_S_1107_tasks_first_container,M_ReturnToGiver,,,
FM_S_1107_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_S_1107_leg_A_task,FM_S_1107_leg_B_task,FM_S_1107_leg_C_task,,
FM_S_1107_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_forest_60310,,1,,,,,,,,,,Carrionstar,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1107_leg_B_task,TaskKillContribution,,,8,,,,,1,,ancient_lookout_highcliff,,1,,,,,,,,,,Wardog,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1107_leg_C_task,TaskKillContribution,,,8,,,,,1,,abandoned_homestead_overlook,,1,,,,,,,,,,Wardog,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1108_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_S_1108_tasks_first_container,M_ReturnToGiver,,,
FM_S_1108_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_S_1108_leg_A_task,FM_S_1108_leg_B_task,FM_S_1108_leg_C_task,,
FM_S_1108_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_woods_60316,,1,,,,,,,,,,Novaguard,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1108_leg_B_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_forest_60310,,1,,,,,,,,,,Carrionstar,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1108_leg_C_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_mourningbridge,,1,,,,,,,,,,Novaguard,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1109_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_S_1109_tasks_first_container,M_ReturnToGiver,,,
FM_S_1109_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_S_1109_leg_A_task,FM_S_1109_leg_B_task,FM_S_1109_leg_C_task,,
FM_S_1109_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_mourningbridge,,1,,,,,,,,,,Novaguard,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1109_leg_B_task,TaskKillContribution,,,8,,,,,1,,crater_corruptedsettlement_60341,,1,,,,,,,,,,Highpass,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1109_leg_C_task,TaskKillContribution,,,8,,,,,1,,crater_corruptedsettlement_60338,,1,,,,,,,,,,Highpass,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1110_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_S_1110_tasks_first_container,M_ReturnToGiver,,,
FM_S_1110_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_S_1110_leg_A_task,FM_S_1110_leg_B_task,FM_S_1110_leg_C_task,,
FM_S_1110_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_watchtower_highbluff_60318,,1,,,,,,,,,,Fineseer,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1110_leg_B_task,TaskKillContribution,,,8,,,,,1,,ancient_port_60336,,1,,,,,,,,,,Redeye,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_S_1110_leg_C_task,TaskKillContribution,,,8,,,,,1,,ancient_lighthouse_60343,,1,,,,,,,,,,Scorpius,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1101_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_C_1101_tasks_first_container,M_ReturnToGiver,,,
FM_C_1101_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_C_1101_leg_A_task,FM_C_1101_leg_B_task,FM_C_1101_leg_C_task,,
FM_C_1101_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_streamside_60309,,1,,,,,,,,,,Ancient,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1101_leg_B_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_flooded_60315,,1,,,,,,,,,,Ancient,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1101_leg_C_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_hillside_60317,,1,,,,,,,,,,Ancient,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1102_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_C_1102_tasks_first_container,M_ReturnToGiver,,,
FM_C_1102_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_C_1102_leg_A_task,FM_C_1102_leg_B_task,FM_C_1102_leg_C_task,,
FM_C_1102_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_falls_60314,,1,,,,,,,,,,Ancient,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1102_leg_B_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_crossroads_60313,,1,,,,,,,,,,Ancient,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1102_leg_C_task,TaskKillContribution,,,8,,,,,1,,homestead_waterrun_60304,,1,,,,,,,,,,Weeper,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1103_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_C_1103_tasks_first_container,M_ReturnToGiver,,,
FM_C_1103_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_C_1103_leg_A_task,FM_C_1103_leg_B_task,FM_C_1103_leg_C_task,,
FM_C_1103_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_seacliff_60312,,1,,,,,,,,,,Carrionstar,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1103_leg_B_task,TaskKillContribution,,,8,,,,,1,,tree_offering_60319,,1,,,,,,,,,,Carrionstar,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1103_leg_C_task,TaskKillContribution,,,8,,,,,1,,ancient_lookout_portside_60308,,1,,,,,,,,,,Carrionstar,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1104_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_C_1104_tasks_first_container,M_ReturnToGiver,,,
FM_C_1104_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_C_1104_leg_A_task,FM_C_1104_leg_B_task,FM_C_1104_leg_C_task,,
FM_C_1104_leg_A_task,TaskKillContribution,,,1,,,,,1,,mine_haunted_whispering_60301,,1,,,,,,,,,,Wraith,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1104_leg_B_task,TaskKillContribution,,,4,,,,,1,,nature_cave_smugglerscove_60320,,1,,,,,,,,,,Seasong,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1104_leg_C_task,TaskKillContribution,,,8,,,,,1,,wrecked_galleon_60339,,1,,,,,,,,,,Seasong,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1105_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_C_1105_tasks_first_container,M_ReturnToGiver,,,
FM_C_1105_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_C_1105_leg_A_task,FM_C_1105_leg_B_task,FM_C_1105_leg_C_task,,
FM_C_1105_leg_A_task,TaskKillContribution,,,1,,,,,1,,wolf_den_forestsouth_60322,,1,,,,,,,,,,Beast,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1105_leg_B_task,TaskKillContribution,,,4,,,,,1,,wolf_den_forestnorth_60324,,1,,,,,,,,,,Beast,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1105_leg_C_task,TaskKillContribution,,,5,,,,,1,,ancient_lookout_forestsouth_60307,,1,,,,,,,,,,Carrionstar,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1106_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_C_1106_tasks_first_container,M_ReturnToGiver,,,
FM_C_1106_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_C_1106_leg_A_task,FM_C_1106_leg_B_task,FM_C_1106_leg_C_task,,
FM_C_1106_leg_A_task,TaskKillContribution,,,8,,,,,1,,shipwreck_eastbayshipwreck_60302,,1,,,,,,,,,,Seasong,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1106_leg_B_task,TaskKillContribution,,,4,,,,,1,,nature_cave_smugglerscove_60320,,1,,,,,,,,,,Seasong,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1106_leg_C_task,TaskKillContribution,,,8,,,,,1,,abandoned_homestead_highpoint_60303,,1,,,,,,,,,,Dorado,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1107_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_C_1107_tasks_first_container,M_ReturnToGiver,,,
FM_C_1107_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_C_1107_leg_A_task,FM_C_1107_leg_B_task,FM_C_1107_leg_C_task,,
FM_C_1107_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_forest_60310,,1,,,,,,,,,,Carrionstar,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1107_leg_B_task,TaskKillContribution,,,8,,,,,1,,ancient_lookout_highcliff,,1,,,,,,,,,,Wardog,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1107_leg_C_task,TaskKillContribution,,,8,,,,,1,,abandoned_homestead_overlook,,1,,,,,,,,,,Wardog,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1108_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_C_1108_tasks_first_container,M_ReturnToGiver,,,
FM_C_1108_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FM_C_1108_leg_A_task,FM_C_1108_leg_B_task,FM_C_1108_leg_C_task,,
FM_C_1108_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_woods_60316,,1,,,,,,,,,,Novaguard,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1108_leg_B_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_forest_60310,,1,,,,,,,,,,Carrionstar,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1108_leg_C_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_mourningbridge,,1,,,,,,,,,,Novaguard,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,,,,,,,
FM_C_1109_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_C_1109_tasks_first_container,M_ReturnToGiver,,,
