TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticTaskPinZPosOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
C10A_Q4_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_Q4_Container_Partial_01,,,,
C10A_Q4_Container_Partial_01,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_Q4_Container_01,,,,,,,,,,,,,,,C10A_Q4_ChestA,C10A_Q4_ChestDummy,C10A_Q4_Container_Partial_02,C10A_Q4_DummyPin_01,C10A_Q4_Container_WaveEnemies
C10A_Q4_ChestA,TaskGameEvent,,,100,10A_Q4_ChestA,,,,,,,,,,,,,,,IO_10A_Q4_ChestA,,,10A_Q4_ChestA_Interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q4_ChestDummy,TaskGameEvent,,,3,10A_Q4_ChestDummy,,,,,,,,,,,,,,,IO_10A_Q4_ChestDummy,,,10A_Q4_ChestDummy_Interact,,,,,,,,,,,,,,,,,,,,,,,1,,true,,,,,,,,,,,,,,
C10A_Q4_DummyPin_01,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,,,,6468.6025 287.6467 39.3862,1,,,,,,,,,,,,,,,,
C10A_Q4_Container_WaveEnemies,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_Q4_Kill_Swordsman,C10A_Q4_Kill_Axe,C10A_Q4_Kill_Spear,C10A_Q4_Kill_Blunderbuss,C10A_Q4_Kill_Wraith
C10A_Q4_Kill_Swordsman,TaskKillContribution,,,100,,,,,,,,,,,,,,,,,,,CK_Spectral_Lost_1hSword_Q4_WaveEvent,,,,,,,,,,,,,,,,,,,,,,,1,,true,,,,,,,,,,,,,,
C10A_Q4_Kill_Axe,TaskKillContribution,,,100,,,,,,,,,,,,,,,,,,,CK_Spectral_Lost_2hAxe_Q4_WaveEvent,,,,,,,,,,,,,,,,,,,,,,,1,,true,,,,,,,,,,,,,,
C10A_Q4_Kill_Spear,TaskKillContribution,,,100,,,,,,,,,,,,,,,,,,,CK_Spectral_Lost_2hSpear_Q4_WaveEvent,,,,,,,,,,,,,,,,,,,,,,,1,,true,,,,,,,,,,,,,,
C10A_Q4_Kill_Blunderbuss,TaskKillContribution,,,100,,,,,,,,,,,,,,,,,,,CK_Spectral_Lost_2hBlunderbuss_Q4_WaveEvent,,,,,,,,,,,,,,,,,,,,,,,1,,true,,,,,,,,,,,,,,
C10A_Q4_Kill_Wraith,TaskKillContribution,,,100,,,,,,,,,,,,,,,,,,,CK_Ghost_Shackled_Q4_WaveEvent,,,,,,,,,,,,,,,,,,,,,,,1,,true,,,,,,,,,,,,,,
C10A_Q4_Container_Partial_02,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_Q4_ChestB,C10A_Q4_Container_Encounter,,,
C10A_Q4_ChestB,TaskGameEvent,,,100,10A_Q4_ChestB,,,,,,,,,,,,,,,IO_10A_Q4_ChestB,,,10A_Q4_ChestB_Interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q4_Container_Encounter,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_Q4_Encounter_Complete,C10A_Q4_GiveArtifact,,,
C10A_Q4_Encounter_Complete,TaskGameEvent,,,1,,,,,,,,,,,,,,,,,,,10A_Q4_EncounterComplete_Interact,,,,,,,,,,,,,,,,,,,,@C10A_Q4_Artifacts,,,,,,,,,,,,,,,,,,,
C10A_Q4_GiveArtifact,TaskGiveItem,,,1,C10A_Q4_SpectralArtifact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q5_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_Q5_GoToPOI,C10A_Q5_Container01,C10A_Q5_OfferGems,C10A_Q5_RemoveGems,
C10A_Q5_GoToPOI,TaskGoToPOITag,,,,,,,,true,,checkpoint_30059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_Q5_GoToPOI,,,,,,,,,,,,,,,,,,,
C10A_Q5_Container01,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_Q5_Container01,,,,,,,,,,,,,,,C10A_Q5_KillSpectralPirates,C10A_Q5_KillPlayers,C10A_Q5_KillPlayers2,C10A_Q5_KillPlayers3,
C10A_Q5_KillSpectralPirates,TaskHaveAndReturnItems,,,6,C10A_Q5_SoulGem,"CK_Spectral_Lost_2hBlunderbuss_10WS10,CK_Spectral_Lost_2hSpear_10WS10,CK_Spectral_Lost_1hSword_10WS10,CK_Spectral_Lost_2hAxe_10WS10",100,,true,,checkpoint_30059,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_Q5_KillSpirits,,,,,,,,,,,,,,,,,,,
C10A_Q5_KillPlayers,TaskHaveAndReturnItems,,,6,C10A_Q5_SoulGem,Player,100,,true,,checkpoint_30059,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_Q5_KillPlayers,,5820.266 738.946 109.847,1,,true,,,,,,,,,,,,,,
C10A_Q5_KillPlayers2,TaskHaveAndReturnItems,,,6,C10A_Q5_SoulGem,Player,100,,true,,checkpoint_30059,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5826.163 627.031 87.639,1,,true,,,,,,,,,,,,,,
C10A_Q5_KillPlayers3,TaskHaveAndReturnItems,,,6,C10A_Q5_SoulGem,Player,100,,true,,checkpoint_30059,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q5_OfferGems,TaskGameEvent,,,1,10A_Q5_OfferGems,,,,,,,,,,,,,,,IO_10A_Q5_OfferGems,,,10A_Q5_OfferGems_Interact,,,,,,,,,,,,,,,,,,,,@C10A_Q5_Offer,,5877.842 687.493 93.823,,,,,,,,,,,,,,,,,
C10A_Q5_RemoveGems,TaskRemoveItem,,,6,C10A_Q5_SoulGem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q6_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_Q6_Container01,,,,
C10A_Q6_Container01,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_Q6_Container01,,,,,,,,,,,,,,,C10A_Q6_GoToCitadel,C10A_Q6_KillPlayers,,,
C10A_Q6_GoToCitadel,TaskGoToPOITag,,1,1,,,,,true,,pirate_fort_30056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_Q6_GoToCitadel,,,,,,,,,,,,,,,,,,,
C10A_Q6_KillPlayers,TaskGameEvent,,,3,,,,,true,,pirate_fort_30056,,,,,,,,,,,,PlayerKill,,,,,,,,,,,,,,,,,,,,@C10A_Q6_KillPlayers,,,,,,,,,,,,,,,,,,,
C10A_S1_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_S1_01,C10A_S1_02_container,,,
C10A_S1_01,TaskGoToPOITag,,,,,,,,true,,fishingvillage_30063,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S1_Task_01,,,,,,,,,,,,,,,,,,,
C10A_S1_02_container,SimpleTaskContainer,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_S1_03,C10A_S1_04,C10A_S1_05,C10A_S1_06,
C10A_S1_03,TaskHaveAndReturnItems,,1,4,C10A_S1_Swampys_Saucepans,"CK_Blackbone_Lost_2hBlunderbuss_10ws03c,CK_Undead_Pistoleer_10ws03c",100,,true,,fishingvillage_30063,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S1_Task_03,,,,,,,,,,,,,,,,,,,
C10A_S1_04,TaskHaveAndReturnItems,,1,1,C10A_S1_Swampys_Stewpots,CK_Alligator_Strange,100,,true,,fishingvillage_30063,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S1_Task_04,,,,,,,,,,,,,,,,,,,
C10A_S1_05,TaskHaveAndReturnItems,,1,1,C10A_S1_Swampys_Stockpot,"CK_Goldcursed_2hSpear_10ws03c_Named,CK_Undead_Navigator_10ws03c_Named",100,,true,,fishingvillage_30063,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S1_Task_05,,7421.9731 1862.3875 80,,,true,,,,,,,,,,,,,,
C10A_S1_06,TaskHaveAndReturnItems,,1,1,C10A_S1_Swampys_Skillet,,,100,true,,fishingvillage_30063,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S1_Task_06,,,,,,,,,,,,,,,,,,,
C10A_S2_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_S2_01,C10A_S2_02_container,,,
C10A_S2_01,TaskGoToPOITag,,1,1,,,,,true,,piratespass_30070,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S2_Task_GotoPOI,,,,,,,,,,,,,,,,,,,
C10A_S2_02_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_S2_03,C10A_S2_04,C10A_S2_05,,
C10A_S2_03,TaskHaveAndReturnItems,,1,5,1002_0101_artifact_fragments,CK_Blackbone_Lost_1hSword_10WS02_Pirates_Stand,100,,true,,piratespass_30070,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S2_Task_GetArtifacts,,,,,,,,,,,,,,,,,,,
C10A_S2_04,TaskHaveAndReturnItems,,1,4,1002_0101_intact_artifacts,CK_Blackbone_Lost_2hBlunderbuss_10WS02_Pirates_Stand,100,,true,,piratespass_30070,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S2_Task_GetShards,,,,,,,,,,,,,,,,,,,
C10A_S2_05,TaskHaveAndReturnItems,,1,3,1002_0101_williams_notes,,,100,true,,piratespass_30070,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_task_haveItem_chest_plural,,,,,,,,,,,,,,,,,,,
C10A_S3_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_S3_01,,,,
C10A_S3_01,TaskHaveAndReturnItems,,1,4,1002_0102_ancient_relics,,,100,true,,ancient_tower_30014,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S3_Task_GetRelics,,,,,,,,,,,,,,,,,,,
C10A_S4_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_S4_01,C10A_S4_02_container,,,
C10A_S4_01,TaskGoToPOITag,,1,1,,,,,true,,corrupted_camp_30010,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S4_Task_GoToCamp,,,,,,,,,,,,,,,,,,,
C10A_S4_02_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_S4_03,C10A_S4_04,,,
C10A_S4_03,TaskHaveAndReturnItems,,1,6,1004_0101_black_power,CK_Lost_2H_Pistols_10WS02_Highpass,100,,true,,"corrupted_camp_30010,bear_den_30005",,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S4_Task_GetPowder,,,,,,,,,,,,,,,,,,,
C10A_S4_04,TaskHaveAndReturnItems,,1,3,1004_0101_powder_fuses,CK_Lost_1H_Grenadier_10WS02_Highpass,100,,true,,"corrupted_camp_30010,bear_den_30005",,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S4_Task_GetFuses,,,,,,,,,,,,,,,,,,,
C10A_S5_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_S5_01,C10A_S5_Container,,,
C10A_S5_01,TaskGoToPOITag,,,,,,,,,,ghost_forest_30055,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S5_Task_GoToField,,,,,,,,,,,,,,,,,,,
C10A_S5_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_S5_02,C10A_S5_04,,,
C10A_S5_02,TaskHaveAndReturnItems,,1,2,1005_0101_water_vapors,CK_Ghost_Frozen_10WS06,100,,true,,ghost_forest_30055,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S5_Task_GetWaterSpirit,,,,,,,,,,,,,,,,,,,
C10A_S5_04,TaskHaveAndReturnItems,,1,3,1005_0101_bottle_lightning,CK_Ghost_Shipwrecked_10WS06,100,,true,,ghost_forest_30055,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S5_Task_GetLightningSpirit,,,,,,,,,,,,,,,,,,,
C10A_S6_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_S6_01,C10A_S6_02,C10A_S6_03,,
C10A_S6_01,TaskGiveItem,,,5,1005_0102_lightning_bomb,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_S6_02,TaskGoToPOITag,,1,1,,,,,true,,corrupted_fort_30020,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1005_0102_d_02_task,,,,,,,,,,,,,,,,,,,
C10A_S6_03,TaskGameEvent,,1,5,,,,,true,,corrupted_fort_30020,,,,,,,,,IO_10A_S6_LightningJars,,,10A_S6_LightningJars_Interact,,,,,,,,,,,,,,,,,,,,@C10A_S6_LightningJars,,,,,,,,,,,,,,,,,,,
C10A_S7_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_S7_Container_01,,,,
C10A_S7_Container_01,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_S7_01_HaveItem,C10A_S7_02_HaveItem,,,
C10A_S7_01_HaveItem,TaskHaveAndReturnItems,,1,4,1030_0201_wildcat_claw,CK_Bobcat,100,,,windswardshores3,windswardshores3,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S7_Bobcats,,7577 1469 62,,,,,,,,,,,,,,,,,
C10A_S7_02_HaveItem,TaskHaveAndReturnItems,,1,4,1030_0201_alligator_skin,CK_Alligator_Strange,100,,,windswardshores3,windswardshores3,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_task_haveItem_enemy_singular,,,,,,,,,,,,,,,,,,,
C10A_S8_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_S8_01_GoToPOI,C10A_S8_02_HaveItem,,,
C10A_S8_01_GoToPOI,TaskGoToPOITag,,1,,,,,,true,windswardshores3,windswardshores3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1030_0202_d_01_gotoPOI,,,,,,,,,,,,,,,,,,,
C10A_S8_02_HaveItem,TaskHaveAndReturnItems,,1,1,1030_0202_snaggletooth_tooth,Primal_Lion_Named_10WS01,100,,,windswardshores3,windswardshores3,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_task_haveItem_enemy_singular,,7293 1873 45,,,true,,,,,,,,,,,,,,
C10A_S9_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_S9_01_GoToPOI,C10A_S9_02_HaveItem,,,
C10A_S9_01_GoToPOI,TaskGoToPOITag,,1,,,,,,true,windswardshores6_v2,windswardshores6_v2,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1030_0203_d_01_gotoPOI,,7331.3574 792.8326 69.184,,,,,,,,,,,,,,,,,
C10A_S9_02_HaveItem,TaskHaveAndReturnItems,,1,6,1030_0203_leopard_whiskers,CK_Mountain_Lion_10WS06,100,,,windswardshores6_v2,windswardshores6_v2,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1030_0203_d_02_have_item,,7331.3574 792.8326 69.184,,,,,,,,,,,,,,,,,
C10A_S9_03_HaveItem,TaskHaveAndReturnItems,,1,6,1030_0203_leopard_whiskers,CK_Mountain_Lion_10WS06,100,,,windswardshores5,windswardshores5,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_S10_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_S10_01_GoToPOI,C10A_S10_02_Container,,,
C10A_S10_01_GoToPOI,TaskGoToPOITag,,1,,,,,,true,,corrupted_fort_30020,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1030_0204_d_01_gotoPOI,,,,,,,,,,,,,,,,,,,
C10A_S10_02_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_S10_03_HaveItem,C10A_S10_04_HaveItem,,,
C10A_S10_03_HaveItem,TaskHaveAndReturnItems,,1,4,1030_0204_corrupted_collar,CK_Alligator_Young,100,,,,corrupted_fort_30020,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_task_haveItem_enemy_singular,,,,,,,,,,,,,,,,,,,
C10A_S10_04_HaveItem,TaskHaveAndReturnItems,,1,3,1030_0204_corrupted_leash,CK_Drowned_Miner_10WS06,100,,,,corrupted_fort_30020,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_task_haveItem_enemy_singular,,,,,,,,,,,,,,,,,,,
C10A_S11_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_S11_01_GoToPOI,C10A_S11_02_HaveItem,,,
C10A_S11_01_GoToPOI,TaskGoToPOITag,,1,,,,,,true,hauntedwoods_30068,hauntedwoods_30068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1030_0205_d_01_gotoPOI,,,,,,,,,,,,,,,,,,,
C10A_S11_02_HaveItem,TaskHaveAndReturnItems,,1,4,1030_0205_boar_bristles,CK_Boar_10WS09,100,,true,hauntedwoods_30068,hauntedwoods_30068,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_task_haveItem_enemy_singular,,,,,,,,,,,,,,,,,,,
C10A_S12_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_S12_01_GoToPOI,C10A_S12_Container_01,,,
C10A_S12_01_GoToPOI,TaskGoToPOITag,,1,,,,,,true,,cave_30004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S12_GoToPOI,,,,,,,,,,,,,,,,,,,
C10A_S12_Container_01,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_S12_02_Kill,C10A_S12_Jocelyn_TriggerArea,,,
C10A_S12_02_Kill,TaskKillContribution,,1,6,,,,,true,,cave_30004,,,,,,,,,,,,Lost,,,,,,,,,,,,,,,,,,,,@C10A_task_kill_singular,,,,,,,,,,,,,,,,,,,
C10A_S12_Jocelyn_TriggerArea,TaskTriggerArea,,1,1,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,C10A_S12_Jocelyn_Trigger,@C10A_S12_Jocelyn_TriggerArea,,7284.7334 2012.5448,,,,,,,,,,,,,,,,,
C10A_S13_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_S13_01_GoToPOI,C10A_S13_02_Kill,C10A_S13_03_HaveItem,,
C10A_S13_01_GoToPOI,TaskGoToPOITag,,1,,,,,,true,,fishingvillage_30062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S13_GoToPOI,,,,,,,,,,,,,,,,,,,
C10A_S13_02_Kill,TaskKillContribution,,1,6,,,,,true,,fishingvillage_30062,,,,,,,,,,,,Lost,,,,,,,,,,,,,,,,,,,,@C10A_S13_Kill,,7344.582 1597.201,,,,,,,,,,,,,,,,,
C10A_S13_03_HaveItem,TaskHaveAndReturnItems,,1,4,C10A_S13_Teeth,,,100,true,,fishingvillage_30062,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S13_Teeth,,7344.582 1597.201,,,,,,,,,,,,,,,,,
C10A_S14_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_S14_01_GoToPOI,C10A_S14_02_Kill,,,
C10A_S14_01_GoToPOI,TaskTriggerArea,,1,1,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,C10A_S14_Marshjaw_Trigger,@C10A_S14_TriggerArea,,7249.0 1710.0 40.0,,,,,,,,,,,,,,,,,
C10A_S14_02_Kill,TaskHaveAndReturnItems,,1,1,C10A_S14_Jocelyns_Diary,CK_Withered_Grunt_Named_10WS03,100,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S14_Kill,,7249.0 1710.0 40.0,,,,,,,,,,,,,,,,,
C10A_S15_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_S15_01_GiveMap,C10A_S15_02_GoToPOI,C10A_S15_03_HaveItem,,
C10A_S15_01_GiveMap,TaskGiveItem,,1,1,1033_0201_treasure_map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_S15_02_GoToPOI,TaskGoToPOITag,,1,,,,,,,,ancient_ruins_30012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S15_GoToPOI,,,,,,,,,,,,,,,,,,,
C10A_S15_03_HaveItem,TaskHaveAndReturnItems,,1,4,C10A_S15_Silver,,,100,true,,ancient_ruins_30012,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_S15_HaveItem,,,,,,,,,,,,,,,,,,,
FM_10_PVP_Control_Covenant_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_10_PVP_Control_Covenant_first,M_ReturnToGiver,,,
FM_10_PVP_Control_Covenant_first,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_pvp,,,1,,,,,,,,,,,,FM_10_PVP_Control_Covenant_task,M_task_die_reset,,,
FM_10_PVP_Control_Covenant_task,PatrolTask,,,,,,,,true,,poi_30037_factionarea,,true,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,@objective_mission_task_patrol_timer,,,,,,,,,,,,,,,,,,,
FM_10_PVP_Control_Covenant_DummyEvent,TaskGameEvent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FM_10_PVP_Control_Syndicate_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_10_PVP_Control_Syndicate_first,M_ReturnToGiver,,,
FM_10_PVP_Control_Syndicate_first,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_pvp,,,1,,,,,,,,,,,,FM_10_PVP_Control_Syndicate_task,M_task_die_reset,,,
FM_10_PVP_Control_Syndicate_task,PatrolTask,,,,,,,,true,,poi_30036_factionarea,,true,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,@objective_mission_task_patrol_timer,,,,,,,,,,,,,,,,,,,
FM_10_PVP_Control_Syndicate_DummyEvent,TaskGameEvent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FM_10_PVP_Control_Marauder_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_10_PVP_Control_Marauder_first,M_ReturnToGiver,,,
FM_10_PVP_Control_Marauder_first,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_pvp,,,1,,,,,,,,,,,,FM_10_PVP_Control_Marauder_task,M_task_die_reset,,,
FM_10_PVP_Control_Marauder_task,PatrolTask,,,,,,,,true,,poi_30035_factionarea,,true,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,@objective_mission_task_patrol_timer,,,,,,,,,,,,,,,,,,,
FM_10_PVP_Control_Marauder_DummyEvent,TaskGameEvent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
