TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,DiegeticPinZOverride,ShowDiegeticTaskPin,DiegeticTaskPinZPosOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
0719_0101_d_02_04_02_TaskAchievement_GetQuestLorePage_Vehemence,TaskAchievement,,1,,Lore_unlock_07_ShatteredMountain_Title_01_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_vehemencejournal_pruningvine,,9537.896 8896.213 539.701,,,false,,,,,,,,,,,,,,
0719_0101_d_02_container_reflectionsmountainheart_seq2,ConsecutiveTaskContainer,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0719_0101_d_02_01_TaskGoToPOITag_corrupted_fort_weaving_01_40401,0719_0101_d_02_02_container_reflectionsmountainheart_subtask_3,0719_0101_d_01_03_TaskGoToPOITag_corruptedfort,0719_0101_d_01_04_container_reflectionsmountainheart_subtask_2,
0719_0101_d_02_01_TaskGoToPOITag_corrupted_fort_weaving_01_40401,TaskGoToPOITag,,1,,,,,,,,corrupted_fort_weaving_01_40401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_goto_POI_b,,,,,,,,,,,,,,,,,,,
0719_0101_d_02_02_container_reflectionsmountainheart_subtask_3,SimpleTaskContainer,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_subtask_iratus,,,,,,,,,,,,,,,0719_0101_d_02_02_01_container_reflectionsmountainheart_subtask_3_1,0719_0101_d_02_02_02_TaskAchievement_GetQuestLorePage_Iratus,,,
0719_0101_d_02_02_01_container_reflectionsmountainheart_subtask_3_1,ConsecutiveTaskContainer,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0719_0101_d_02_02_01_01_kill_1_Corrupted_corrupted_fort_weaving_01_40401,0719_0101_d_02_02_01_02_TaskHaveAndReturnItems_7_IratusHeartgem,,,
0719_0101_d_02_02_01_01_kill_1_Corrupted_corrupted_fort_weaving_01_40401,TaskKillContribution,,1,1,,,,,,,corrupted_fort_weaving_01_40401,,,,,,,,,,,,,Hewscar,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_kill_determine,,,,,,,,,,,,,,,,,,,
0719_0101_d_02_02_01_02_TaskHaveAndReturnItems_7_IratusHeartgem,TaskHaveAndReturnItems,,1,7,0719_0101_IratusHeartgem,Hewscar,100,,,,corrupted_fort_weaving_01_40401,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_recover_item_from_target_in_POI,,,,,,,,,,,,,,,,,,,
0719_0101_d_02_02_02_TaskAchievement_GetQuestLorePage_Iratus,TaskAchievement,,1,,Lore_unlock_07_ShatteredMountain_Title_01_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_iratusjournal_condensecorruption,,9663.647 8857.465 537.325,,,false,,,,,,,,,,,,,,
0719_0101_d_01_03_TaskGoToPOITag_corruptedfort,TaskGoToPOITag,,1,,,,,,,,corruptedfort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_goto_POI_b,,,,,,,,,,,,,,,,,,,
0719_0101_d_01_04_container_reflectionsmountainheart_subtask_2,SimpleTaskContainer,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_subtask_pullus,,,,,,,,,,,,,,,0719_0101_d_01_04_01_kill_5_Corrupted_corruptedfort_40417,0719_0101_d_01_04_02_TaskAchievement_GetQuestLorePage_Pullus,,,
0719_0101_d_01_04_01_kill_5_Corrupted_corruptedfort_40417,TaskKillContribution,,1,5,,,,,,,corruptedfort,,,,,,,,,,,,,Festerspike,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_kill_determine,,,,,,,,,,,,,,,,,,,
0719_0101_d_01_04_02_TaskAchievement_GetQuestLorePage_Pullus,TaskAchievement,,1,,Lore_unlock_07_ShatteredMountain_Title_01_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_pullusjournal_dualityword,,9905.620 8967.800 562.503,,,false,,,,,,,,,,,,,,
0719_0101_d_01_container_reflectionsmountainheart_seq1,ConsecutiveTaskContainer,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0719_0101_d_01_01_TaskGoToPOITag_corrupted_fort_provisioning_01_40404,0719_0101_d_01_02_container_reflectionsmountainheart_subtask_1,,,
0719_0101_d_01_01_TaskGoToPOITag_corrupted_fort_provisioning_01_40404,TaskGoToPOITag,,1,,,,,,,,corrupted_fort_provisioning_01_40404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_goto_POI_a,,,,,,,,,,,,,,,,,,,
0719_0101_d_01_02_container_reflectionsmountainheart_subtask_1,SimpleTaskContainer,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_subtask_lapsus,,,,,,,,,,,,,,,0719_0101_d_01_02_01_container_reflectionsmountainheart_subtask_1_1,0719_0101_d_01_02_02_TaskAchievement_GetQuestLorePage_Lapsus,,,
0719_0101_d_01_02_01_container_reflectionsmountainheart_subtask_1_1,ConsecutiveTaskContainer,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0719_0101_d_01_02_01_01_kill_1_Corrupted_corrupted_fort_provisioning_01_40404,0719_0101_d_01_02_01_02_TaskHaveAndReturnItems_7_LapsusHeartgem,,,
0719_0101_d_01_02_01_01_kill_1_Corrupted_corrupted_fort_provisioning_01_40404,TaskKillContribution,,1,1,,,,,,,corrupted_fort_provisioning_01_40404,,,,,,,,,,,,,Malevolent,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_kill_determine,,,,,,,,,,,,,,,,,,,
0719_0101_d_01_02_01_02_TaskHaveAndReturnItems_7_LapsusHeartgem,TaskHaveAndReturnItems,,1,7,0719_0101_LapsusHeartgem,Malevolent,100,,,,corrupted_fort_provisioning_01_40404,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_recover_item_from_target_in_POI,,,,,,,,,,,,,,,,,,,
0719_0101_d_01_02_02_TaskAchievement_GetQuestLorePage_Lapsus,TaskAchievement,,1,,Lore_unlock_07_ShatteredMountain_Title_01_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_lapsusjournal_sinisterintent,,10075.865 9148.040 555.222,,,false,,,,,,,,,,,,,,
0713_0101_d_00_container_explorerift,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0713_0101_d_05_01_TaskTriggerArea_IllurminE,0713_0101_d_03_TaskGoToPOITag_rifteast,0713_0101_d_04_container_eastillurmin,0713_0101_d_02_container_westillurmin,0713_0101_d_01_TaskTriggerArea_IllurminA
0713_0101_d_05_01_TaskTriggerArea_IllurminE,TaskTriggerArea,,1,1,,,,,true,,shatteredmountain5,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_07_IllurminE,@0713_0101_explorerift_trigvol_IllurminA,,9683.3633 9022.3525 545.355,,,,,,,,,,,,,,,,,
0713_0101_d_03_TaskGoToPOITag_rifteast,TaskGoToPOITag,,1,,,,,,,,rifteast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0713_0101_explorerift_goto_POI_eastiillurmin,,,,,,,,,,,,,,,,,,,
0713_0101_d_04_container_eastillurmin,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0713_0101_explorerift_container_eastillurmin,,,,,,,,,,,,,,,0713_0101_d_04_01_container_eastillurmin_recon,0713_0101_d_04_02_TaskHaveAndReturnItems_8_demoncharcoal,0713_0101_d_04_03_TaskHaveAndReturnItems_8_hellfireembers,0713_0101_d_04_04_TaskHaveAndReturnItems_2_hellionsparks,
0713_0101_d_04_01_container_eastillurmin_recon,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0713_0101_d_04_01_01_TaskTriggerArea_IllurminD,0713_0101_d_06_01_swap_container,,,
0713_0101_d_04_01_01_TaskTriggerArea_IllurminD,TaskTriggerArea,,1,1,,,,,true,,shatteredmountain5,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_07_IllurminD,@0713_0101_explorerift_trigvol_IllurminBCD,,9758.582 9079.8125 499.378,,,,,,,,,,,,,,,,,
0713_0101_d_06_01_swap_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0713_0101_d_06_02_SwapLinch02_Off,0713_0101_d_06_03_SwapLinch03_On,0713_0101_d_06_04_SwapMeredith02_Off,,
0713_0101_d_06_02_SwapLinch02_Off,TaskLockAchievement,,,1,SwapActive_0713_NoraLinch_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0713_0101_d_06_03_SwapLinch03_On,TaskUnlockAchievement,,,1,SwapActive_0713_NoraLinch_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0713_0101_d_06_04_SwapMeredith02_Off,TaskUnlockAchievement,,,1,SwapActive_0717_YseultMeredith_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0713_0101_d_04_02_TaskHaveAndReturnItems_8_demoncharcoal,TaskHaveAndReturnItems,,1,8,0713_0101_DamonCharcoal,Risen_Corruption_Entity_07SM05b,100,,true,,rifteast,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0713_0101_explorerift_cutdown_target_for_item,,,,,,,,,,,,,,,,,,,
0713_0101_d_04_03_TaskHaveAndReturnItems_8_hellfireembers,TaskHaveAndReturnItems,,1,8,0713_0101_HellfireEmbers,Ghost_Charred_07SM05b,100,,true,,rifteast,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0713_0101_explorerift_defeat_target_for_item,,,,,,,,,,,,,,,,,,,
0713_0101_d_04_04_TaskHaveAndReturnItems_2_hellionsparks,TaskHaveAndReturnItems,,1,2,0713_0101_HellionSparks,Risen_Corruption_Impaler_07SM05b,100,,true,,rifteast,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0713_0101_explorerift_obtain_item_from_target,,,,,,,,,,,,,,,,,,,
0713_0101_d_02_container_westillurmin,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0713_0101_explorerift_container_westillurmin,,,,,,,,,,,,,,,0713_0101_d_02_01_container_westillurmin_recon,0713_0101_d_02_02_TaskHaveAndReturnItems_8_demoncharcoal,0713_0101_d_02_03_TaskHaveAndReturnItems_4_tendrilfibers,0713_0101_d_02_04_TaskHaveAndReturnItems_2_hellionsparks,
0713_0101_d_02_01_container_westillurmin_recon,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0713_0101_d_02_01_02_TaskTriggerArea_IllurminC,0713_0101_d_02_01_01_TaskTriggerArea_IllurminB,,,
0713_0101_d_02_01_02_TaskTriggerArea_IllurminC,TaskTriggerArea,,1,1,,,,,true,,shatteredmountain5,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_07_IllurminC,@0713_0101_explorerift_trigvol_IllurminBCD,,9459.8037 9185.7285 502.9941,,,,,,,,,,,,,,,,,
0713_0101_d_02_01_01_TaskTriggerArea_IllurminB,TaskTriggerArea,,1,1,,,,,true,,shatteredmountain5,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_07_IllurminB,@0713_0101_explorerift_trigvol_IllurminBCD,,9379.9434 9254.8242 501.638,,,,,,,,,,,,,,,,,
0713_0101_d_02_02_TaskHaveAndReturnItems_8_demoncharcoal,TaskHaveAndReturnItems,,1,8,0713_0101_DamonCharcoal,Risen_Corruption_Entity_07SM05b,100,,true,,riftwest,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0713_0101_explorerift_cutdown_target_for_item,,,,,,,,,,,,,,,,,,,
0713_0101_d_02_03_TaskHaveAndReturnItems_4_tendrilfibers,TaskHaveAndReturnItems,,1,4,0713_0101_TendrilFibers,Tendril_Corruption_07SM05b,100,,true,,riftwest,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0713_0101_explorerift_carve_item_from_target,,,,,,,,,,,,,,,,,,,
0713_0101_d_02_04_TaskHaveAndReturnItems_2_hellionsparks,TaskHaveAndReturnItems,,1,2,0713_0101_HellionSparks,Risen_Corruption_Impaler_07SM05b,100,,true,,riftwest,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0713_0101_explorerift_obtain_item_from_target,,,,,,,,,,,,,,,,,,,
0713_0101_d_01_TaskTriggerArea_IllurminA,TaskTriggerArea,,1,1,,,,,true,,shatteredmountain5,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_07_IllurminA,@0713_0101_explorerift_trigvol_IllurminE,,9262.0488 9370.7695 525.2592,,,,,,,,,,,,,,,,,
0717_0101_d_00_container_myrkgardarena,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0717_0101_d_00_container_myrkgardarena_subtask_1,0717_0101_d_01_container_myrkgardarena_subtask_2,,,
0717_0101_d_00_container_myrkgardarena_subtask_1,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0717_0101_subtask_1,,,,,,,,,,,,,,,0717_0101_d_04,0717_0101_d_01,0717_0101_d_03,0717_0101_d_05,0717_0101_d_02
0717_0101_d_04,TaskHaveAndReturnItems,,1,1,MyrkgardKeyFragment4,,,,,,myrkgardsouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0717_0101_d_04,,,,,,,,,,,,,,,,,,,
0717_0101_d_01,TaskHaveAndReturnItems,,1,1,MyrkgardKeyFragment1,,,,,,myrkgardwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0717_0101_d_01,,,,,,,,,,,,,,,,,,,
0717_0101_d_03,TaskHaveAndReturnItems,,1,1,MyrkgardKeyFragment3,,,,,,myrkgardnorth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0717_0101_d_03,,,,,,,,,,,,,,,,,,,
0717_0101_d_05,TaskHaveAndReturnItems,,1,1,MyrkgardKeyFragment5,,,,,,myrkgardnorth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0717_0101_d_05,,,,,,,,,,,,,,,,,,,
0717_0101_d_02,TaskHaveAndReturnItems,,1,1,MyrkgardKeyFragment2,,,,,,myrkgardeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0717_0101_d_02,,,,,,,,,,,,,,,,,,,
0717_0101_d_01_container_myrkgardarena_subtask_2,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0717_0101_subtask_2,,,,,,,,,,,,,,,0717_0101_d_01_subtask2,0717_0101_d_02_subtask2,,,
0717_0101_d_01_subtask2,TaskGoToPOITag,,1,,,,,,,,myrkgardchurch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0717_0101_d_01_subtask2,,,,,,,,,,,,,,,,,,,
0717_0101_d_02_subtask2,TaskHaveAndReturnItems,,1,1,0717_0101_cptthorpe,Damned_LongSwordsman_Commander_Named_07SM06a,100,,true,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0717_0101_d_02_subtask2,,,,,,,,,,,,,,,,,,,
0719_0201_d_00_container_madakisstratagem,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0719_0201_d_01_TaskGoToPOITag_damnedfortress,0719_0201_d_02_TaskHaveAndReturnItems_13_weaponcrucible,0719_0201_d_03_01_SwapMadaki01_Off,0719_0201_d_03_02_SwapMadaki02_On,
0719_0201_d_01_TaskGoToPOITag_damnedfortress,TaskGoToPOITag,,1,,,,,,,,damnedfortress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0201_madakisstratagem_goto_POI,,,,,,,,,,,,,,,,,,,
0719_0201_d_02_TaskHaveAndReturnItems_13_weaponcrucible,TaskHaveAndReturnItems,,1,8,0719_0201_WeaponCrucible,,,100,true,,damnedfortress,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0201_madakisstratagem_search_containers_for_items,,,,,,,,,,,,,,,,,,,
0719_0201_d_03_01_SwapMadaki01_Off,TaskUnlockAchievement,,,1,SwapActive_0719_EintouMadaki_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0719_0201_d_03_02_SwapMadaki02_On,TaskUnlockAchievement,,,1,SwapActive_0719_EintouMadaki_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0721_0101_TF_00_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0721_0101_d_01_container_TF_sub_01,0721_0101_d_01_container_TF_sub_02,,,
0721_0101_d_01_container_TF_sub_01,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0721_0101_d_02_container_TF_questComplete_3,0721_0101_d_02_container_TF_questComplete_4,0721_0101_d_02_container_TF_questComplete_1,0721_0101_d_02_container_TF_questComplete_2,
0721_0101_d_01_container_TF_sub_02,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0721_0101_d_01_container_TF_questPush_1,0721_0101_d_01_container_TF_questComplete_4,0721_0101_d_01_container_TF_questComplete_3,0721_0101_d_01_container_TF_questComplete_2,
0721_0101_d_01_container_TF_questPush_1,TaskObjective,,1,,0721_0102_TF_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0721_0101_d_01_container_TF_questPush_1,,,,,,,,,,,,,,,,,,,
0721_0101_d_01_container_TF_questComplete_2,TaskObjective,,1,,0721_0103_TF_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0721_0101_d_01_container_TF_questComplete_2,,,,,,,,,,,,,,,,,,,
0721_0101_d_01_container_TF_questComplete_3,TaskObjective,,1,,0721_0104_TF_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0721_0101_d_01_container_TF_questComplete_3,,,,,,,,,,,,,,,,,,,
0721_0101_d_01_container_TF_questComplete_4,TaskObjective,,1,,0721_0105_TF_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0721_0101_d_01_container_TF_questComplete_4,,,,,,,,,,,,,,,,,,,
0721_0101_d_02_container_TF_questComplete_1,TaskObjective,,1,,0721_0106_TF_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0721_0101_d_02_container_TF_questComplete_1,,,,,,,,,,,,,,,,,,,
0721_0101_d_02_container_TF_questComplete_2,TaskObjective,,1,,0721_0107_TF_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0721_0101_d_02_container_TF_questComplete_2,,,,,,,,,,,,,,,,,,,
0721_0101_d_02_container_TF_questComplete_3,TaskObjective,,1,,0721_0108_TF_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0721_0101_d_02_container_TF_questComplete_3,,,,,,,,,,,,,,,,,,,
0721_0101_d_02_container_TF_questComplete_4,TaskObjective,,1,,0721_0109_TF_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0721_0101_d_02_container_TF_questComplete_4,,,,,,,,,,,,,,,,,,,
0721_0102_TF_01_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0721_0102_TF_task_01,0721_0102_TF_02_container_tasks,,,
0721_0102_TF_task_01,TaskGoToPOITag,,1,,,,,,,,crater_malevolence_50325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0721_0102_TF_task_01_TaskGoToPOITag,,,,,,,,,,,,,,,,,,,
0721_0102_TF_02_container_tasks,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0721_0102_TF_task_02a,0721_0102_TF_task_02b,,,
0721_0102_TF_task_02a,TaskKillContribution,,1,15,,,,,true,,crater_malevolence_50325,,,,,,,,,,,,,Alcazarian,,,,,,,,,,,,,,,,,,,,@0721_0102_TF_task_02a_TaskKillContribution,,,,,,,,,,,,,,,,,,,
0721_0102_TF_task_02b,TaskHaveAndReturnItems,,1,9,0721_0101_TF_Item1,,,100,true,,crater_malevolence_50325,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0721_0102_TF_task_02b_TaskHaveAndReturnItems,,,,,,,,,,,,,,,,,,,
0721_0103_TF_02_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0721_0103_TF_task_01,0721_0103_TF_task_02,,,
0721_0103_TF_task_01,TaskGoToPOITag,,1,,,,,,,,beastencounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0721_0103_TF_task_01_TaskGoToPOITag,,,,,,,,,,,,,,,,,,,
0721_0103_TF_task_02,TaskHaveAndReturnItems,,1,1,0721_0101_TF_Item2,Corrupted_Ogre_Named_03GC03_ELITE,100,,true,,beastencounter,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0721_0103_TF_task_02_TaskHaveAndReturnItems,,,,,,,,,,,,,,,,,,,
0721_0104_TF_03_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0721_0104_TF_task_01,0721_0104_TF_02_container_tasks,,,
0721_0104_TF_task_01,TaskGoToPOITag,,1,,,,,,,,ancient_shrine_40312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0721_0104_TF_task_01_TaskGoToPOITag,,,,,,,,,,,,,,,,,,,
0721_0104_TF_02_container_tasks,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0721_0104_TF_task_02a,0721_0104_TF_task_02b,,,
0721_0104_TF_task_02a,TaskHaveAndReturnItems,,1,15,0721_0101_TF_Item3,Unhallowed,100,,true,,ancient_shrine_40312,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0721_0104_TF_task_02a_TaskHaveAndReturnItems,,,,,,,,,,,,,,,,,,,
0721_0104_TF_task_02b,TaskHaveAndReturnItems,,1,1,0721_0101_TF_Item4,Dynasty_Summoner_03GC03_Elite,100,,true,,ancient_shrine_40312,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0721_0104_TF_task_02b_TaskHaveAndReturnItems,,8719.00 7696.47 635.17,,,,,,,,,,,,,,,,,
0721_0105_TF_04_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0721_0105_TF_task_01,0721_0105_TF_02_container_tasks,,,
0721_0105_TF_task_01,TaskGoToPOITag,,1,,,,,,,,damnedfortress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0721_0105_TF_task_01_TaskGoToPOITag,,,,,,,,,,,,,,,,,,,
0721_0105_TF_02_container_tasks,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0721_0105_TF_task_02a,0721_0105_TF_task_02b,,,
0721_0105_TF_task_02a,TaskHaveAndReturnItems,,1,20,0721_0101_TF_Item5,Upper_Svikin,100,,true,,damnedfortress,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0721_0105_TF_task_02a_TaskHaveAndReturnItems,,,,,,,,,,,,,,,,,,,
0721_0105_TF_task_02b,TaskHaveAndReturnItems,,1,1,0721_0101_TF_Item6,Corruption_Heavy_Named_07SM04_ELITE,100,,true,,damnedfortress,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0721_0105_TF_task_02b_TaskHaveAndReturnItems,,9513.349 8496.910 455.545,,,,,,,,,,,,,,,,,
0721_0106_TF_05_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0721_0106_TF_task_01,0721_0106_TF_02_container_tasks,,,
0721_0106_TF_task_01,TaskGoToPOITag,,1,,,,,,,,ancient_lighthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0721_0106_TF_task_01_TaskGoToPOITag,,,,,,,,,,,,,,,,,,,
0721_0106_TF_02_container_tasks,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0721_0106_TF_task_02a,0721_0106_TF_task_02b,,,
0721_0106_TF_task_02a,TaskKillContribution,,1,20,,,,,true,,ancient_lighthouse,,,,,,,,,,,,,Eridanite,,,,,,,,,,,,,,,,,,,,@0721_0106_TF_task_02a_TaskKillContribution,,,,,,,,,,,,,,,,,,,
0721_0106_TF_task_02b,TaskHaveAndReturnItems,,1,5,0721_0101_TF_Item7,Dryad_Soldier,45,,true,,ancient_lighthouse,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0721_0106_TF_task_02b_TaskHaveAndReturnItems,,,,,,,,,,,,,,,,,,,
