TaskID,Type,FailOnCondition,ResetOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,ShouldCheckPoints,LootTag,PauseAndClearLootOnTaskComplete,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,OverrideLocation,IsHidden,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
task_craftforartificer_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_introtosurvivalist_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_campingskills_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_returntomagistrate_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_magistratequest_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_introtomarauders_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_marauderquest1_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_marauderquest2_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_introtosyndicate_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_syndicatequest1_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_syndicatequest2_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_introtocovenant_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_covenantquest1_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_covenantquest2_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_staff_final_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_corruption_resistance_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_xmarksthespot_p1_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_xmarksthespot_p2_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_xmarksthespot_p3_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_have_npc_note,TaskHaveAndReturnItems,,,1,1,MI_SummonsNote,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@objective_mission_task_transport_item,,1,,,,,,,,,,
task_give_transport_npc_note,TaskGiveAndTakeItem,,,1,1,MI_SummonsNote,,,100,true,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_transport_item,,1,,,,,,,,,,
FM_task_kill_X_enemies_container_location,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_kill_X_enemies_at_mission_location,M_ReturnToGiver,,,
FM_task_kill_X_enemies_at_mission_location,TaskKillContribution,,,,1,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic,,,,,,,,,,,,
FM_task_Doubloon_X_times_POITag_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_Doubloon_X_times_at_mission_location,M_ReturnToGiver,,,
FM_task_Doubloon_X_times_at_mission_location,TaskGameEvent,,,1,5,,,,,true,,,,,,,,,,,,,,DoubloonChestPvP_GatherEvent,,,,,,,,,,,,,,,,,,1,,@objective_mission_doubloon_generic,,,,,,,,,,,,
FM_task_Doubloon_low_X_times_POITag_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_Doubloon_low_X_times_at_mission_location,M_ReturnToGiver,,,
FM_task_Doubloon_low_X_times_at_mission_location,TaskGameEvent,,,1,3,,,,,true,,,,,,,,,,,,,,DoubloonChestPvP_GatherEvent,,,,,,,,,,,,,,,,,,1,,@objective_mission_doubloon_generic,,,,,,,,,,,,
FM_task_acquire_X_items_POITag_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_acquire_X_items_at_mission_location,M_ReturnToGiver,,,
FM_task_acquire_X_items_at_mission_location,TaskHaveAndReturnItems,,,1,1,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@objective_mission_loot_chests_generic,,,,,,,,,,,,
FM_task_hunt_X_enemies_for_items_location_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_hunt_X_enemies_container,M_ReturnToGiver,,,
FM_task_hunt_X_enemies_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,FM_task_hunt_X_fake_killtracker,FM_task_hunt_X_items_missions_location,,,
FM_task_hunt_X_items_missions_location,TaskGatherAndReturnItems,,,1,1,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@objective_mission_skin_generic,,,,,,,,,,,,
FM_task_hunt_X_fake_killtracker,TaskKillContribution,,,1,1,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_hunt_generic,,,,,,,,,,,,
FM_task_hunt_X_enemies_for_items_anywhere_container,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_hunt_X_enemies_anywhere_container,M_ReturnToGiver,,,
FM_task_hunt_X_enemies_anywhere_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,FM_task_hunt_X_fake_killtracker_anywhere,FM_task_hunt_X_items_missions_anywhere,,,
FM_task_hunt_X_items_missions_anywhere,TaskGatherAndReturnItems,,,1,1,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@objective_mission_skin_generic,,,,,,,,,,,,
FM_task_hunt_X_fake_killtracker_anywhere,TaskKillContribution,,,1,1,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_hunt_generic,,,,,,,,,,,,
FM_task_hunt_X_enemies_for_lootdrop_location_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_hunt_X_enemies_lootdrop_container,M_ReturnToGiver,,,
FM_task_hunt_X_enemies_lootdrop_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,FM_task_hunt_X_fake_lootdrop_killtracker,FM_task_hunt_X_items_missions_lootdrop_location,,,
FM_task_hunt_X_items_missions_lootdrop_location,TaskHaveAndReturnItems,,,1,1,,,,,true,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@objective_mission_task_kill_have_X_items,,,,,,,,,,,,
FM_task_hunt_X_fake_lootdrop_killtracker,TaskKillContribution,,,1,1,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_hunt_generic,,,,,,,,,,,,
FM_task_PVP_kill_and_acquire_X_items_anywhere_container,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_PVP_kill_and_acquire_X_items_first,M_ReturnToGiver,,,
FM_task_PVP_kill_and_acquire_X_items_first,SimpleTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_pvp,,1,,,,,,FM_task_PVP_kill_and_acquire_X_items_anywhere,,,,
FM_task_PVP_kill_and_acquire_X_items_anywhere,TaskHaveAndReturnItems,,,1,1,,,,,false,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@objective_mission_task_PVP_kill_and_acquire_X_items_anywhere,,,,,,,,,,,,
FM_task_PVP_kill_and_acquire_X_items_DummyTask,TaskGameEvent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FM_task_PVP_loot_chests_at_POI_container,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_PVP_loot_chests_at_POI_first,M_ReturnToGiver,,,
FM_task_PVP_loot_chests_at_POI_first,SimpleTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_pvp,,1,,,,,,FM_task_PVP_loot_chests_at_POI,M_task_die_reset,,,
FM_task_PVP_loot_chests_at_POI,TaskGatherAndReturnItems,,,1,5,MI_SummonsNote,FM_PVP_War_Camp_Loot_Box,100,,true,,,,,,true,,,,,IO_FM_PVP_War_Camp_Loot_Box,,,,,,,,,,,,,,,,,,,,,1,,@objective_mission_loot_chests_at_Warcamp,,,,,,,,,,,,
FM_task_PVP_loot_chests_at_POI_DummyTask,TaskGameEvent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FM_task_PVP_control_point_container,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_PVP_control_point_first,M_ReturnToGiver,,,
FM_task_PVP_control_point_first,SimpleTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_pvp,,1,,,,,,FM_task_PVP_control_point,M_task_die_reset,,,
FM_task_PVP_control_point,TaskControlPoint,,,,1,,,,,false,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_control_point,,,,,,,,,,,,
FM_task_PVP_control_point_DummyTask,TaskGameEvent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FM_task_PVP_control_point_container_S,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_PVP_control_point_first_S,M_ReturnToGiver,,,
FM_task_PVP_control_point_first_S,SimpleTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_pvp,,1,,,,,,FM_task_PVP_control_point_S,M_task_die_reset,,,
FM_task_PVP_control_point_S,TaskControlPoint,,,,1,,,,,false,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_control_point_S,,,,,,,,,,,,
FM_task_PVP_control_point_S_DummyTask,TaskGameEvent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FM_task_PVP_control_point_container_C,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_PVP_control_point_first_C,M_ReturnToGiver,,,
FM_task_PVP_control_point_first_C,SimpleTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_pvp,,1,,,,,,FM_task_PVP_control_point_C,M_task_die_reset,,,
FM_task_PVP_control_point_C,TaskControlPoint,,,,1,,,,,false,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_control_point_C,,,,,,,,,,,,
FM_task_PVP_control_point_C_DummyTask,TaskGameEvent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FM_task_PVP_acquire_items_at_POI_container,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_PVP_acquire_items_at_POI_first,M_ReturnToGiver,,,
FM_task_PVP_acquire_items_at_POI_first,SimpleTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_pvp,,1,,,,,,FM_task_PVP_acquire_items_at_POI,M_task_die_reset,,,
FM_task_PVP_acquire_items_at_POI,TaskHaveAndReturnItems,,,1,5,,,,,true,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@objective_mission_loot_chests_generic_at_POI,,,,,,,,,,,,
FM_task_PVP_acquire_items_at_POI_DummyTask,TaskGameEvent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FM_task_kill_x_enemies_with_weapon_sword_container,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_kill_x_enemies_with_weapon_sword,M_ReturnToGiver,,,
FM_task_kill_x_enemies_with_weapon_sword,TaskKillContribution,,,,1,,,,,false,,,,,,,,,,,,,,,SwordAbilityTable,,,,,,,,,,,,,,,,,,,@objective_mission_kill_with_sword,,,,,,,,,,,,
FM_task_kill_x_enemies_with_weapon_rapier_container,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_kill_x_enemies_with_weapon_rapier,M_ReturnToGiver,,,
FM_task_kill_x_enemies_with_weapon_rapier,TaskKillContribution,,,,1,,,,,false,,,,,,,,,,,,,,,RapierAbilityTable,,,,,,,,,,,,,,,,,,,@objective_mission_kill_with_rapier,,,,,,,,,,,,
FM_task_kill_x_enemies_with_weapon_hatchet_container,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_kill_x_enemies_with_weapon_hatchet,M_ReturnToGiver,,,
FM_task_kill_x_enemies_with_weapon_hatchet,TaskKillContribution,,,,1,,,,,false,,,,,,,,,,,,,,,HatchetAbilityTable,,,,,,,,,,,,,,,,,,,@objective_mission_kill_with_hatchet,,,,,,,,,,,,
FM_task_kill_x_enemies_with_weapon_greataxe_container,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_kill_x_enemies_with_weapon_greataxe,M_ReturnToGiver,,,
FM_task_kill_x_enemies_with_weapon_greataxe,TaskKillContribution,,,,1,,,,,false,,,,,,,,,,,,,,,GreatAxeAbilityTable,,,,,,,,,,,,,,,,,,,@objective_mission_kill_with_greataxe,,,,,,,,,,,,
FM_task_kill_x_enemies_with_weapon_warhammer_container,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_kill_x_enemies_with_weapon_warhammer,M_ReturnToGiver,,,
FM_task_kill_x_enemies_with_weapon_warhammer,TaskKillContribution,,,,1,,,,,false,,,,,,,,,,,,,,,WarHammerAbilityTable,,,,,,,,,,,,,,,,,,,@objective_mission_kill_with_warhammer,,,,,,,,,,,,
FM_task_kill_x_enemies_with_weapon_spear_container,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_kill_x_enemies_with_weapon_spear,M_ReturnToGiver,,,
FM_task_kill_x_enemies_with_weapon_spear,TaskKillContribution,,,,1,,,,,false,,,,,,,,,,,,,,,SpearAbilityTable,,,,,,,,,,,,,,,,,,,@objective_mission_kill_with_spear,,,,,,,,,,,,
FM_task_kill_x_enemies_with_weapon_bow_container,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_kill_x_enemies_with_weapon_bow,M_ReturnToGiver,,,
FM_task_kill_x_enemies_with_weapon_bow,TaskKillContribution,,,,1,,,,,false,,,,,,,,,,,,,,,BowAbilityTable,,,,,,,,,,,,,,,,,,,@objective_mission_kill_with_bow,,,,,,,,,,,,
FM_task_kill_x_enemies_with_weapon_musket_container,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_kill_x_enemies_with_weapon_musket,M_ReturnToGiver,,,
FM_task_kill_x_enemies_with_weapon_musket,TaskKillContribution,,,,1,,,,,false,,,,,,,,,,,,,,,MusketAbilityTable,,,,,,,,,,,,,,,,,,,@objective_mission_kill_with_musket,,,,,,,,,,,,
FM_task_kill_x_enemies_with_weapon_firestaff_container,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_kill_x_enemies_with_weapon_firestaff,M_ReturnToGiver,,,
FM_task_kill_x_enemies_with_weapon_firestaff,TaskKillContribution,,,,1,,,,,false,,,,,,,,,,,,,,,FireMagicAbilityTable,,,,,,,,,,,,,,,,,,,@objective_mission_kill_with_firestaff,,,,,,,,,,,,
FM_task_kill_x_enemies_with_weapon_lifestaff_container,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_kill_x_enemies_with_weapon_lifestaff,M_ReturnToGiver,,,
FM_task_kill_x_enemies_with_weapon_lifestaff,TaskKillContribution,,,,1,,,,,false,,,,,,,,,,,,,,,LifeMagicAbilityTable,,,,,,,,,,,,,,,,,,,@objective_mission_kill_with_lifestaff,,,,,,,,,,,,
FM_task_kill_x_enemies_with_weapon_icegauntlet_container,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_kill_x_enemies_with_weapon_icegauntlet,M_ReturnToGiver,,,
FM_task_kill_x_enemies_with_weapon_icegauntlet,TaskKillContribution,,,,1,,,,,false,,,,,,,,,,,,,,,IceMagicAbilityTable,,,,,,,,,,,,,,,,,,,@objective_mission_kill_with_icegauntlet,,,,,,,,,,,,
FM_task_corruption_breach_container,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_corruption_breach,M_ReturnToAnyGiver,,,
FM_task_corruption_breach,TaskGameEvent,,,,1,,,,,false,,,,,,,,,,,,,,Darkness_Any_GlobalSuccess,,,,,,,,,,,,,,,,,,,,@objective_mission_faction_corruption_breach,,,,,,,,,,,,
FM_task_rescuenpc_container,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_task_rescuenpc_generic_01,M_ReturnToAnyGiver,,,
FM_task_rescuenpc_generic_01,TaskInteract,,,,3,,,,,false,,,,,,,,,,,IO_Generic_Hostage_Quest,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_rescue_npc_generic,,,,,,,,,,,,
Task_Container_Artifact_Set1_HeavyHead,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,Task_ContainerEquip_Artifact_Set1_HeavyHead,Task_Craft_Artifact_Set1_HeavyHead,,,
Task_ContainerEquip_Artifact_Set1_HeavyHead,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Objective_Artifact_Desc,,,,,,,true,Task_Equip_Artifact_Set1_HeavyHead,Task_ContainerPerks_Artifact_Set1_HeavyHead,,,
Task_Equip_Artifact_Set1_HeavyHead,TaskEquipItem,,,1,1,Artifact_Set1_HeavyHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_equip,,,,,,,true,,,,,
Task_ContainerPerks_Artifact_Set1_HeavyHead,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Objective_Artifact_PerkTasks,,1,,,,,true,Task_Perk1_Artifact_Set1_HeavyHead,Task_Perk2_Artifact_Set1_HeavyHead,Task_Perk3_Artifact_Set1_HeavyHead,,
Task_Perk1_Artifact_Set1_HeavyHead,TaskKillContribution,,,,20,,,,,,,,OutpostRush,true,,,,,,,,,,Player,,,,,,,,,,,,,,,,,,,,@Objective_Kill_OPR,,,,,,,true,,,,,
Task_Perk2_Artifact_Set1_HeavyHead,TaskKillContribution,,,,20,,,,,,,,Arena3v3,true,,,,,,,,,,Player,,,,,,,,,,,,,,,,,,,,@Objective_Kill_Arena,,,,,,,true,,,,,
Task_Perk3_Artifact_Set1_HeavyHead,TaskKillContribution,,,,35,,,,,,,,,true,,,,,,,,,,Player,,,,,,,,,,,,,,,,,,,,@Objective_Kill_OpenWorld,,,,,,,true,,,,,
Task_Craft_Artifact_Set1_HeavyHead,TaskAchievement,,,1,,FC_Artifact_Set1_HeavyHead || FC_Artifact_Set1_HeavyHead_GS725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Objective_CraftArtifact,,,,,,,true,,,,,
Task_Container_Artifact_Set1_HeavyChest,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,Task_ContainerEquip_Artifact_Set1_HeavyChest,Task_Craft_Artifact_Set1_HeavyChest,,,
Task_ContainerEquip_Artifact_Set1_HeavyChest,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Objective_Artifact_Desc,,,,,,,true,Task_Equip_Artifact_Set1_HeavyChest,Task_ContainerPerks_Artifact_Set1_HeavyChest,,,
Task_Equip_Artifact_Set1_HeavyChest,TaskEquipItem,,,1,1,Artifact_Set1_HeavyChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_equip,,,,,,,true,,,,,
Task_ContainerPerks_Artifact_Set1_HeavyChest,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Objective_Artifact_PerkTasks,,1,,,,,true,Task_Perk1_Artifact_Set1_HeavyChest,Task_Perk2_Artifact_Set1_HeavyChest,Task_Perk3_Artifact_Set1_HeavyChest,,
Task_Perk1_Artifact_Set1_HeavyChest,TaskKillContribution,,,,1,,,,,,,,DungeonShatterMtn00,,,,,,,,,,,Isabella_DG_ShatterMtn_Phase2_00,,,,,,,,,,,,,,,,,,,,@Objective_Kill_Tempest,,,,,,,true,,,,,
Task_Perk2_Artifact_Set1_HeavyChest,TaskKillContribution,,,,5,,,,,true,,ancient_bridge_40053,,,,,,,,,,,,Ancient,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,true,,,,,
Task_Perk3_Artifact_Set1_HeavyChest,TaskKillContribution,,,,30,,,,,true,9,,,,,,,,,,,,,Armored_Dragon,,,,,,,,,,,,,,,,,,,,@Objective_Kill_in_FL,,,,,,,true,,,,,
Task_Craft_Artifact_Set1_HeavyChest,TaskAchievement,,,1,,FC_Artifact_Set1_HeavyChest || FC_Artifact_Set1_HeavyChest_GS725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Objective_CraftArtifact,,,,,,,true,,,,,
Task_Container_Artifact_Set1_HeavyHands,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,Task_ContainerEquip_Artifact_Set1_HeavyHands,Task_Craft_Artifact_Set1_HeavyHands,,,
Task_ContainerEquip_Artifact_Set1_HeavyHands,ConsecutiveTaskContainer,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Objective_Artifact_Desc,,,,,,,true,Task_Equip_Artifact_Set1_HeavyHands,Task_ContainerPerks_Artifact_Set1_HeavyHands,,,
Task_Equip_Artifact_Set1_HeavyHands,TaskEquipItem,,,1,1,Artifact_Set1_HeavyHands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_equip,,,,,,,true,,,,,
Task_ContainerPerks_Artifact_Set1_HeavyHands,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Objective_Artifact_PerkTasks,,1,,,,,true,Task_Perk1_Artifact_Set1_HeavyHands,Task_Perk2_Artifact_Set1_HeavyHands,Task_Perk3_Artifact_Set1_HeavyHands,,
Task_Perk1_Artifact_Set1_HeavyHands,TaskKillContribution,,,,30,,,,,true,,beastlands_40064,,,,,,,,,,,,Beast,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,true,,,,,
Task_Perk2_Artifact_Set1_HeavyHands,TaskKillContribution,,,,30,,,,,true,,abandoned_village_40044,,,,,,,,,,,,AngryEarth,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,true,,,,,
Task_Perk3_Artifact_Set1_HeavyHands,TaskKillContribution,,,,30,,,,,true,,,DungeonReekwater00,,,,,,,,,,,Ancient,,,,,,,,,,,,,,,,,,,,@Objective_Kill_Lazarus,,,,,,,true,,,,,
Task_Craft_Artifact_Set1_HeavyHands,TaskAchievement,,,1,,FC_Artifact_Set1_HeavyHands || FC_Artifact_Set1_HeavyHands_GS725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Objective_CraftArtifact,,,,,,,true,,,,,
