GatherableID,DisplayName,GatheringAction,GatheringType,IdleFragment,GatheringFragment,FinalLootTable,LootTableDefaultMaterial,MinRespawnRate,MaxRespawnRate,Tradeskill,RequiredTradeskillLevel,ExpansionIdUnlock,DepletedGatherableID,BaseGatherTime,WaitForImpact,Restriction,AlignGatherer,GameEventID,ItemRestrictionId,ItemRestrictionQuantity,RequiredSongId,SongRewardId,ResetGatherTimeOnEndInteraction,IsLootContainer,IsElite,IsDynamicPoiTarget,RequireLootItems,IconTypeUnlock,IconTypeUnlockImagePath,IgnoreAllObstructions,ObstructBuildables,RequireControllingFaction,AddedStatusEffect,RequiredStatusEffect,ConsumedStatusEffect,NumRequiredToGather,UsableEmoteTags,RequirementDescription,DisplayDescription,IsLandmark,TooltipImage,LandmarkIconPath,RequiredWhisperId
Dunwood_LostMemory_94,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_94,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_95,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_95,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_96,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_96,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_97,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_97,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_98,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_98,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_99,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_99,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_100,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_100,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_OpenEpicDoor,@17DW_WoodDoubleDoor_DisplayName,None,None,,Emote_KneelingPraise,Empty,,30,30,None,,,,7,,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,,,,,,,,,,
Dunwood_DigGrave,@17DW_Dig_DisplayName,None,None,,Emote_DigGrave_PlayerOnly,Empty,,3,3,None,,,,7,,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,,,,,,,,,,
Dunwood_FistBump,@Raid_CutlassKeys00_SplitSwitch_DisplayName,None,None,,Emote_FistBump,Empty,,3,3,None,,,,1,,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,,,,,,,,,,
Dunwood_HighFive,@17DW_Button_DisplayName,None,None,,Emote_HighFive,Empty,,3,3,None,,,,0.5,,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,,,,,,,,,,
Dunwood_LoudPoint,@17DW_Button_DisplayName,None,None,,Emote_LoudPoint,Empty,,3,3,None,,,,0.5,,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,,,,,,,,,,
Dunwood_SpyGlass,@RE_Spyglass_Vista_DisplayName,None,None,,Emote_SpyGlass,Empty,,3,3,None,,,,1,,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,,,,,,,,,,
Dunwood_LockedDoor,@InactivePressureplate,Handcrafting,None,,,Empty,,3,3,None,,,,0.3,,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,,,,,,,,,,
Varlaam_Device,@VarlaamDeviceGather_Displayname,None,None,,,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,Werewolf_Lord_Trial1_RepairStatus,Werewolf_Lord_Trial1_RepairStatus,,,,,,,,
17DW_IronGate,@17DW_IronGate_DisplayName,Handcrafting,None,,,Empty,,5,5,None,,,,1,false,NoToolNecessary,false,17DW_IronGate_interact,,,,,true,false,,,,,,,,,,,,,,,,,,,
17DW_WoodDoubleDoor,@17DW_WoodDoubleDoor_DisplayName,Handcrafting,None,,,Empty,,15,15,None,,,,1,false,NoToolNecessary,false,17DW_WoodDoubleDoor_interact,,,,,true,false,,,,,,,,,,,,,,,,,,,
17DW_DoorLarge,@17DW_WoodDoubleDoor_DisplayName,Handcrafting,None,,,Empty,,25,25,None,,,,1,false,NoToolNecessary,false,17DW_DoorLarge_interact,,,,,true,false,,,,,,,,,,,,,,,,,,,
17DW_WoodDoubleDoor_Small_Kick,@17DW_Kick_DisplayName,Kicking,None,,,Empty,,15,15,None,,,,0.25,false,NoToolNecessary,false,17DW_WoodDoubleDoor_Small_Kick_interact,,,,,true,false,,,,,,,,,,,,,,,,,,,
17DW_WoodDoubleDoor_Small,@17DW_WoodDoubleDoor_DisplayName,Handcrafting,None,,,Empty,,15,15,None,,,,0.25,false,NoToolNecessary,false,17DW_WoodDoubleDoor_Small_interact,,,,,true,false,,,,,,,,,,,,,,,,,,,
DyePlantBlackWhite,@DyePlantBlackWhite_DisplayName,Cutting,Cutting,,,DyePlantBlackWhite,,900,1800,Harvesting,250,,,12,false,ToolRequired,false,Gather_HarvestingT1,,,,,,,,,,Pigment,lyshineui/images/tradeskills/tradeskill_Pigment.png,,true,,,,,,,,,,,,
AppleSmall,@AppleSmall_DisplayName,None,None,,,Apple_Small,,630,900,None,0,,,1.5,false,NoToolNecessary,false,,,,,,,false,,,,,,,,,,,,,,,,,,,
AppleTreeSmall,@AppleTreeSmall_DisplayName,Chopping,Chopping,,,AppleTreeMedium,,630,900,Logging,205,,,25,true,ToolRequired,true,Gather_LoggingT3,,,,,,false,,,,,,,,,,,,,,,,,,,
GraveDirt,@GraveDirt_DisplayName,None,None,,Emote_DigGrave_PlayerOnly,GraveDirt_Small,,630,900,None,,,,5.5,false,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,,,,,,,,,,
Dunwood_PushButton,@17DW_PushButton_DisplayName,Handcrafting,None,,,Empty,,3,3,None,,,,0.5,,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,,,,,,,,,,
Dunwood_Push,@17DW_PushButton_DisplayName,None,None,,Emote_HighFive,Empty,,3,3,None,,,,0.5,,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,,,,,,,,,,
Dunwood_CannonBall,@Dungeon_CutlassKeys00_CannonBall,None,None,,,,,3,3,None,,,,0.5,false,NoToolNecessary,true,,,,,,true,false,,,,,,,,,Dungeon_AdmiralCannonBall,,,,,,,,,,
Dunwood_CannonBall_Deposit,@17DW_CannonballPlace_DisplayName,None,None,,,,,3,3,None,,,,0.5,false,NoToolNecessary,true,,,,,,true,false,,,,,,,,,,Dungeon_AdmiralCannonBall,Dungeon_AdmiralCannonBall,,,,,,,,
Dunwood_AzothFlame,@PurifyingFlame,AzothStaffLow,AzothStaff,,,,,3,3,AzothStaff,,,,4,false,ItemRequired,true,,,,,,true,false,,,,,,,,,AzothStaffFlameCarry,,,,,,,,,,
Dunwood_AzothFlameDeposit,@DungeonDepositPurifyingFlame,AzothStaffLow,AzothStaff,,,,,3,3,AzothStaff,,,,4,false,ItemRequired,true,,,,,,true,false,,,,,,,,,,AzothStaffFlameCarry,AzothStaffFlameCarry,,,,,,,,
Dunwood_AzothFlameDepositHigh,@DungeonDepositPurifyingFlame,AzothStaffHigh,AzothStaff,,,,,3,3,AzothStaff,,,,4,false,ItemRequired,true,,,,,,true,false,,,,,,,,,,AzothStaffFlameCarry,AzothStaffFlameCarry,,,,,,,,
Dunwood_AzothBarrier,@99E_MSQ_10_ActivateShield_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,180,180,AzothStaff,1,,,0.25,false,ItemRequired,true,,,,,,false,false,,,,,,,,,Dungeon_ArcaneBarrierProtection,,,,,,,,,,
Dunwood_AzothBarrierDeposit,@17DW_AzothShieldPlace_DisplayName,AzothStaffLow,AzothStaff,,,,,3,3,AzothStaff,,,,4,false,ItemRequired,true,,,,,,true,false,,,,,,,,,,Dungeon_ArcaneBarrierProtection,Dungeon_ArcaneBarrierProtection,,,,,,,,
Dunwood_Underworld_Gate_Alert,@17DW_Underworld_Gate_Alert,None,None,,,,,3,3,None,,,,0.1,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Gate_Achievement_01,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Gate_Unlocked_01,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Gate_Achievement_02,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Gate_Unlocked_02,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Gate_Achievement_03,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Gate_Unlocked_03,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Gate_Achievement_04,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Gate_Unlocked_04,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Gate_Achievement_05,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Gate_Unlocked_05,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Gate_Achievement_06,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Gate_Unlocked_06,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Gate_Achievement_07,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Gate_Unlocked_07,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Gate_Achievement_08,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Gate_Unlocked_08,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Gate_Achievement_09,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Gate_Unlocked_09,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Gate_Achievement_10,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Gate_Unlocked_10,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Gate_Achievement_11,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Gate_Unlocked_11,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Gate_Achievement_12,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Gate_Unlocked_12,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Coins_Achievement_01,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Coin_Recollect_01,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Coins_Achievement_02,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Coin_Recollect_02,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Coins_Achievement_03,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Coin_Recollect_03,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Coins_Achievement_04,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Coin_Recollect_04,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Coins_Achievement_05,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Coin_Recollect_05,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Coins_Achievement_06,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Coin_Recollect_06,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Coins_Achievement_07,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Coin_Recollect_07,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Coins_Achievement_08,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Coin_Recollect_08,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Coins_Achievement_09,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Coin_Recollect_09,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Coins_Achievement_10,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Coin_Recollect_10,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Coins_Achievement_11,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Coin_Recollect_11,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Coins_Achievement_12,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Coin_Recollect_12,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Coins_Achievement_13,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Coin_Recollect_13,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Coins_Achievement_14,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Coin_Recollect_14,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Coins_Achievement_15,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Coin_Recollect_15,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Coins_Achievement_16,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Coin_Recollect_16,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Coins_Achievement_17,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Coin_Recollect_17,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Coins_Achievement_18,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Coin_Recollect_18,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Coins_Achievement_19,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Coin_Recollect_19,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_Underworld_Coins_Achievement_20,@17DW_Underworld_Gate_Achievement,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.1,false,NoToolNecessary,false,17DW_Underworld_Coin_Recollect_20,,,,,true,true,,,,,,,,,,,,,,,,,,,
CesspoolSmall,@Cesspool_DisplayName,Welling,None,,,CesspoolSmall,,504,720,None,0,,,3,false,NoToolNecessary,false,,,,,,,false,,,,Oil,lyshineui/images/tradeskills/tradeskill_Oil.png,,true,,,,,,,,,,,,
CesspoolMedium,@Cesspool_DisplayName,Welling,None,,,CesspoolMedium,,630,900,None,0,,,5,false,NoToolNecessary,false,,,,,,,false,,,,Oil,lyshineui/images/tradeskills/tradeskill_Oil.png,,true,,,,,,,,,,,,
CesspoolLarge,@Cesspool_DisplayName,Welling,None,,,CesspoolLarge,,714,1020,None,0,,,7,false,NoToolNecessary,false,,,,,,,false,,,,Oil,lyshineui/images/tradeskills/tradeskill_Oil.png,,true,,,,,,,,,,,,
Wormwood,@Wormwood_DisplayName,ChoppingVertical,Chopping,,,TreeWormwood,,1680,2400,Logging,1,,,15,true,ToolRequired,true,,,,,,,false,,,,,,,,,,,,,,,,,,,
Sorrowthorn,@Sorrowthorn_DisplayName,ChoppingVertical,Chopping,,,Sorrowthorn_Small,,714,1020,Logging,205,,,2,false,ToolRequired,false,Gather_LoggingT3,,,,,,false,,,,,,,,,,,,,,,,,,,
Sunflower,@Sunflower_DisplayName,Cutting,Cutting,,,SunflowerPlant,,900,1800,Harvesting,0,,,2,false,ToolRequired,false,Gather_HarvestingT3,,,,,,false,,,,,,,,,,,,,,,,,,,
OreVeinPureStarmetalSmall,@PureStarmetal_DisplayName,Mining,Mining,,,PureStarmetalOreVeinFinishSmall,,504,720,Mining,250,,,70,true,ToolRequired,true,Gather_MiningT10,,,,,,false,,,,Starmetal,lyshineui/images/tradeskills/tradeskill_Starmetal.png,,true,,,,,,,,,,,,
OreVeinPureStarmetalMedium,@PureStarmetal_DisplayName,Mining,Mining,,,PureStarmetalOreVeinFinishMedium,,630,900,Mining,250,,,95,true,ToolRequired,true,Gather_MiningT11,,,,,,false,,,,Starmetal,lyshineui/images/tradeskills/tradeskill_Starmetal.png,,true,,,,,,,,,,,,
OreVeinPureStarmetalLarge,@PureStarmetal_DisplayName,Mining,Mining,,,PureStarmetalOreVeinFinishLarge,,714,1020,Mining,250,,,120,true,ToolRequired,true,Gather_MiningT12,,,,,,false,,,,Starmetal,lyshineui/images/tradeskills/tradeskill_Starmetal.png,,true,,,,,,,,,,,,
Dunwood_OpenDoubleDoor,@17DW_WoodDoubleDoor_DisplayName,Handcrafting,None,,,Empty,,30,30,None,,,,3,,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,,,,,,,,,,
Dunwood_AncientBattery_Disable,@AncientBattery_Disable_DisplayName,Handcrafting,None,,,Empty,,3,3,None,,,,5,,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,,,,,,,,,,
MSQ_18018_WerebearChest,@LootContainer_DisplayName_Large,LootContainer,None,,,Empty,,0,0,None,,,,5,false,NoToolNecessary,true,MSQ_18018_WerebearChest_interact,,,,,true,true,,true,,,,,,,,,,,,,,,,,
Dunwood_Ritual_Purify,@RescueHostage_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,3,3,AzothStaff,,,,3,,NoToolNecessary,true,,,,,,true,false,,,,,,,,,,,,,,,,,,,
Dunwood_Emote_Dance,@SummerMedley_Village_Dancefloor_DisplayName,None,None,,,Empty,,3,3,None,,,,8,false,EmoteRequired,false,,,,,,,,,,,,,,,,,,,,dance,,@SummerMedley_Village_Dancefloor_Description,,,,
Pumpkin_Large,@PumpkinPatch_DisplayName,Cutting,Cutting,,,PumpkinPlant_Large,,900,1800,Harvesting,0,,,12,false,ToolRequired,false,Gather_HarvestingT1,,,,,,false,,,,,,,true,,,,,,,,,,,,
Pumpkin_Small,@PumpkinT5_DisplayName,Cutting,Cutting,,,PumpkinPlant_Small,,7560,10800,Harvesting,0,,,24,false,ToolRequired,false,Gather_HarvestingT3,,,,,,false,,,,,,,true,,,,,,,,,,,,
Spider_Cocoon_SmallT3,@Spider_Cocoon_SmallT3_DisplayName,Cutting,Cutting,,,Spider_Cocoon_SmallT3,,0,0,None,,,,5,false,NoToolNecessary,false,,,,,,,true,,true,,,,,,,,,,,,,,,,,
Spider_Cocoon_LargeT3,@Spider_Cocoon_LargeT3_DisplayName,Cutting,Cutting,,,Spider_Cocoon_LargeT3,,0,0,None,,,,10,false,NoToolNecessary,false,,,,,,,true,,true,,,,,,,,,,,,,,,,,
SeraphBrazier,@SeraphBrazier_DisplayName,Handcrafting,None,,,Empty,,10800,10800,None,,,,2,false,NoToolNecessary,false,,,,,,,false,,,,,,,,,,,,,,,,,,,
17DW_MemoryFragment_LootContainer,@LootContainer_MemoryFragment_DisplayName,AzothStaffHigh,None,,,Memory_Fragment_Chest,,24,24,None,0,,,10,false,NoToolNecessary,false,17DW_MemoryFragment_ChestGE,,,,,,true,,,,,,,,,,,,,,,,,,,
