GatherableID,DisplayName,GatheringAction,GatheringType,IdleFragment,GatheringFragment,FinalLootTable,LootTableDefaultMaterial,MinRespawnRate,MaxRespawnRate,Tradeskill,RequiredTradeskillLevel,ExpansionIdUnlock,DepletedGatherableID,BaseGatherTime,WaitForImpact,Restriction,AlignGatherer,GameEventID,ItemRestrictionId,ItemRestrictionQuantity,RequiredSongId,SongRewardId,ResetGatherTimeOnEndInteraction,IsLootContainer,IsElite,IsDynamicPoiTarget,RequireLootItems,IconTypeUnlock,IgnoreAllObstructions,ObstructBuildables,RequireControllingFaction,AddedStatusEffect,RequiredStatusEffect,ConsumedStatusEffect,NumRequiredToGather,UsableEmoteTags,RequirementDescription,DisplayDescription,IsLandmark,TooltipImage,LandmarkIconPath,RequiredWhisperId,MountGatherers
DarknessPylonDT1,@Darkness_Pylon_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessPylon,,900,1800,AzothStaff,1,,,10,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessPylonDT2,@Darkness_Pylon_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessPylon,,900,1800,AzothStaff,2,,,10,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessPylonDT3,@Darkness_Pylon_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessPylon,,900,1800,AzothStaff,3,,,10,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessPylonDT4,@Darkness_Pylon_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessPylon,,900,1800,AzothStaff,4,,,10,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessPylonDT5,@Darkness_Pylon_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessPylon,,900,1800,AzothStaff,5,,,10,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessPylonDT6,@Darkness_Pylon_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessPylon,,900,1800,AzothStaff,5,,,10,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMajorPortalDT1,@Darkness_Portal_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,1,,,7,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMajorPortalDT2,@Darkness_Portal_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,2,,,7,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMajorPortalDT3,@Darkness_Portal_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,3,,,7,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMajorPortalDT4,@Darkness_Portal_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,4,,,7,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMajorPortalDT5,@Darkness_Portal_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,5,,,7,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMajorPortalDT6,@Darkness_Portal_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,5,,,7,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorPortalDT1,@Darkness_Portal_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,1,,,5,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorPortalDT2,@Darkness_Portal_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,2,,,5,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorPortalDT3,@Darkness_Portal_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,3,,,5,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorPortalDT4,@Darkness_Portal_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,4,,,5,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorPortalDT5,@Darkness_Portal_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,5,,,5,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorPortalDT6,@Darkness_Portal_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,5,,,5,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorSummoningCircleDT1,@Darkness_SummoningCircle_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,1,,,7,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorSummoningCircleDT2,@Darkness_SummoningCircle_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,2,,,7,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorSummoningCircleDT3,@Darkness_SummoningCircle_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,3,,,7,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorSummoningCircleDT4,@Darkness_SummoningCircle_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,4,,,7,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorSummoningCircleDT5,@Darkness_SummoningCircle_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,5,,,7,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorSummoningCircleDT6,@Darkness_SummoningCircle_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,5,,,7,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorFissureDT1,@Darkness_Fissure_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,1,,,5,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorFissureDT2,@Darkness_Fissure_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,2,,,5,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorFissureDT3,@Darkness_Fissure_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,3,,,5,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorFissureDT4,@Darkness_Fissure_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,4,,,5,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorFissureDT5,@Darkness_Fissure_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,5,,,5,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorFissureDT6,@Darkness_Fissure_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,5,,,5,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorHiveDT1,@Darkness_Hive_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,1,,,12,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorHiveDT2,@Darkness_Hive_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,2,,,12,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorHiveDT3,@Darkness_Hive_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,3,,,12,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorHiveDT4,@Darkness_Hive_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,4,,,12,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorHiveDT5,@Darkness_Hive_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,5,,,12,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessMinorHiveDT6,@Darkness_Hive_DisplayName,AzothStaffHigh,AzothStaff,,,DarknessCorruptionCore,,900,1800,AzothStaff,5,,,12,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
DarknessCorruptedOrb,@Darkness_Orb_DisplayName,AzothStaffHigh,AzothStaff,,,Empty,,200,200,AzothStaff,0,,,7,false,ToolRequired,false,Gather3,,,,,,false,,,,,true,,,,,,,,,,,,,,
WinterConvSettlementTreeT1,@WinterConv_Settlement_Tree_Master_DisplayName,None,None,,,WinterConv_Settlement_Tree_T1,,79200,79200,None,,,,5,false,NoToolNecessary,false,Gather_WinterConv_TreeOfLife_T1,,,,,,true,,,,,,,,,,,,,,@WinterConv_Settlement_Tree_Master_Description,true,LyShineUI\Images\Map\tooltipImages\mapTooltip_convergence_treeoflight.dds,LyShineUI\Images\Map\Icon\POIs\event_winterTree.dds,,
WinterConvSettlementTreeT2,@WinterConv_Settlement_Tree_Master_DisplayName,None,None,,,WinterConv_Settlement_Tree_T2,,79200,79200,None,,,,5,false,NoToolNecessary,false,Gather_WinterConv_TreeOfLife_T2,,,,,,true,,,,,,,,,,,,,,@WinterConv_Settlement_Tree_Master_Description,true,LyShineUI\Images\Map\tooltipImages\mapTooltip_convergence_treeoflight.dds,LyShineUI\Images\Map\Icon\POIs\event_winterTree.dds,,
WinterConvSettlementTreeT3,@WinterConv_Settlement_Tree_Master_DisplayName,None,None,,,WinterConv_Settlement_Tree_T3,,79200,79200,None,,,,5,false,NoToolNecessary,false,Gather_WinterConv_TreeOfLife_T3,,,,,,true,,,,,,,,,,,,,,@WinterConv_Settlement_Tree_Master_Description,true,LyShineUI\Images\Map\tooltipImages\mapTooltip_convergence_treeoflight.dds,LyShineUI\Images\Map\Icon\POIs\event_winterTree.dds,,
WinterConvVillageGiftBag,@WinterConv_Village_GiftBag_DisplayName,Handcrafting,None,,,WinterConv_Village_GiftBag,,79200,79200,None,,,,5,false,NoToolNecessary,false,Gather_WinterConv_GiftBag_T1,,,,,,true,,,,,,,,,,,,,,@WinterConv_Village_GiftBag_Description,true,LyShineUI\Images\Map\tooltipImages\mapTooltip_convergence_giftbag.dds,LyShineUI\Images\Map\Icon\POIs\event_giftSack.dds,,
WinterConvGleamiteChunk,@WinterConv_Gleamite_Chunk_DisplayName,MiningGleamite,Mining,,,WinterConv_Gleamite_Chunk,,900,1800,Mining,10,,,35,true,ToolRequired,true,Gather_WinterConv_GleamiteChunk,,,,,,false,,,,,true,,,,,,,,,,,,,,
WinterConvGleamiteShard,@WinterConv_Gleamite_Shard_DisplayName,None,None,,,WinterConv_Gleamite_Shard,,900,1800,None,,,,0.25,false,NoToolNecessary,false,Gather_WinterConv_GleamiteShard,,,,,,false,,,,,true,,,,,,,,,,,,,,
SummerMedley_MusicalHotspot_ShredlyFairEasy,,MusicalPerformances,MusicalPerformances,,,,,1,1,None,,,,1,false,MusicRequired,false,,,,YAAAHHHHEasy,MusicBuff_ShredlyFair,,,,,,,,,,,,,,,,,,,,,
SummerMedley_MusicalHotspot_ShredlyFairMedium,,MusicalPerformances,MusicalPerformances,,,,,1,1,None,,,,1,false,MusicRequired,false,,,,YAAAHHHHMedium,MusicBuff_ShredlyFair,,,,,,,,,,,,,,,,,,,,,
SummerMedley_MusicalHotspot_ShredlyFairHard,,MusicalPerformances,MusicalPerformances,,,,,1,1,None,,,,1,false,MusicRequired,false,,,,YAAAHHHHHard,MusicBuff_ShredlyFair,,,,,,,,,,,,,,,,,,,,,
Season_04_IceGuardian_Icicle,@Season_04_IceGuardian_Icicle_DisplayName,None,None,,,Trial_S4_Throwable_Item_Icicle,,900,1800,None,,,,0.25,false,NoToolNecessary,false,,,,,,,false,,,,,,,,,,,,,,,,,,,
Season_04_IceGuardian_BrokenRune,@Season_04_IceGuardian_BrokenRune_DisplayName,AzothStaffLow,AzothStaff,,,,,0,0,AzothStaff,,,,0.1,false,ToolRequired,false,,,,,,,false,,,,,,,,AI_Season_04_IceGuardian_AncientFlameBearer,,,,,,,,,,,
Season_04_IceGuardian_BrokenRune_Solo,@Season_04_IceGuardian_BrokenRune_DisplayName,AzothStaffLow,AzothStaff,,,,,0,0,AzothStaff,,,,0.1,false,ToolRequired,false,,,,,,,false,,,,,,,,AI_Season_04_IceGuardian_AncientFlameBearer_Solo,,,,,,,,,,,
CorruptedWood,@CorruptedTree_DisplayName,Chopping,Chopping,,,CorruptedWood,,300,360,Logging,,,,15,true,ToolRequired,true,Gather4,,,,,,false,,,,,,,,,,,,,,,,,,,
CorruptedPlant,@CorruptedPlant_DisplayName,Cutting,Cutting,,,CorruptedPlant,,300,360,Harvesting,,,,10,false,ToolRequired,false,Gather4,,,,,,false,,,,,,,,,,,,,,,,,,,
CorruptedOre,@CorruptedVein_DisplayName,Mining,Mining,,,CorruptedOre,,300,360,Mining,,,,10,true,ToolRequired,true,Gather3,,,,,,false,,,,,,,,,,,,,,,,,,,
CorruptedSkin,@CorruptedSkin_DisplayName,Dressing,Dressing,,,CorruptedSkin,,300,360,Skinning,,,,10,false,ToolRequired,true,Gather3,,,,,,false,,,,,,,,,,,,,,,,,,,
0424_0108_YetiRune,@0424_0108_YetiRune,Handcrafting,None,,,Empty,,10,15,None,,,,5,false,NoToolNecessary,,IO_0424_0108_YetiRune,WC_WholeRune,1,,,,false,,,,,,,,,,,,,,,,,,,
0402_GruelBarrel,@0402_GruelBarrel,Handcrafting,None,,,Empty,,300,360,None,,,,6,false,ItemRequired,true,0402_GruelBarrel_interact,0402_0401_BileSoakedMeat,1,,,true,true,,,,,,,,,,,,,,,,,,,
0403_0201_AlphaLure,@SurvivalistQuest_AlphaLure_interact,None,None,,,Empty,,10,15,None,,,,5,false,NoToolNecessary,true,IO_0403_0201_AlphaLure_interact,,,,,true,false,,,,,,,,,,,,,,,,,,,
0603_0201_AlphaLure,@SurvivalistQuest_AlphaLure_interact,None,None,,,Empty,,10,15,None,,,,5,false,NoToolNecessary,true,IO_0603_0201_AlphaLure_interact,,,,,true,false,,,,,,,,,,,,,,,,,,,
0903_0201_AlphaLure,@SurvivalistQuest_AlphaLure_interact,None,None,,,Empty,,10,15,None,,,,5,false,NoToolNecessary,true,IO_0903_0201_AlphaLure_interact,,,,,true,false,,,,,,,,,,,,,,,,,,,
1203_0201_AlphaLure,@SurvivalistQuest_AlphaLure_interact,None,None,,,Empty,,10,15,None,,,,5,false,NoToolNecessary,true,IO_1203_0201_AlphaLure_interact,,,,,true,false,,,,,,,,,,,,,,,,,,,
06_Grave,@06_Grave,None,None,,,Empty,,200,200,None,,,,6,false,NoToolNecessary,true,,,,,,true,false,,,,,,,,,,,,,,,,,,,
0808_CorruptedScroll,@0808_CorruptedScroll,Handcrafting,None,,,Empty,,200,200,None,,,,1,false,NoToolNecessary,true,0808_ScrollBurn_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
0802_Airshrine,@0802_Airshrine,Handcrafting,None,,,Empty,,200,200,None,,,,6,false,NoToolNecessary,true,,,,,,true,true,,,,,,,,,,,,,,,,,,,
0802_Earthshrine,@0802_Earthshrine,Handcrafting,None,,,Empty,,200,200,None,,,,6,false,NoToolNecessary,true,,,,,,true,true,,,,,,,,,,,,,,,,,,,
0802_Watershrine,@0802_Watershrine,Handcrafting,None,,,Empty,,200,200,None,,,,6,false,NoToolNecessary,true,,,,,,true,true,,,,,,,,,,,,,,,,,,,
0802_Fireshrine,@0802_Fireshrine,Handcrafting,None,,,Empty,,200,200,None,,,,6,false,NoToolNecessary,true,,,,,,true,true,,,,,,,,,,,,,,,,,,,
0803_PowderKeg,@0803_PowderKeg,Handcrafting,None,,,Empty,,200,200,None,,,,6,false,ItemRequired,true,,0402_0401_BileSoakedMeat,1,,,true,false,,,,,,,,,,,,,,,,,,,
0804_AltarOfTheDeparted,@0804_AltarOfTheDeparted,Handcrafting,None,,,Empty,,200,300,None,,,,6,false,ItemRequired,true,0804_AltarOfTheDeparted_interact,0804_0101_BlossomingFlower,1,,,true,false,,,,,,,,,,,,,,,,,,,
0804_GraveA,@0804_GraveA,None,None,,,Empty,,25,30,None,,,,3,false,NoToolNecessary,true,,,,,,true,true,,,,,,,,,,,,,,,,,,,
0804_GraveB,@0804_GraveB,Mining,Mining,,,Empty,,25,30,None,,,,25,false,ToolRequired,true,,,,,,true,true,,,,,,,,,,,,,,,,,,,
0804_Junkpile,@0804_Junkpile,ChoppingVertical,Chopping,,,Empty,,25,30,None,,,,25,false,ToolRequired,true,,,,,,true,false,,,,,,,,,,,,,,,,,,,
0804_Altar,@0804_Altar,None,None,,,Empty,,25,30,None,,,,3,false,NoToolNecessary,true,,,,,,true,false,,,,,,,,,,,,,,,,,,,
0804_Furniture,@0804_Furniture,Handcrafting,None,,,Empty,,25,30,None,,,,3,false,NoToolNecessary,true,,,,,,true,true,,,,,,,,,,,,,,,,,,,
0804_Tomb,@0804_Tomb,Handcrafting,None,,,Empty,,25,30,None,,,,3,false,NoToolNecessary,true,,,,,,true,false,,,,,,,,,,,,,,,,,,,
0804_TombLocked,@0804_TombLocked,Handcrafting,None,,,Empty,,25,30,None,,,,6,false,ItemRequired,true,,06_Hallowed_Candle,,,,true,false,,,,,,,,,,,,,,,,,,,
0804_BlueFlower,@0804_BlueFlower,None,None,,,Empty,,25,30,None,,,,6,false,NoToolNecessary,true,,,,,,true,false,,,,,,,,,,,,,,,,,,,
0801_CorrDynastyAltar,@0801_CorrDynastyAltar_DisplayName,Handcrafting,None,,,Empty,,200,300,None,,,,6,false,NoToolNecessary,true,0801_CorrDynastyAltar_interact,,,,,true,false,,,,,,,,,,,,,,,,,,,
0825_CookingSupplies,@0825_CookingSupplies_DisplayName,None,None,,,Empty,,200,300,None,,,,6,false,NoToolNecessary,true,0825_CookingSupplies_interact,,,,,true,false,,,,,,,,,,,,,,,,,,,
0826_TigerCage,@0826_TigerCage_DisplayName,Handcrafting,None,,,Empty,,200,300,None,,,,6,false,ItemRequired,true,0826_TigerCage_interact,0826_0801_DynastyKeys,1,,,true,false,,,,,,,,,,,,,,,,,,,
0828_Heirlooms,@0828_Heirlooms_DisplayName,Handcrafting,None,,,Empty,,200,300,None,,,,6,false,NoToolNecessary,true,0828_Heirlooms_interact,,,,,true,false,,,,,,,,,,,,,,,,,,,
0828_Heirlooms_b,@0828_Heirlooms_DisplayName,Handcrafting,None,,,Empty,,200,300,None,,,,6,false,NoToolNecessary,true,0828_Heirlooms_b_interact,,,,,true,false,,,,,,,,,,,,,,,,,,,
0831_DryadsEyePlant,@0831_DryadsEyePlant_DisplayName,None,None,,,Empty,,200,300,None,,,,4,false,NoToolNecessary,true,0831_DryadsEyePlant_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
0831_BruteCannonSchematic,@0831_BruteCannonSchematic_DisplayName,Handcrafting,None,,,Empty,,200,300,None,,,,3,false,NoToolNecessary,true,0831_BruteCannonSchematic_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
0831_DiscardedArmorPile,@0831_DiscardedArmorPile_DisplayName,None,None,,,Empty,,200,300,None,,,,8,false,NoToolNecessary,true,0831_DiscardedArmorPile_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
06_SpectralShrine,@06_SpectralShrine,Handcrafting,None,,,Empty,,64000,64002,None,,,,6,false,ItemRequired,true,,06_Hallowed_Candle,1,,,true,false,,,,,,,,,,,,,,,,,,,
0201_DirtPile,@0201_DirtPile_DisplayName,None,None,,,Empty,,200,300,None,,,,7,false,NoToolNecessary,true,0201_DirtPile_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
0202_BoneDirtPile,@0202_BoneDirtPile_DisplayName,None,None,,,Empty,,200,300,None,,,,7,false,NoToolNecessary,true,0202_BoneDirtPile_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
0203_MossPuffball,@0203_MossPuffball_DisplayName,None,None,,,Empty,,200,300,None,,,,7,false,NoToolNecessary,true,0203_MossPuffball_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
0231_WolcottsEaselA,@0231_WolcottsEasel_DisplayName,None,None,,,Empty,,200,300,None,,,,4,false,NoToolNecessary,true,0231_WolcottsEaselA_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
0231_WolcottsEaselB,@0231_WolcottsEasel_DisplayName,None,None,,,Empty,,200,300,None,,,,4,false,NoToolNecessary,true,0231_WolcottsEaselB_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
0231_WolcottsEaselC,@0231_WolcottsEasel_DisplayName,None,None,,,Empty,,200,300,None,,,,4,false,NoToolNecessary,true,0231_WolcottsEaselC_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
0231_WolcottsEaselD,@0231_WolcottsEasel_DisplayName,None,None,,,Empty,,200,300,None,,,,4,false,NoToolNecessary,true,0231_WolcottsEaselD_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
0231_WolcottsEaselE,@0231_WolcottsEasel_DisplayName,None,None,,,Empty,,200,300,None,,,,4,false,NoToolNecessary,true,0231_WolcottsEaselE_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
0231_WolcottsEaselF,@0231_WolcottsEasel_DisplayName,None,None,,,Empty,,200,300,None,,,,4,false,NoToolNecessary,true,0231_WolcottsEaselF_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
0231_WolcottsEaselG,@0231_WolcottsEasel_DisplayName,None,None,,,Empty,,200,300,None,,,,4,false,NoToolNecessary,true,0231_WolcottsEaselG_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
0231_WolcottsEaselH,@0231_WolcottsEasel_DisplayName,None,None,,,Empty,,200,300,None,,,,4,false,NoToolNecessary,true,0231_WolcottsEaselH_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
0231_WolcottsEaselI,@0231_WolcottsEasel_DisplayName,None,None,,,Empty,,200,300,None,,,,4,false,NoToolNecessary,true,0231_WolcottsEaselI_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
9801_PKTraceAbsorberA,@9801_PKTraceAbsorberA_DisplayName,None,None,,,Empty,,200,300,None,,,,7,false,ItemRequired,true,9801_PKTraceAbsorberA_interact,9801_0101_PKTraceAbsorberA,1,,,true,true,,,,,,,,,,,,,,,,,,,
9801_PKTraceAbsorberA_01,@9801_PKTraceAbsorberA_DisplayName,None,None,,,Empty,,200,300,None,,,,7,false,ItemRequired,true,9801_PKTraceAbsorberA_01_interact,9801_0101_PKTraceAbsorberA,1,,,true,true,,,,,,,,,,,,,,,,,,,
9801_PKTraceAbsorberA_02,@9801_PKTraceAbsorberA_DisplayName,None,None,,,Empty,,200,300,None,,,,7,false,ItemRequired,true,9801_PKTraceAbsorberA_02_interact,9801_0101_PKTraceAbsorberA,1,,,true,true,,,,,,,,,,,,,,,,,,,
9801_PKTraceAbsorberA_03,@9801_PKTraceAbsorberA_DisplayName,None,None,,,Empty,,200,300,None,,,,7,false,ItemRequired,true,9801_PKTraceAbsorberA_03_interact,9801_0101_PKTraceAbsorberA,1,,,true,true,,,,,,,,,,,,,,,,,,,
9801_PKTraceAbsorberA_04,@9801_PKTraceAbsorberA_DisplayName,None,None,,,Empty,,200,300,None,,,,7,false,ItemRequired,true,9801_PKTraceAbsorberA_04_interact,9801_0101_PKTraceAbsorberA,1,,,true,true,,,,,,,,,,,,,,,,,,,
9801_PKTraceAbsorberA_05,@9801_PKTraceAbsorberA_DisplayName,None,None,,,Empty,,200,300,None,,,,7,false,ItemRequired,true,9801_PKTraceAbsorberA_05_interact,9801_0101_PKTraceAbsorberA,1,,,true,true,,,,,,,,,,,,,,,,,,,
9801_PKTraceAbsorberA_06,@9801_PKTraceAbsorberA_DisplayName,None,None,,,Empty,,200,300,None,,,,7,false,ItemRequired,true,9801_PKTraceAbsorberA_06_interact,9801_0101_PKTraceAbsorberA,1,,,true,true,,,,,,,,,,,,,,,,,,,
9801_PKTraceAbsorberB,@9801_PKTraceAbsorberB_DisplayName,None,None,,,Empty,,200,300,None,,,,7,false,NoToolNecessary,true,9801_PKTraceAbsorberB_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
9802_DryadTerminusPool,@9802_DryadTerminusPool_DisplayName,Handcrafting,None,,,Empty,,200,300,None,,,,5,false,ItemRequired,true,9802_DryadTerminusPool_interact,9801_0101_PKTraceAbsorberB,1,,,true,true,,,,,,,,,,,,,,,,,,,
0301_BuriedChest,@0301_BuriedChest_DisplayName,None,None,,,Empty,,200,300,None,,,,7,false,NoToolNecessary,true,0301_BuriedChest_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
0301_BuriedChestA,@0301_BuriedChest_DisplayName,None,None,,,Empty,,200,300,None,,,,7,false,NoToolNecessary,true,0301_BuriedChestA_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
0302_HidingBarrel,@0302_HidingBarrel_DisplayName,None,None,,,Empty,,200,300,None,,,,5,false,NoToolNecessary,true,0302_HidingBarrel_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
0302_HidingBarrelA,@0302_HidingBarrel_DisplayName,None,None,,,Empty,,200,300,None,,,,5,false,NoToolNecessary,true,0302_HidingBarrelA_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
0303_StatueAzothOrbA,@0303_StatueAzothOrbA_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,200,300,AzothStaff,0,,,5,false,ToolRequired,true,0303_StatueAzothOrbA_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
0304_StatueAzothOrbB,@0304_StatueAzothOrbB_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,200,300,AzothStaff,0,,,5,false,ToolRequired,true,0304_StatueAzothOrbB_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
0305_StatueAzothOrbC,@0305_StatueAzothOrbC_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,200,300,AzothStaff,0,,,5,false,ToolRequired,true,0305_StatueAzothOrbC_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
0306_CorrRitualPillar,@0306_CorrRitualPillar_DisplayName,Handcrafting,None,,,Empty,,200,300,None,,,,5,false,NoToolNecessary,true,0306_CorrRitualPillar_interact,,,,,true,true,,,,,,,,,,,,,,,,,,,
