Name,mat_default,mat_bark,mat_dirt,mat_fabric,mat_glass,mat_grass,mat_metal,mat_mud,mat_rock,mat_rock_wet,mat_sand,mat_sand_wet,mat_thatch,mat_water,mat_water_deep,mat_water_shallow,mat_wood,mat_corruption_core,mat_corruption,mat_holy_shield,mat_ice_entomb
IceGauntlet_Proj_Heavy,IceGauntletHeavyEnv,IceGauntletHeavyEnv,IceGauntletHeavyEnv,IceGauntletHeavyEnv,IceGauntletHeavyEnv,IceGauntletHeavyEnv,IceGauntletHeavyEnv,IceGauntletHeavyEnv,IceGauntletHeavyEnv,IceGauntletHeavyEnv,IceGauntletHeavyEnv,IceGauntletHeavyEnv,IceGauntletHeavyEnv,IceGauntletHeavyEnv,IceGauntletHeavyEnv,IceGauntletHeavyEnv,IceGauntletHeavyEnv,IceGauntletHeavyEnv,IceGauntletHeavyEnv,HolyShield_LifeProj,IceGauntletHeavyEnv
IceGauntlet_Null,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,HolyShield_Proj,IceGauntletNull
IceGauntlet_Proj+Crit,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,HolyShield_LifeProj,IceGauntletEnv
CorruptedMagic,CorruptedMagicEnv,CorruptedMagicEnv,CorruptedMagicEnv,CorruptedMagicEnv,CorruptedMagicEnv,CorruptedMagicEnv,CorruptedMagicEnv,CorruptedMagicEnv,CorruptedMagicEnv,CorruptedMagicEnv,CorruptedMagicEnv,CorruptedMagicEnv,CorruptedMagicEnv,CorruptedMagicEnv,CorruptedMagicEnv,CorruptedMagicEnv,CorruptedMagicEnv,CorruptedMagicEnv,CorruptedMagicEnv,HolyShield_Proj,CorruptedMagicEnv
DryadMagic,DryadMagicEnv,DryadMagicEnv,DryadMagicEnv,DryadMagicEnv,DryadMagicEnv,DryadMagicEnv,DryadMagicEnv,DryadMagicEnv,DryadMagicEnv,DryadMagicEnv,DryadMagicEnv,DryadMagicEnv,DryadMagicEnv,DryadMagicEnv,DryadMagicEnv,DryadMagicEnv,DryadMagicEnv,DryadMagicEnv,DryadMagicEnv,HolyShield_Proj,DryadMagicEnv
CorruptedSlash,CorruptedSlashEnv,CorruptedSlashEnv,CorruptedSlashEnv,CorruptedSlashEnv,CorruptedSlashEnv,CorruptedSlashEnv,CorruptedSlashEnv,CorruptedSlashEnv,CorruptedSlashEnv,CorruptedSlashEnv,CorruptedSlashEnv,CorruptedSlashEnv,CorruptedSlashEnv,CorruptedSlashEnv,CorruptedSlashEnv,CorruptedSlashEnv,CorruptedSlashEnv,CorruptedSlashEnv,CorruptedSlashEnv,HolyShield_Proj,CorruptedSlashEnv
VoidGauntlet_Proj,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,HolyShield_LifeProj,VoidGauntletEnv
VoidGauntlet_Proj_Heavy,VoidGauntletHeavyEnv,VoidGauntletHeavyEnv,VoidGauntletHeavyEnv,VoidGauntletHeavyEnv,VoidGauntletHeavyEnv,VoidGauntletHeavyEnv,VoidGauntletHeavyEnv,VoidGauntletHeavyEnv,VoidGauntletHeavyEnv,VoidGauntletHeavyEnv,VoidGauntletHeavyEnv,VoidGauntletHeavyEnv,VoidGauntletHeavyEnv,VoidGauntletHeavyEnv,VoidGauntletHeavyEnv,VoidGauntletHeavyEnv,VoidGauntletHeavyEnv,VoidGauntletHeavyEnv,VoidGauntletHeavyEnv,HolyShield_LifeProj,VoidGauntletHeavyEnv
VoidGauntlet_Blade,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,HolyShield_LifeProj,VoidGauntletBladeEnv
VoidGauntlet_Special,VoidGauntletSpecialEnv,VoidGauntletSpecialEnv,VoidGauntletSpecialEnv,VoidGauntletSpecialEnv,VoidGauntletSpecialEnv,VoidGauntletSpecialEnv,VoidGauntletSpecialEnv,VoidGauntletSpecialEnv,VoidGauntletSpecialEnv,VoidGauntletSpecialEnv,VoidGauntletSpecialEnv,VoidGauntletSpecialEnv,VoidGauntletSpecialEnv,VoidGauntletSpecialEnv,VoidGauntletSpecialEnv,VoidGauntletSpecialEnv,VoidGauntletSpecialEnv,VoidGauntletSpecialEnv,VoidGauntletSpecialEnv,HolyShield_LifeProj,VoidGauntletSpecialEnv
VoidGauntlet_Rupture,VoidGauntletRuptureDefault,VoidGauntletRuptureDefault,VoidGauntletRuptureDefault,VoidGauntletRuptureDefault,VoidGauntletRuptureDefault,VoidGauntletRuptureDefault,VoidGauntletRuptureDefault,VoidGauntletRuptureDefault,VoidGauntletRuptureDefault,VoidGauntletRuptureDefault,VoidGauntletRuptureDefault,VoidGauntletRuptureDefault,VoidGauntletRuptureDefault,VoidGauntletRuptureDefault,VoidGauntletRuptureDefault,VoidGauntletRuptureDefault,VoidGauntletRuptureDefault,VoidGauntletRuptureDefault,VoidGauntletRuptureDefault,HolyShield_LifeProj,VoidGauntletRuptureDefault
VoidGauntlet_Blade+Crit,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,VoidGauntletBladeEnv,HolyShield_LifeProj,VoidGauntletBladeEnv
VoidGauntlet_Proj+Crit,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,VoidGauntletEnv,HolyShield_LifeProj,VoidGauntletEnv
Blunderbuss,Blund_Env_Bullet_Dirt,Blund_Env_Bullet_Wood,Blund_Env_Bullet_Dirt,Blund_Env_Bullet_Fabric,Blund_Env_Bullet_Rock,Blund_Env_Bullet_Grass,Blund_Env_Bullet_Metal,Blund_Env_Bullet_Dirt,Blund_Env_Bullet_Rock,Blund_Env_Bullet_Rock,Blund_Env_Bullet_Sand,Blund_Env_Bullet_Sand,Blund_Env_Bullet_Dirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,Blund_Env_Bullet_Wood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,Blund_Env_Bullet_Rock
Blunderbuss_Claw,Blunderbuss_Env_Claw,Blunderbuss_Env_Claw,Blunderbuss_Env_Claw,Blunderbuss_Env_Claw,Blunderbuss_Env_Claw,Blunderbuss_Env_Claw,Blunderbuss_Env_Claw,Blunderbuss_Env_Claw,Blunderbuss_Env_Claw,Blunderbuss_Env_Claw,Blunderbuss_Env_Claw,Blunderbuss_Env_Claw,Blunderbuss_Env_Claw,Blunderbuss_Env_Claw,Blunderbuss_Env_Claw,Blunderbuss_Env_Claw,Blunderbuss_Env_Claw,Blunderbuss_Env_Claw,Blunderbuss_Env_Claw,HolyShield_Proj,Blunderbuss_Env_Claw
Blunderbuss_Net,Blunderbuss_Env_Net,Blunderbuss_Env_Net,Blunderbuss_Env_Net,Blunderbuss_Env_Net,Blunderbuss_Env_Net,Blunderbuss_Env_Net,Blunderbuss_Env_Net,Blunderbuss_Env_Net,Blunderbuss_Env_Net,Blunderbuss_Env_Net,Blunderbuss_Env_Net,Blunderbuss_Env_Net,Blunderbuss_Env_Net,Blunderbuss_Env_Net,Blunderbuss_Env_Net,Blunderbuss_Env_Net,Blunderbuss_Env_Net,Blunderbuss_Env_Net,Blunderbuss_Env_Net,HolyShield_Proj,Blunderbuss_Env_Net
Blunderbuss_Net_Barbed,Blunderbuss_Env_Net_Barbed,Blunderbuss_Env_Net_Barbed,Blunderbuss_Env_Net_Barbed,Blunderbuss_Env_Net_Barbed,Blunderbuss_Env_Net_Barbed,Blunderbuss_Env_Net_Barbed,Blunderbuss_Env_Net_Barbed,Blunderbuss_Env_Net_Barbed,Blunderbuss_Env_Net_Barbed,Blunderbuss_Env_Net_Barbed,Blunderbuss_Env_Net_Barbed,Blunderbuss_Env_Net_Barbed,Blunderbuss_Env_Net_Barbed,Blunderbuss_Env_Net_Barbed,Blunderbuss_Env_Net_Barbed,Blunderbuss_Env_Net_Barbed,Blunderbuss_Env_Net_Barbed,Blunderbuss_Env_Net_Barbed,Blunderbuss_Env_Net_Barbed,HolyShield_Proj,Blunderbuss_Env_Net_Barbed
Blunderbuss_Shrapnel,Blund_Env_Shrapnel_Dirt,Blund_Env_Shrapnel_Wood,Blund_Env_Shrapnel_Dirt,Blund_Env_Shrapnel_Fabric,Blund_Env_Shrapnel_Rock,Blund_Env_Shrapnel_Grass,Blund_Env_Shrapnel_Metal,Blund_Env_Shrapnel_Dirt,Blund_Env_Shrapnel_Rock,Blund_Env_Shrapnel_Rock,Blund_Env_Shrapnel_Sand,Blund_Env_Shrapnel_Sand,Blund_Env_Shrapnel_Dirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,Blund_Env_Shrapnel_Wood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,Blund_Env_Shrapnel_Rock
Spider_WebShot,Spider_WebShotDefault,Spider_WebShotDefault,Spider_WebShotDefault,Spider_WebShotDefault,Spider_WebShotDefault,Spider_WebShotDefault,Spider_WebShotDefault,Spider_WebShotDefault,Spider_WebShotDefault,Spider_WebShotDefault,Spider_WebShotDefault,Spider_WebShotDefault,Spider_WebShotDefault,Spider_WebShotDefault,Spider_WebShotDefault,Spider_WebShotDefault,Spider_WebShotDefault,Spider_WebShotDefault,Spider_WebShotDefault,HolyShield_Proj,Spider_WebShotDefault
Spider_VenomShot,Spider_VenomShotDefault,Spider_VenomShotDefault,Spider_VenomShotDefault,Spider_VenomShotDefault,Spider_VenomShotDefault,Spider_VenomShotDefault,Spider_VenomShotDefault,Spider_VenomShotDefault,Spider_VenomShotDefault,Spider_VenomShotDefault,Spider_VenomShotDefault,Spider_VenomShotDefault,Spider_VenomShotDefault,Spider_VenomShotDefault,Spider_VenomShotDefault,Spider_VenomShotDefault,Spider_VenomShotDefault,Spider_VenomShotDefault,Spider_VenomShotDefault,HolyShield_Proj,Spider_VenomShotDefault
Greatsword,EnvironmentDefault,EnvironmentWood_LG,EnvironmentDirt_LG,EnvironmentFabric,EnvironmentRock_LG,EnvironmentDirt_LG,EnvironmentMetal_LG,EnvironmentDirt_LG,EnvironmentRock_LG,EnvironmentRock_LG,EnvironmentDirt_LG,EnvironmentDirt_LG,EnvironmentWood_LG,EnvironmentWater_LG,EnvironmentWater_LG,EnvironmentWater_LG,EnvironmentWood_LG,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentRock_LG
Greatsword+Crit,EnvironmentDefault,EnvironmentWood_LG,EnvironmentDirt_LG,EnvironmentFabric,EnvironmentRock_LG,EnvironmentDirt_LG,EnvironmentMetal_LG,EnvironmentDirt_LG,EnvironmentRock_LG,EnvironmentRock_LG,EnvironmentDirt_LG,EnvironmentDirt_LG,EnvironmentWood_LG,EnvironmentWater_LG,EnvironmentWater_LG,EnvironmentWater_LG,EnvironmentWood_LG,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentRock_LG
Greatsword_Heavy,WarHammer_MD_Dirt,WarHammer_MD_Wood,WarHammer_MD_Dirt,EnvironmentFabric,WarHammer_MD_Stone,WarHammer_MD_Dirt,EnvironmentMetal_LG,WarHammer_MD_Mud,WarHammer_MD_Stone,WarHammer_MD_Stone,WarHammer_MD_Sand,WarHammer_MD_Sand,WarHammer_MD_Wood,WarHammer_MD_Water,WarHammer_MD_Water,WarHammer_MD_Water,WarHammer_MD_Wood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,WarHammer_MD_Stone
Flail,Flail_MD_Dirt,Flail_MD_Wood,Flail_MD_Dirt,Flail_MD_Fabric,Flail_MD_Rock,Flail_MD_Dirt,Flail_MD_Metal,Flail_MD_Mud,Flail_MD_Rock,Flail_MD_Rock,Flail_MD_Sand,Flail_MD_Sand,Flail_MD_Dirt,Flail_MD_Water,Flail_MD_Water,Flail_MD_Water,Flail_MD_Wood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,Flail_MD_Rock
Flail_No_Environment,,,,,,,,,,,,,,,,,,,,HolyShield_Proj,
Flail+Crit,Flail_MD_Dirt,Flail_MD_Wood,Flail_MD_Dirt,Flail_MD_Fabric,Flail_MD_Rock,Flail_MD_Dirt,Flail_MD_Metal,Flail_MD_Mud,Flail_MD_Rock,Flail_MD_Rock,Flail_MD_Sand,Flail_MD_Sand,Flail_MD_Dirt,Flail_MD_Water,Flail_MD_Water,Flail_MD_Water,Flail_MD_Wood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,Flail_MD_Rock
Flail_No_Environment+Crit,Flail_MD_Dirt,Flail_MD_Wood,,,,,,,,,,,,,,,,,,,
Flail_Heavy,Flail_MD_Dirt,Flail_MD_Wood,Flail_MD_Dirt,Flail_MD_Fabric,Flail_MD_Rock,Flail_MD_Dirt,Flail_MD_Metal,Flail_MD_Mud,Flail_MD_Rock,Flail_MD_Rock,Flail_MD_Sand,Flail_MD_Sand,Flail_MD_Dirt,Flail_MD_Water,Flail_MD_Water,Flail_MD_Water,Flail_MD_Wood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,Flail_MD_Rock
BileBomb,Heartgem_BileBombEnvironment,Heartgem_BileBombEnvironment,Heartgem_BileBombEnvironment,Heartgem_BileBombEnvironment,Heartgem_BileBombEnvironment,Heartgem_BileBombEnvironment,Heartgem_BileBombEnvironment,Heartgem_BileBombEnvironment,Heartgem_BileBombEnvironment,Heartgem_BileBombEnvironment,Heartgem_BileBombEnvironment,Heartgem_BileBombEnvironment,Heartgem_BileBombEnvironment,Heartgem_BileBombEnvironment,Heartgem_BileBombEnvironment,Heartgem_BileBombEnvironment,Heartgem_BileBombEnvironment,Heartgem_BileBombEnvironment,Heartgem_BileBombEnvironment,HolyShield_Proj,Heartgem_BileBombEnvironment
Megaflora_PetalProjectile,EnvironmentDefault,EnvironmentWood,EnvironmentDirt,EnvironmentFabric,EnvironmentRock,EnvironmentDefault,EnvironmentMetal,EnvironmentDefault,EnvironmentRock,EnvironmentRock,EnvironmentDefault,EnvironmentDefault,EnvironmentDefault,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentWood,EnvironmentDefault,EnvironmentDefault,HolyShield_Proj,EnvironmentRock
Mammoth_LavaToss,Mammoth_LavaTossEnv,Mammoth_LavaTossEnv,Mammoth_LavaTossEnv,Mammoth_LavaTossEnv,Mammoth_LavaTossEnv,Mammoth_LavaTossEnv,Mammoth_LavaTossEnv,Mammoth_LavaTossEnv,Mammoth_LavaTossEnv,Mammoth_LavaTossEnv,Mammoth_LavaTossEnv,Mammoth_LavaTossEnv,Mammoth_LavaTossEnv,Mammoth_LavaTossEnv,Mammoth_LavaTossEnv,Mammoth_LavaTossEnv,Mammoth_LavaTossEnv,Mammoth_LavaTossEnv,Mammoth_LavaTossEnv,HolyShield_Proj,Mammoth_LavaTossEnv
Mammoth_Shock,Mammoth_Shock,Mammoth_Shock,Mammoth_Shock,Mammoth_Shock,Mammoth_Shock,Mammoth_Shock,Mammoth_Shock,Mammoth_Shock,Mammoth_Shock,Mammoth_Shock,Mammoth_Shock,Mammoth_Shock,Mammoth_Shock,Mammoth_Shock,Mammoth_Shock,Mammoth_Shock,Mammoth_Shock,Mammoth_Shock,Mammoth_Shock,HolyShield_Proj,Mammoth_Shock
Mammoth_Lob,Mammoth_LobEnv,Mammoth_LobEnv,Mammoth_LobEnv,Mammoth_LobEnv,Mammoth_LobEnv,Mammoth_LobEnv,Mammoth_LobEnv,Mammoth_LobEnv,Mammoth_LobEnv,Mammoth_LobEnv,Mammoth_LobEnv,Mammoth_LobEnv,Mammoth_LobEnv,Mammoth_LobEnv,Mammoth_LobEnv,Mammoth_LobEnv,Mammoth_LobEnv,Mammoth_LobEnv,Mammoth_LobEnv,HolyShield_Proj,Mammoth_LobEnv
HercyneCorvid_Feather,EnvironmentDefault,EnvironmentWood,EnvironmentDirt,EnvironmentFabric,EnvironmentRock,EnvironmentDefault,EnvironmentMetal,EnvironmentDefault,EnvironmentRock,EnvironmentRock,EnvironmentDefault,EnvironmentDefault,EnvironmentDefault,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentWood,EnvironmentDefault,EnvironmentDefault,HolyShield_Proj,EnvironmentRock
Medusa_SlashPoison,Medusa_SlashPoison_Env,Medusa_SlashPoison_Env,Medusa_SlashPoison_Env,Medusa_SlashPoison_Env,Medusa_SlashPoison_Env,Medusa_SlashPoison_Env,Medusa_SlashPoison_Env,Medusa_SlashPoison_Env,Medusa_SlashPoison_Env,Medusa_SlashPoison_Env,Medusa_SlashPoison_Env,Medusa_SlashPoison_Env,Medusa_SlashPoison_Env,Medusa_SlashPoison_Env,Medusa_SlashPoison_Env,Medusa_SlashPoison_Env,Medusa_SlashPoison_Env,Medusa_SlashPoison_Env,Medusa_SlashPoison_Env,HolyShield_Proj,Medusa_SlashPoison_Env
Medusa_Charge,Medusa_Charge_Env,Medusa_Charge_Env,Medusa_Charge_Env,Medusa_Charge_Env,Medusa_Charge_Env,Medusa_Charge_Env,Medusa_Charge_Env,Medusa_Charge_Env,Medusa_Charge_Env,Medusa_Charge_Env,Medusa_Charge_Env,Medusa_Charge_Env,Medusa_Charge_Env,Medusa_Charge_Env,Medusa_Charge_Env,Medusa_Charge_Env,Medusa_Charge_Env,Medusa_Charge_Env,Medusa_Charge_Env,HolyShield_Proj,Medusa_Charge_Env
Kurok_Nature_RipperProjectile,Kurok_Nature_RipperProjectile_Env,Kurok_Nature_RipperProjectile_Env,Kurok_Nature_RipperProjectile_Env,Kurok_Nature_RipperProjectile_Env,Kurok_Nature_RipperProjectile_Env,Kurok_Nature_RipperProjectile_Env,Kurok_Nature_RipperProjectile_Env,Kurok_Nature_RipperProjectile_Env,Kurok_Nature_RipperProjectile_Env,Kurok_Nature_RipperProjectile_Env,Kurok_Nature_RipperProjectile_Env,Kurok_Nature_RipperProjectile_Env,Kurok_Nature_RipperProjectile_Env,Kurok_Nature_RipperProjectile_Env,Kurok_Nature_RipperProjectile_Env,Kurok_Nature_RipperProjectile_Env,Kurok_Nature_RipperProjectile_Env,Kurok_Nature_RipperProjectile_Env,Kurok_Nature_RipperProjectile_Env,HolyShield_Proj,Kurok_Nature_RipperProjectile_Env
Mordred_ManiFistAtion,Mordred_ManiFistAtion,Mordred_ManiFistAtion,Mordred_ManiFistAtion,Mordred_ManiFistAtion,Mordred_ManiFistAtion,Mordred_ManiFistAtion,Mordred_ManiFistAtion,Mordred_ManiFistAtion,Mordred_ManiFistAtion,Mordred_ManiFistAtion,Mordred_ManiFistAtion,Mordred_ManiFistAtion,Mordred_ManiFistAtion,Mordred_ManiFistAtion,Mordred_ManiFistAtion,Mordred_ManiFistAtion,Mordred_ManiFistAtion,Mordred_ManiFistAtion,Mordred_ManiFistAtion,HolyShield_Proj,Mordred_ManiFistAtion
Dagger,EnvironmentSwordDirt,EnvironmentSwordWood,EnvironmentSwordDirt,EnvironmentSwordFabric,EnvironmentSwordRock,EnvironmentSwordGrass,EnvironmentSwordMetal,EnvironmentSwordDirt,EnvironmentSwordRock,EnvironmentSwordRock,EnvironmentSwordSand,EnvironmentSwordSand,EnvironmentSwordDirt,EnvironmentSwordWater,EnvironmentSwordWater,EnvironmentSwordWater,EnvironmentSwordWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentSwordRock
Dagger+Crit,EnvironmentDefault,EnvironmentSwordWood,EnvironmentSwordDirt,EnvironmentSwordFabric,EnvironmentSwordRock,EnvironmentSwordGrass,EnvironmentSwordMetal,EnvironmentSwordDirt,EnvironmentSwordRock,EnvironmentSwordRock,EnvironmentSwordSand,EnvironmentSwordSand,EnvironmentSwordDirt,EnvironmentSwordWater,EnvironmentSwordWater,EnvironmentSwordWater,EnvironmentSwordWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentSwordRock
