Shield+Resist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,ShieldResist,HolyShield_Proj,ShieldResist,ShieldResist,ShieldResist
Shield+Crit,ShieldDefaultCrit,ShieldDefaultCrit,ShieldFleshCrit,ShieldFleshCrit,ShieldDefaultCrit,ShieldDefaultCrit,ShieldDamnedCrit,ShieldDryadCrit,ShieldGhostCrit,ShieldTurkeyCrit,ShieldSkeletonCrit,ShieldAncientGuardianCrit,ShieldGhostCharredCrit,ShieldGhostFrozenCrit,ShieldGhostShipwreckedCrit,ShieldGhostHangedCrit,ShieldGhostPlaguedCrit,ShieldBearElementalCrit,ShieldDefaultCrit,ShieldRegurgitatorCrit,ShieldSprigganForestCrit,ShieldCorruptedEntityCrit,ShieldBlightFiendCrit,ShieldFrostWolfCrit,ShieldEarthWolfCrit,ShieldLostCrit,ShieldWitheredCrit,ShieldDynastyCrit,ShieldDunePhantomCrit,ShieldDefaultCrit,ShieldAENagaCrit,ShieldAENagaCrit,ShieldSunCrit,HolyShield_Proj,ShieldRockNPCCrit,ShieldDefaultCrit,ShieldDefaultCrit
Spear,SpearDefault,SpearDefault,SpearFlesh,SpearFleshHead,SpearArmor,SpearArmorHead,SpearDamned,SpearDryad,SpearGhost,SpearTurkey,SpearSkeleton,SpearAncientGuardian,SpearGhostCharred,SpearGhostFrozen,SpearGhostShipwrecked,SpearGhostHanged,SpearGhostPlagued,SpearBearElemental,SpearBear,SpearRegurgitator,SpearSprigganForest,SpearCorruptedEntity,SpearBlightFiend,SpearFrostWolf,SpearEarthWolf,SpearLost,SpearWithered,SpearDynasty,SpearDunePhantom,AnubianGuardianBruteBody,SpearAENaga,AnubianLocustScarabBody,SpearSun,HolyShield_Proj,SpearRockNPC,SpearArmor,SpearDefault
Spear+Resist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,HolyShield_Proj,SpearResist,SpearResist,SpearResist
Spear+Crit,SpearDefaultCrit,SpearDefaultCrit,SpearFleshCrit,SpearFleshCrit,SpearDefaultCrit,SpearDefaultCrit,SpearDamnedCrit,SpearDryadCrit,SpearGhostCrit,SpearTurkeyCrit,SpearSkeletonCrit,SpearAncientGuardianCrit,SpearGhostCharredCrit,SpearGhostFrozenCrit,SpearGhostShipwreckedCrit,SpearGhostHangedCrit,SpearGhostPlaguedCrit,SpearBearElementalCrit,SpearBearCrit,SpearRegurgitatorCrit,SpearSprigganForestCrit,SpearCorruptedEntityCrit,SpearBlightFiendCrit,SpearFrostWolfCrit,SpearEarthWolfCrit,SpearLostCrit,SpearWitheredCrit,SpearDynastyCrit,SpearDunePhantomCrit,SpearDefaultCrit,SpearAENagaCrit,SpearAENagaCrit,SpearSunCrit,HolyShield_Proj,SpearRockNPCCrit,SpearDefaultCrit,SpearDefaultCrit
Spear_Throw,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow,HolyShield_Proj,SpearDefaultThrow,SpearDefaultThrow,SpearDefaultThrow
Spear_Throw+Resist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,HolyShield_Proj,SpearResist,SpearResist,SpearResist
Spear_Throw+Crit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,HolyShield_Proj,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit
Spear_AI,SpearDefault,SpearDefault,SpearFlesh,SpearFleshHead,SpearArmor,SpearArmorHead,SpearDamned,SpearDryad,SpearGhost,SpearTurkey,SpearSkeleton,SpearAncientGuardian,SpearGhostCharred,SpearGhostFrozen,SpearGhostShipwrecked,SpearGhostHanged,SpearGhostPlagued,SpearBearElemental,SpearBear,SpearRegurgitator,SpearSprigganForest,SpearCorruptedEntity,SwordBlightFiend,SpearFrostWolf,SpearEarthWolf,SpearLost,SpearWithered,SpearDynasty,SpearDunePhantom,AnubianGuardianBruteBody,SpearAENaga,AnubianLocustScarabBody,SpearSun,HolyShield_Proj,SpearRockNPC,SpearArmor,SpearDefault
Spear_AI+Resist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,HolyShield_Proj,SpearResist,SpearResist,SpearResist
Spear_AI+Crit,SpearDefaultCrit,SpearDefaultCrit,SpearFleshCrit,SpearFleshCrit,SpearDefaultCrit,SpearDefaultCrit,SpearDamnedCrit,SpearDryadCrit,SpearGhostCrit,SpearTurkeyCrit,SpearSkeletonCrit,SpearAncientGuardianCrit,SpearGhostCharredCrit,SpearGhostFrozenCrit,SpearGhostShipwreckedCrit,SpearGhostHangedCrit,SpearGhostPlaguedCrit,SpearBearElementalCrit,SpearBearCrit,SpearRegurgitatorCrit,SpearSprigganForestCrit,SpearCorruptedEntityCrit,SpearBlightFiendCrit,SpearFrostWolfCrit,SpearEarthWolfCrit,SpearLostCrit,SpearWitheredCrit,SpearDynastyCrit,SpearDunePhantomCrit,SpearDefaultCrit,SpearAENagaCrit,SpearAENagaCrit,SpearSunCrit,HolyShield_Proj,SpearRockNPCCrit,SpearDefaultCrit,SpearDefaultCrit
Warhammer,WarHammerDefault,WarHammerDefault,WarHammerFlesh,WarHammerFleshHead,WarHammerArmor,WarHammerArmorHead,WarHammerDamned,WarHammerDryad,WarHammerGhost,WarHammerTurkey,WarHammerSkeleton,WarHammerAncientGuardian,WarHammerGhostCharred,WarHammerGhostFrozen,WarHammerGhostShipwrecked,WarHammerGhostHanged,WarHammerGhostPlagued,WarHammerBearElemental,SwordBear,WarHammerRegurgitator,WarHammerSprigganForest,WarHammerCorruptedEntity,WarHammerBlightFiend,WarHammerFrostWolf,WarHammerEarthWolf,WarHammerLost,WarHammerWithered,WarHammerDynasty,WarHammerDunePhantom,WarHammerDunePhantom,WarHammerAENaga,WarHammerAENaga,WarHammerSun,HolyShield_Proj,WarHammerRockNPC,WarHammerArmor,WarHammerDefault
Warhammer_Heavy,WarHammerDefault,WarHammerDefault,WarHammerFlesh,WarHammerFleshHead,WarHammerArmor,WarHammerArmorHead,WarHammerDamned,WarHammerDryad,WarHammerGhost,WarHammerTurkey,WarHammerSkeleton,WarHammerAncientGuardian,WarHammerGhostCharred,WarHammerGhostFrozen,WarHammerGhostShipwrecked,WarHammerGhostHanged,WarHammerGhostPlagued,WarHammerBearElemental,SwordBear,WarHammerRegurgitator,WarHammerSprigganForest,WarHammerCorruptedEntity,WarHammerBlightFiend,WarHammerFrostWolf,WarHammerEarthWolf,WarHammerLost,WarHammerWithered,WarHammerDynasty,WarHammerDunePhantom,WarHammerDunePhantom,WarHammerAENaga,WarHammerAENaga,WarHammerSun,HolyShield_Proj,WarHammerRockNPC,WarHammerArmor,WarHammerDefault
Warhammer_Mightygavel,WarHammerDefault,WarHammerDefault,WarHammerFlesh,WarHammerFleshHead,WarHammerArmor,WarHammerArmorHead,WarHammerDamned,WarHammerDryad,WarHammerGhost,WarHammerTurkey,WarHammerSkeleton,WarHammerAncientGuardian,WarHammerGhostCharred,WarHammerGhostFrozen,WarHammerGhostShipwrecked,WarHammerGhostHanged,WarHammerGhostPlagued,WarHammerBearElemental,SwordBear,WarHammerRegurgitator,WarHammerSprigganForest,WarHammerCorruptedEntity,WarHammerBlightFiend,WarHammerFrostWolf,WarHammerEarthWolf,WarHammerLost,WarHammerWithered,WarHammerDynasty,WarHammerDunePhantom,WarHammerDunePhantom,WarHammerAENaga,WarHammerAENaga,WarHammerSun,HolyShield_Proj,WarHammerRockNPC,WarHammerArmor,WarHammerDefault
Warhammer_Shockwave,WarHammerDefault,WarHammerDefault,WarHammerFlesh,WarHammerFleshHead,WarHammerArmor,WarHammerArmorHead,WarHammerDamned,WarHammerDryad,WarHammerGhost,WarHammerTurkey,WarHammerSkeleton,WarHammerAncientGuardian,WarHammerGhostCharred,WarHammerGhostFrozen,WarHammerGhostShipwrecked,WarHammerGhostHanged,WarHammerGhostPlagued,WarHammerBearElemental,SwordBear,WarHammerRegurgitator,WarHammerSprigganForest,WarHammerCorruptedEntity,WarHammerBlightFiend,WarHammerFrostWolf,WarHammerEarthWolf,WarHammerLost,WarHammerWithered,WarHammerDynasty,WarHammerDunePhantom,WarHammerDunePhantom,WarHammerAENaga,WarHammerAENaga,WarHammerSun,HolyShield_Proj,WarHammerRockNPC,WarHammerArmor,WarHammerDefault
Warhammer_Wreckingball,WarHammerDefault,WarHammerDefault,WarHammerFlesh,WarHammerFleshHead,WarHammerArmor,WarHammerArmorHead,WarHammerDamned,WarHammerDryad,WarHammerGhost,WarHammerTurkey,WarHammerSkeleton,WarHammerAncientGuardian,WarHammerGhostCharred,WarHammerGhostFrozen,WarHammerGhostShipwrecked,WarHammerGhostHanged,WarHammerGhostPlagued,WarHammerBearElemental,SwordBear,WarHammerRegurgitator,WarHammerSprigganForest,WarHammerCorruptedEntity,WarHammerBlightFiend,WarHammerFrostWolf,WarHammerEarthWolf,WarHammerLost,WarHammerWithered,WarHammerDynasty,WarHammerDunePhantom,WarHammerDunePhantom,WarHammerAENaga,WarHammerAENaga,WarHammerSun,HolyShield_Proj,WarHammerRockNPC,WarHammerArmor,WarHammerDefault
Warhammer+Resist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,HolyShield_Proj,WarHammerResist,WarHammerResist,WarHammerResist
Warhammer_Wreckingball+Resist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,HolyShield_Proj,WarHammerResist,WarHammerResist,WarHammerResist
Warhammer_Heavy+Resist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,HolyShield_Proj,WarHammerResist,WarHammerResist,WarHammerResist
Warhammer+Crit,WarHammerDefaultCrit,WarHammerDefaultCrit,WarHammerDefaultCrit,WarHammerDefaultCrit,WarHammerDefaultCrit,WarHammerDefaultCrit,WarHammerDamnedCrit,WarHammerDryadCrit,WarHammerGhostCrit,WarHammerTurkeyCrit,WarHammerSkeletonCrit,WarHammerAncientGuardianCrit,WarHammerGhostCharredCrit,WarHammerGhostFrozenCrit,WarHammerGhostShipwreckedCrit,WarHammerGhostHangedCrit,WarHammerGhostPlaguedCrit,WarHammerBearElementalCrit,WarHammerDefaultCrit,WarHammerRegurgitatorCrit,WarHammerSprigganForestCrit,WarHammerCorruptedEntityCrit,WarHammerBlightFiendCrit,WarHammerFrostWolfCrit,WarHammerEarthWolfCrit,WarHammerLostCrit,WarHammerWitheredCrit,WarHammerDynastyCrit,WarHammerDunePhantomCrit,WarHammerDefaultCrit,WarHammerAENagaCrit,WarHammerAENagaCrit,WarHammerSunCrit,HolyShield_Proj,WarHammerRockNPCCrit,WarHammerDefaultCrit,WarHammerDefaultCrit
Warhammer_Heavy+Crit,WarHammerDefaultCrit,WarHammerDefaultCrit,WarHammerDefaultCrit,WarHammerDefaultCrit,WarHammerDefaultCrit,WarHammerDefaultCrit,WarHammerDamnedCrit,WarHammerDryadCrit,WarHammerGhostCrit,WarHammerTurkeyCrit,WarHammerSkeletonCrit,WarHammerAncientGuardianCrit,WarHammerGhostCharredCrit,WarHammerGhostFrozenCrit,WarHammerGhostShipwreckedCrit,WarHammerGhostHangedCrit,WarHammerGhostPlaguedCrit,WarHammerBearElementalCrit,WarHammerDefaultCrit,WarHammerRegurgitatorCrit,WarHammerSprigganForestCrit,WarHammerCorruptedEntityCrit,WarHammerBlightFiendCrit,WarHammerFrostWolfCrit,WarHammerEarthWolfCrit,WarHammerLostCrit,WarHammerWitheredCrit,WarHammerDynastyCrit,WarHammerDunePhantomCrit,WarHammerDefaultCrit,WarHammerAENagaCrit,WarHammerAENagaCrit,WarHammerSunCrit,HolyShield_Proj,WarHammerRockNPCCrit,WarHammerDefaultCrit,WarHammerDefaultCrit
StaffSpells_No_Environment,UnarmedDefault,UnarmedDefault,UnarmedDefault,UnarmedDefault,UnarmedArmor,UnarmedDefault,UnarmedDamned,UnarmedDryad,UnarmedGhost,UnarmedTurkey,UnarmedSkeleton,UnarmedSkeleton,UnarmedGhostCharred,UnarmedGhostFrozen,UnarmedGhostShipwrecked,UnarmedGhostHanged,UnarmedGhostPlagued,UnarmedBearElemental,UnarmedBear,UnarmedRegurgitator,SwordSprigganForest,SwordCorruptedEntity,UnarmedBlightFiend,UnarmedFrostWolf,UnarmedEarthWolf,UnarmedLost,UnarmedWithered,UnarmedDynasty,UnarmedDunePhantom,UnarmedDunePhantom,UnarmedAENaga,UnarmedAENaga,UnarmedSun,HolyShield_Proj,UnarmedRockNPC,UnarmedArmor,UnarmedDefault
StaffSpells_No_Environment+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,UnarmedResist,UnarmedResist
GhostSpell_Ice,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,HolyShield_Proj,GhostFrozen,GhostFrozen,GhostFrozen
GhostSpell_Ice+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,UnarmedResist,UnarmedResist
GhostSpell_Fire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,HolyShield_Proj,GhostFire,GhostFire,GhostFire
GhostSpell_Fire+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,UnarmedResist,UnarmedResist
GhostSpell_Lightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,HolyShield_Proj,GhostLightning,GhostLightning,GhostLightning
GhostSpell_Lightning+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,UnarmedResist,UnarmedResist
GhostSpell_Curse,UnarmedDefault,UnarmedDefault,UnarmedDefault,UnarmedDefault,UnarmedArmor,UnarmedDefault,UnarmedDamned,UnarmedDryad,UnarmedGhost,UnarmedTurkey,UnarmedSkeleton,UnarmedSkeleton,UnarmedGhostCharred,UnarmedGhostFrozen,UnarmedGhostShipwrecked,UnarmedGhostHanged,UnarmedGhostPlagued,UnarmedBearElemental,UnarmedBear,UnarmedRegurgitator,UnarmedSprigganForest,SwordCorruptedEntity,UnarmedRegurgitator,UnarmedRegurgitator,UnarmedRegurgitator,UnarmedRegurgitator,UnarmedRegurgitator,UnarmedDynasty,UnarmedRegurgitator,UnarmedRegurgitator,UnarmedRegurgitator,UnarmedRegurgitator,UnarmedSun,HolyShield_Proj,UnarmedRockNPC,UnarmedArmor,UnarmedDefault
GhostSpell_Curse+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,UnarmedResist,UnarmedResist
GhostSpell_Disease,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,HolyShield_Proj,GhostPoison,GhostPoison,GhostPoison
GhostSpell_Disease+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,UnarmedResist,UnarmedResist
GhostSpell_Shackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,HolyShield_Proj,GhostShackled,GhostShackled,GhostShackled
GhostSpell_Shackled+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,UnarmedResist,UnarmedResist
GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,HolyShield_Proj,GhostMelee,GhostMelee,GhostMelee
GhostMelee+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,UnarmedResist,UnarmedResist
Bite_AI,UnarmedDefault,UnarmedDefault,UnarmedDefault,UnarmedDefault,UnarmedArmor,UnarmedDefault,UnarmedDamned,UnarmedDryad,UnarmedGhost,UnarmedTurkey,UnarmedSkeleton,UnarmedSkeleton,UnarmedGhostCharred,UnarmedGhostFrozen,UnarmedGhostShipwrecked,UnarmedGhostHanged,UnarmedGhostPlagued,UnarmedBearElemental,UnarmedBear,UnarmedRegurgitator,SwordSprigganForest,SwordCorruptedEntity,UnarmedBlightFiend,UnarmedFrostWolf,UnarmedEarthWolf,UnarmedLost,UnarmedWithered,UnarmedDynasty,UnarmedDunePhantom,UnarmedDunePhantom,UnarmedAENaga,UnarmedAENaga,UnarmedSun,HolyShield_Proj,UnarmedRockNPC,UnarmedArmor,UnarmedDefault
Bite_AI+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,UnarmedResist,UnarmedResist
Blunt_AI,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,HolyShield_Proj,ClubDefault,ClubDefault,ClubDefault
