LootTableID,AND/OR,RollBonusSetting,Conditions,ConditionOverridesRoll,UseLevelGS,HWMMult,ChanceToExceedIndex,GSBonus,MaxRoll,Item1,GearScoreRange1,PerkBucketOverrides1,Item2,GearScoreRange2,PerkBucketOverrides2,Item3,GearScoreRange3,PerkOverrides3,Item4,GearScoreRange4,PerkOverrides4,Item5,GearScoreRange5,PerkOverrides5,Item6,GearScoreRange6,PerkOverrides6,Item7,GearScoreRange7,PerkOverrides7,Item8,GearScoreRange8,PerkOverrides8,Item9,GearScoreRange9,PerkOverrides9,Item10,GearScoreRange10,PerkOverrides10,Item11,GearScoreRange11,PerkOverrides11,Item12,GearScoreRange12,PerkOverrides12,Item13,GearScoreRange13,PerkOverrides13,Item14,GearScoreRange14,PerkOverrides14,Item15,GearScoreRange15,PerkOverrides15,Item16,GearScoreRange16,PerkOverrides16,Item17,GearScoreRange17,PerkOverrides17,Item18,GearScoreRange18,PerkOverrides18,Item19,GearScoreRange19,PerkOverrides19,Item20,GearScoreRange20,PerkOverrides20,Item21,GearScoreRange21,PerkOverrides21,Item22,GearScoreRange22,PerkOverrides22,Item23,GearScoreRange23,PerkOverrides23,Item24,GearScoreRange24,PerkOverrides24,Item25,GearScoreRange25,PerkOverrides25,Item26,GearScoreRange26,PerkOverrides26,Item27,GearScoreRange27,PerkOverrides27,Item28,GearScoreRange28,PerkOverrides28,Item29,GearScoreRange29,PerkOverrides29,Item30,GearScoreRange30,PerkOverrides30,Item31,GearScoreRange31,PerkOverrides31,Item32,GearScoreRange32,PerkOverrides32,Item33,GearScoreRange33,PerkOverrides33
OmegaArmorSentry600Heavy_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSentry600Heavy_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSentry600Medium,AND,AddToRoll,,,,,,,,Omega_MediumHead_Sentry_600,,,Omega_MediumChest_Sentry_600,,,Omega_MediumHands_Sentry_600,,,Omega_MediumLegs_Sentry_600,,,Omega_MediumFeet_Sentry_600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSentry600Medium_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSentry600Medium_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSentry600Light,AND,AddToRoll,,,,,,,,Omega_LightHead_Sentry_600,,,Omega_LightChest_Sentry_600,,,Omega_LightHands_Sentry_600,,,Omega_LightLegs_Sentry_600,,,Omega_LightFeet_Sentry_600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSentry600Light_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSentry600Light_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSentry600Trinket,AND,AddToRoll,,,,,,,,Omega_Earring_Sentry_600,,,Omega_Amulet_Sentry_600,,,Omega_Ring_Sentry_600_1,,,Omega_Ring_Sentry_600_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSentry600Trinket_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSentry600Trinket_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaWeapons602,AND,AddToRoll,,,,,,,,Omega_Longsword_602,,,Omega_Hatchet_602,,,Omega_Warhammer_602,,,Omega_Greataxe_602,,,Omega_Bow_602,,,Omega_Musket_602,,,Omega_ShieldRound_602,,,Omega_ShieldKite_602,,,Omega_ShieldTower_602,,,Omega_StaffFire_602,,,Omega_StaffLife_602,,,Omega_Spear_602,,,Omega_Rapier_602,,,Omega_GauntletIce_602,,,Omega_GauntletVoid_602,,,ArrowT5,,,ShotT5,,,Omega_Blunderbuss_602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaWeapons602_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1000,,,1000,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaWeapons602_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSoldier602,AND,AddToRoll,,,,,,,,Omega_Box_Armor_Soldier_602_Heavy,,,Omega_Box_Armor_Soldier_602_Medium,,,Omega_Box_Armor_Soldier_602_Light,,,Omega_Box_Armor_Soldier_602_Trinket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSoldier602_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSoldier602_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSoldier602Heavy,AND,AddToRoll,,,,,,,,Omega_HeavyHead_Soldier_602,,,Omega_HeavyChest_Soldier_602,,,Omega_HeavyHands_Soldier_602,,,Omega_HeavyLegs_Soldier_602,,,Omega_HeavyFeet_Soldier_602,,,Omega_HeavyHead_Soldier_602_2,,,Omega_HeavyHands_Soldier_602_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSoldier602Heavy_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSoldier602Heavy_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSoldier602Medium,AND,AddToRoll,,,,,,,,Omega_MediumHead_Soldier_602,,,Omega_MediumChest_Soldier_602,,,Omega_MediumHands_Soldier_602,,,Omega_MediumLegs_Soldier_602,,,Omega_MediumFeet_Soldier_602,,,Omega_MediumHead_Soldier_602_2,,,Omega_MediumHands_Soldier_602_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSoldier602Medium_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSoldier602Medium_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSoldier602Light,AND,AddToRoll,,,,,,,,Omega_LightHead_Soldier_602,,,Omega_LightChest_Soldier_602,,,Omega_LightHands_Soldier_602,,,Omega_LightLegs_Soldier_602,,,Omega_LightFeet_Soldier_602,,,Omega_LightHead_Soldier_602_2,,,Omega_LightHands_Soldier_602_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSoldier602Light_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSoldier602Light_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSoldier602Trinket,AND,AddToRoll,,,,,,,,Omega_Earring_Soldier_602,,,Omega_Amulet_Soldier_602,,,Omega_Ring_Soldier_602_1,,,Omega_Ring_Soldier_602_2,,,Omega_Ring_Soldier_602_3,,,Omega_Ring_Soldier_602_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSoldier602Trinket_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSoldier602Trinket_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorRanger602,AND,AddToRoll,,,,,,,,Omega_Box_Armor_Ranger_602_Heavy,,,Omega_Box_Armor_Ranger_602_Medium,,,Omega_Box_Armor_Ranger_602_Light,,,Omega_Box_Armor_Ranger_602_Trinket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorRanger602_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorRanger602_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorRanger602Heavy,AND,AddToRoll,,,,,,,,Omega_HeavyHead_Ranger_602,,,Omega_HeavyChest_Ranger_602,,,Omega_HeavyHands_Ranger_602,,,Omega_HeavyLegs_Ranger_602,,,Omega_HeavyFeet_Ranger_602,,,Omega_HeavyHead_Ranger_602_2,,,Omega_HeavyHead_Ranger_602_3,,,Omega_HeavyChest_Ranger_602_2,,,Omega_HeavyHands_Ranger_602_2,,,Omega_HeavyLegs_Ranger_602_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorRanger602Heavy_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorRanger602Heavy_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorRanger602Medium,AND,AddToRoll,,,,,,,,Omega_MediumHead_Ranger_602,,,Omega_MediumChest_Ranger_602,,,Omega_MediumHands_Ranger_602,,,Omega_MediumLegs_Ranger_602,,,Omega_MediumFeet_Ranger_602,,,Omega_MediumHead_Ranger_602_2,,,Omega_MediumHead_Ranger_602_3,,,Omega_MediumChest_Ranger_602_2,,,Omega_MediumHands_Ranger_602_2,,,Omega_MediumLegs_Ranger_602_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorRanger602Medium_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorRanger602Medium_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorRanger602Light,AND,AddToRoll,,,,,,,,Omega_LightHead_Ranger_602,,,Omega_LightChest_Ranger_602,,,Omega_LightHands_Ranger_602,,,Omega_LightLegs_Ranger_602,,,Omega_LightFeet_Ranger_602,,,Omega_LightHead_Ranger_602_2,,,Omega_LightHead_Ranger_602_3,,,Omega_LightChest_Ranger_602_2,,,Omega_LightHands_Ranger_602_2,,,Omega_LightLegs_Ranger_602_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorRanger602Light_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorRanger602Light_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorRanger602Trinket,AND,AddToRoll,,,,,,,,Omega_Earring_Ranger_602,,,Omega_Amulet_Ranger_602,,,Omega_Ring_Ranger_602_1,,,Omega_Ring_Ranger_602_2,,,Omega_Ring_Ranger_602_3,,,Omega_Ring_Ranger_602_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorRanger602Trinket_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorRanger602Trinket_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorScholar602,AND,AddToRoll,,,,,,,,Omega_Box_Armor_Scholar_602_Heavy,,,Omega_Box_Armor_Scholar_602_Medium,,,Omega_Box_Armor_Scholar_602_Light,,,Omega_Box_Armor_Scholar_602_Trinket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorScholar602_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorScholar602_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorScholar602Heavy,AND,AddToRoll,,,,,,,,Omega_HeavyHead_Scholar_602,,,Omega_HeavyChest_Scholar_602,,,Omega_HeavyHands_Scholar_602,,,Omega_HeavyLegs_Scholar_602,,,Omega_HeavyFeet_Scholar_602,,,Omega_HeavyHead_Scholar_602_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorScholar602Heavy_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorScholar602Heavy_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorScholar602Medium,AND,AddToRoll,,,,,,,,Omega_MediumHead_Scholar_602,,,Omega_MediumChest_Scholar_602,,,Omega_MediumHands_Scholar_602,,,Omega_MediumLegs_Scholar_602,,,Omega_MediumFeet_Scholar_602,,,Omega_MediumHead_Scholar_602_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorScholar602Medium_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorScholar602Medium_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorScholar602Light,AND,AddToRoll,,,,,,,,Omega_LightHead_Scholar_602,,,Omega_LightChest_Scholar_602,,,Omega_LightHands_Scholar_602,,,Omega_LightLegs_Scholar_602,,,Omega_LightFeet_Scholar_602,,,Omega_LightHead_Scholar_602_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorScholar602Light_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorScholar602Light_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorScholar602Trinket,AND,AddToRoll,,,,,,,,Omega_Earring_Scholar_602,,,Omega_Amulet_Scholar_602,,,Omega_Ring_Scholar_602_1,,,Omega_Ring_Scholar_602_2,,,Omega_Ring_Scholar_602_3,,,Omega_Ring_Scholar_602_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorScholar602Trinket_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorScholar602Trinket_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSage602,AND,AddToRoll,,,,,,,,Omega_Box_Armor_Sage_602_Heavy,,,Omega_Box_Armor_Sage_602_Medium,,,Omega_Box_Armor_Sage_602_Light,,,Omega_Box_Armor_Sage_602_Trinket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSage602_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSage602_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSage602Heavy,AND,AddToRoll,,,,,,,,Omega_HeavyHead_Sage_602,,,Omega_HeavyChest_Sage_602,,,Omega_HeavyHands_Sage_602,,,Omega_HeavyLegs_Sage_602,,,Omega_HeavyFeet_Sage_602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSage602Heavy_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSage602Heavy_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSage602Medium,AND,AddToRoll,,,,,,,,Omega_MediumHead_Sage_602,,,Omega_MediumChest_Sage_602,,,Omega_MediumHands_Sage_602,,,Omega_MediumLegs_Sage_602,,,Omega_MediumFeet_Sage_602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSage602Medium_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSage602Medium_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSage602Light,AND,AddToRoll,,,,,,,,Omega_LightHead_Sage_602,,,Omega_LightChest_Sage_602,,,Omega_LightHands_Sage_602,,,Omega_LightLegs_Sage_602,,,Omega_LightFeet_Sage_602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSage602Light_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSage602Light_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSage602Trinket,AND,AddToRoll,,,,,,,,Omega_Earring_Sage_602,,,Omega_Amulet_Sage_602,,,Omega_Ring_Sage_602_1,,,Omega_Ring_Sage_602_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSage602Trinket_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSage602Trinket_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSentry602,AND,AddToRoll,,,,,,,,Omega_Box_Armor_Sentry_602_Heavy,,,Omega_Box_Armor_Sentry_602_Medium,,,Omega_Box_Armor_Sentry_602_Light,,,Omega_Box_Armor_Sentry_602_Trinket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSentry602_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSentry602_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSentry602Heavy,AND,AddToRoll,,,,,,,,Omega_HeavyHead_Sentry_602,,,Omega_HeavyChest_Sentry_602,,,Omega_HeavyHands_Sentry_602,,,Omega_HeavyLegs_Sentry_602,,,Omega_HeavyFeet_Sentry_602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaArmorSentry602Heavy_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
