LeaderboardStatId,Notes,Namespace,Rotation,StatType,Aggregation,ServiceStatId,CategoricalProgressionId,GameMode,Scope,PersonalBest
SeasonFaction01TerritoryStreak15,Restless Shore,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction01TerritoryStreak16,Brimstone Sands,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction01TerritoryStreak16,Brimstone Sands,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction02TerritoryStreak02,Brightwood,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction02TerritoryStreak02,Brightwood,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction02TerritoryStreak04,Everfall,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction02TerritoryStreak04,Everfall,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction02TerritoryStreak05,Reekwater,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction02TerritoryStreak05,Reekwater,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction02TerritoryStreak06,Windsward,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction02TerritoryStreak06,Windsward,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction02TerritoryStreak08,Ebonscale,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction02TerritoryStreak08,Ebonscale,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction02TerritoryStreak09,First Light,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction02TerritoryStreak09,First Light,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction02TerritoryStreak10,CutlassKeys,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction02TerritoryStreak10,CutlassKeys,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction02TerritoryStreak11,Mourningdale,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction02TerritoryStreak11,Mourningdale,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction02TerritoryStreak12,Monarchs Bluffs,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction02TerritoryStreak12,Monarchs Bluffs,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction02TerritoryStreak13,WeaversFen,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction02TerritoryStreak13,WeaversFen,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction02TerritoryStreak15,Restless Shore,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction02TerritoryStreak15,Restless Shore,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction02TerritoryStreak16,Brimstone Sands,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction02TerritoryStreak16,Brimstone Sands,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction03TerritoryStreak02,Brightwood,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction03TerritoryStreak02,Brightwood,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction03TerritoryStreak04,Everfall,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction03TerritoryStreak04,Everfall,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction03TerritoryStreak05,Reekwater,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction03TerritoryStreak05,Reekwater,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction03TerritoryStreak06,Windsward,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction03TerritoryStreak06,Windsward,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction03TerritoryStreak08,Ebonscale,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction03TerritoryStreak08,Ebonscale,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction03TerritoryStreak09,First Light,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction03TerritoryStreak09,First Light,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction03TerritoryStreak10,CutlassKeys,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction03TerritoryStreak10,CutlassKeys,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction03TerritoryStreak11,Mourningdale,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction03TerritoryStreak11,Mourningdale,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction03TerritoryStreak12,Monarchs Bluffs,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction03TerritoryStreak12,Monarchs Bluffs,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction03TerritoryStreak13,WeaversFen,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction03TerritoryStreak13,WeaversFen,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction03TerritoryStreak15,Restless Shore,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction03TerritoryStreak15,Restless Shore,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction03TerritoryStreak16,Brimstone Sands,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction03TerritoryStreak16,Brimstone Sands,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
MonthPvpArenaWins,,pc,Month,Wins,Sum,pvp-arena-wins,,Arena3v3,Character,
SeasonPvpArenaWins,,pc,Season,Wins,Sum,pvp-arena-wins,,Arena3v3,Character,
MonthPvpArenaLosses,,pc,Month,Losses,Sum,pvp-arena-losses,,Arena3v3,Character,
SeasonPvpArenaLosses,,pc,Season,Losses,Sum,pvp-arena-losses,,Arena3v3,Character,
MonthPvpMaxArenaKills,,pc,Month,GameModeFinalPlayerTakedowns,Max,pvp-arena-best-kills,,Arena3v3,Character,
SeasonPvpMaxArenaKills,,pc,Season,GameModeFinalPlayerTakedowns,Max,pvp-arena-best-kills,,Arena3v3,Character,
MonthPvpArenaKills,,pc,Month,Kills,Sum,pvp-arena-kills,,Arena3v3,Character,
SeasonPvpArenaKills,,pc,Season,Kills,Sum,pvp-arena-kills,,Arena3v3,Character,
MonthPvpArenaDeaths,,pc,Month,Deaths,Sum,pvp-arena-deaths,,Arena3v3,Character,
SeasonPvpArenaDeaths,,pc,Season,Deaths,Sum,pvp-arena-deaths,,Arena3v3,Character,
MonthPvpArenaHeals,,pc,Month,GameModeFinalAlliedHeals,Max,pvp-arena-heals,,Arena3v3,Character,
SeasonPvpArenaHeals,,pc,Season,GameModeFinalAlliedHeals,Max,pvp-arena-heals,,Arena3v3,Character,
MonthPvpArenaDamageDealt,,pc,Month,GameModeFinalDamageDealt,Max,pvp-arena-damage-dealt,,Arena3v3,Character,
SeasonPvpArenaDamageDealt,,pc,Season,GameModeFinalDamageDealt,Max,pvp-arena-damage-dealt,,Arena3v3,Character,
MonthWeaponsmithLegendaries,,pc,Month,TradeskillLegendaries,Sum,weaponsmith-legendaries,Weaponsmithing,,Character,
SeasonWeaponsmithLegendaries,,pc,Season,TradeskillLegendaries,Sum,weaponsmith-legendaries,Weaponsmithing,,Character,
MonthArmorsmithLegendaries,,pc,Month,TradeskillLegendaries,Sum,armorsmith-legendaries,Armoring,,Character,
SeasonArmorsmithLegendaries,,pc,Season,TradeskillLegendaries,Sum,armorsmith-legendaries,Armoring,,Character,
MonthBestFishScore,,pc,Month,FishScore,Max,best-fish-score,Fishing,,Character,
SeasonBestFishScore,,pc,Season,FishScore,Max,best-fish-score,Fishing,,Character,
MonthEngineeringLegendaries,,pc,Month,TradeskillLegendaries,Sum,engineer-legendaries,Engineering,,Character,
SeasonEngineeringLegendaries,,pc,Season,TradeskillLegendaries,Sum,engineer-legendaries,Engineering,,Character,
MonthJewelcraftingLegendaries,,pc,Month,TradeskillLegendaries,Sum,jewelcrafting-legendaries,Jewelcrafting,,Character,
SeasonJewelcraftingLegendaries,,pc,Season,TradeskillLegendaries,Sum,jewelcrafting-legendaries,Jewelcrafting,,Character,
MonthArcanaLegendaries,,pc,Month,TradeskillLegendaries,Sum,arcana-legendaries,Arcana,,Character,
SeasonArcanaLegendaries,,pc,Season,TradeskillLegendaries,Sum,arcana-legendaries,Arcana,,Character,
MonthFishingLegendaries,,pc,Month,TradeskillLegendaries,Sum,fishing-legendaries,Fishing,,Character,
SeasonFishingLegendaries,,pc,Season,TradeskillLegendaries,Sum,fishing-legendaries,Fishing,,Character,
WeekExpeditionScore,,pc,Week,ExpeditionScore,Max,expedition-score,,Expedition,Group,
SeasonExpeditionScore,,pc,Season,ExpeditionScore,Max,expedition-score,,Expedition,Group,
WeekExpeditionTime,,pc,Week,ExpeditionClearTime,Min,expedition-clear-time,,Expedition,Group,
SeasonExpeditionTime,,pc,Season,ExpeditionClearTime,Min,expedition-clear-time,,Expedition,Group,
